binomial,Range,AdultBodyMass_g,Red List status,TrophicLevel,Order
Abditomys latidens,788.227268165346,268.09,DD,Herbivore,RODENTIA
Abeomelomys sevia,9683.63706408965,54.88,LC,Omnivore,RODENTIA
Abrawayaomys ruschii,50734.6790534657,62.99,LC,Omnivore,RODENTIA
Abrocoma bennettii,124896.017428642,250.5,LC,Herbivore,RODENTIA
Abrocoma boliviensis,64.7392120057018,158,CR,Herbivore,RODENTIA
Abrocoma budini,405.507488549637,116.305,DD,Herbivore,RODENTIA
Abrocoma cinerea,529152.754277995,193.64,LC,Herbivore,RODENTIA
Abrocoma famatina,3306.51957824229,89.495,DD,Herbivore,RODENTIA
Abrocoma shistacea,5496.61643547178,109.39,LC,Herbivore,RODENTIA
Abrocoma uspallata,14.3178131219349,164.2793,DD,Herbivore,RODENTIA
Abrocoma vaccarum,37.1757022090819,232.625,DD,Herbivore,RODENTIA
Abrothrix andinus,612688.887487066,24.91,LC,Omnivore,RODENTIA
Abrothrix jelskii,498022.438234006,34.5,LC,Omnivore,RODENTIA
Abrothrix lanosus,40587.8939764836,27.83,LC,Omnivore,RODENTIA
Abrothrix longipilis,717949.898648216,38.86,LC,Omnivore,RODENTIA
Abrothrix olivaceus,1083345.05578333,24.52,LC,Omnivore,RODENTIA
Abrothrix sanborni,4530.17208996264,24.7,NT,Omnivore,RODENTIA
Acerodon celebensis,177574.280717629,384.84,VU,Herbivore,CHIROPTERA
Acerodon humilis,929.157181780631,646.6033333,EN,Herbivore,CHIROPTERA
Acerodon jubatus,144169.519757211,1087.04,EN,Herbivore,CHIROPTERA
Acerodon leucotis,12751.1806583774,646.6033333,VU,Herbivore,CHIROPTERA
Acerodon mackloti,74622.8106614123,467.93,VU,Herbivore,CHIROPTERA
Acinonyx jubatus,2943299.89412248,50577.92,VU,Carnivore,CARNIVORA
Acomys airensis,1825638.34243621,38.657,LC,Insectivore,RODENTIA
Acomys cahirinus,4017285.72683786,41.16,LC,Omnivore,RODENTIA
Acomys cilicicus,17.625137015363,48,DD,Omnivore,RODENTIA
Acomys cineraceus,1049545.70368392,19.24,LC,Insectivore,RODENTIA
Acomys dimidiatus,1558726.49808071,50,LC,Omnivore,RODENTIA
Acomys ignitus,105257.336315252,24,LC,Insectivore,RODENTIA
Acomys johannis,426085.265225807,63.85388804,LC,Insectivore,RODENTIA
Acomys kempi,569643.251882304,21.99,LC,Insectivore,RODENTIA
Acomys louisae,688440.046244099,20.19,LC,Insectivore,RODENTIA
Acomys minous,8344.71860138499,62.5,DD,Herbivore,RODENTIA
Acomys mullah,160420.649751978,63.85388804,LC,Insectivore,RODENTIA
Acomys percivali,222958.227225518,21.99,LC,Insectivore,RODENTIA
Acomys russatus,702023.859226838,42.35,LC,Insectivore,RODENTIA
Acomys seurati,298887.042163151,38.657,LC,Insectivore,RODENTIA
Acomys spinosissimus,1715735.10321923,26.5,LC,Insectivore,RODENTIA
Acomys subspinosus,94357.4614965139,21.92,LC,Omnivore,RODENTIA
Acomys wilsoni,1372812.72982059,18.5,LC,Insectivore,RODENTIA
Aconaemys fuscus,31935.754233844,129.95,LC,Herbivore,RODENTIA
Aconaemys porteri,22675.3331642997,113.22,DD,Herbivore,RODENTIA
Aconaemys sagei,40513.5574383435,96.49,DD,Herbivore,RODENTIA
Acrobates pygmaeus,1200801.29315193,13.84,LC,Omnivore,DIPROTODONTIA
Addax nasomaculatus,33784.5177430542,96077.36,CR,Herbivore,CETARTIODACTYLA
Aegialomys galapagoensis,23.1805510992547,64.5,VU,Omnivore,RODENTIA
Aegialomys xanthaeolus,258878.321093441,79.79,LC,Omnivore,RODENTIA
Aepeomys lugens,9497.26518171979,37,LC,Omnivore,RODENTIA
Aepeomys reigi,13016.4990417747,37,VU,Omnivore,RODENTIA
Aepyceros melampus,3359993.74112893,52591.69,LC,Herbivore,CETARTIODACTYLA
Aepyprymnus rufescens,566664.642591369,2810.31,LC,Herbivore,DIPROTODONTIA
Aeretes melanopterus,56180.8197550423,246.4344257,NT,Herbivore,RODENTIA
Aeromys tephromelas,362180.499277985,1187,DD,Omnivore,RODENTIA
Aeromys thomasi,446207.386884844,1430.19,LC,Herbivore,RODENTIA
Aethalops aequalis,93008.8522181021,15,LC,Herbivore,CHIROPTERA
Aethalops alecto,158099.135529788,15,LC,Herbivore,CHIROPTERA
Aethomys bocagei,253323.286727661,63.85388804,LC,Herbivore,RODENTIA
Aethomys chrysophilus,4154330.27917341,80.85,LC,Herbivore,RODENTIA
Aethomys hindei,2482352.20800869,140.65,LC,Omnivore,RODENTIA
Aethomys ineptus,592259.543604944,133.16,LC,Herbivore,RODENTIA
Aethomys kaiseri,1693329.17536174,89.99,LC,Herbivore,RODENTIA
Aethomys nyikae,897965.405915624,77.015,LC,Herbivore,RODENTIA
Aethomys silindensis,19129.1179447362,83.48586401,DD,Herbivore,RODENTIA
Aethomys stannarius,170085.39127142,83.48586401,DD,Herbivore,RODENTIA
Aethomys thomasi,270711.031656793,63.85388804,LC,Herbivore,RODENTIA
Ailuropoda melanoleuca,25709.6001269284,118000,VU,Herbivore,CARNIVORA
Ailurops melanotis,274.513647625347,8500,CR,Herbivore,DIPROTODONTIA
Ailurops ursinus,179858.765036463,10000,VU,Herbivore,DIPROTODONTIA
Ailurus fulgens,338831.022025343,5170.08,EN,Herbivore,CARNIVORA
Akodon aerosus,114165.459188906,59.99,LC,Omnivore,RODENTIA
Akodon affinis,42197.0440092043,24.89,LC,Omnivore,RODENTIA
Akodon albiventer,402049.085753842,25.95,LC,Insectivore,RODENTIA
Akodon azarae,1227616.00374134,25.27,LC,Omnivore,RODENTIA
Akodon boliviensis,217532.524122884,27.5,LC,Omnivore,RODENTIA
Akodon budini,19876.4907791889,26.9,LC,Omnivore,RODENTIA
Akodon cursor,824145.08743386,39.84,LC,Omnivore,RODENTIA
Akodon dayi,289331.634415262,32.49,LC,Omnivore,RODENTIA
Akodon dolores,809586.618166668,50.49,LC,Omnivore,RODENTIA
Akodon fumeus,151082.142480622,22.69,LC,Omnivore,RODENTIA
Akodon iniscatus,573428.042370265,28.7,LC,Omnivore,RODENTIA
Akodon juninensis,115454.096357999,38.99,LC,Omnivore,RODENTIA
Akodon kofordi,13610.9940920856,29.49,LC,Omnivore,RODENTIA
Akodon lindberghi,6823.73357859071,26.4,DD,Omnivore,RODENTIA
Akodon lutescens,118603.690135153,20.69,LC,Omnivore,RODENTIA
Akodon mimus,57439.2776439501,23.99,LC,Omnivore,RODENTIA
Akodon molinae,429193.487575575,32.99,LC,Omnivore,RODENTIA
Akodon mollis,265351.806490431,30.39,LC,Omnivore,RODENTIA
Akodon montensis,1050409.3712121,34.65,LC,Omnivore,RODENTIA
Akodon mystax,470.564415275806,32.51675676,DD,Omnivore,RODENTIA
Akodon orophilus,33882.5213339711,38.99,LC,Omnivore,RODENTIA
