binomial,estimated_pop,AdultBodyMassG,estimated_mass_Mt,pop_density,Range,estimated_mass_g
Abditomys latidens,4372.79860395026,268.09,1.01990411262773E-06,5.54763680547141,788.227268165346,1019904.11262773
Abeomelomys sevia,121683.178606365,54.88,5.80983637246805E-06,12.5658549366342,9683.63706408965,5809836.37246805
Abrawayaomys ruschii,388145.815759741,62.99,2.12708952931943E-05,7.65050302872126,50734.6790534657,21270895.2931943
Abrocoma bennettii,998226.584011125,250.5,0.000217548510586,7.99246128549659,124896.017428642,217548510.586
Abrocoma boliviensis,335.65876657568,158,4.6139654053493E-08,5.18478301135513,64.7392120057018,46139.654053493
Abrocoma budini,2499.52545632656,116.305,2.52915358132313E-07,6.16394401313405,405.507488549637,252915.358132313
Abrocoma cinerea,2404633.78458874,193.64,0.000405100958862,4.54430930416256,529152.754277995,405100958.862
Abrocoma famatina,22070.6524834178,89.495,1.71843534828302E-06,6.67488939991406,3306.51957824229,1718435.34828302
Abrocoma shistacea,45607.5427349667,109.39,4.34043791680687E-06,8.29738499500233,5496.61643547178,4340437.91680687
Abrocoma uspallata,121.26032145199,164.2793,1.73308878315399E-08,8.46919291509812,14.3178131219349,17330.8878315399
Abrocoma vaccarum,192.929534918159,232.625,3.9045802762493E-08,5.18966753695986,37.1757022090819,39045.802762493
Abrothrix andinus,5563688.21583927,24.91,0.000120574581907,9.08077219852746,612688.887487066,120574581.907
Abrothrix jelskii,4406502.2725676,34.5,0.000132261165711,8.84799947607402,498022.438234006,132261165.711
Abrothrix lanosus,1072847.46604096,27.83,2.59758901325303E-05,26.4326960808205,40587.8939764836,25975890.1325303
Abrothrix longipilis,10065035.5484405,38.86,0.000340280734829,14.0191336016501,717949.898648216,340280734.829
Abrothrix olivaceus,22320367.3297551,24.52,0.000476147004025,20.6031930552506,1083345.05578333,476147004.025
Abrothrix sanborni,254940.446198118,24.7,5.47841524835135E-06,56.2761063234178,4530.17208996264,5478415.24835135
Acerodon celebensis,3591858.08440352,384.84,0.001202592878726,20.2273553911511,177574.280717629,1202592878.726
Acerodon humilis,26413.5714112634,646.6033333,1.4858819887426E-05,28.4274522429505,929.157181780631,14858819.887426
Acerodon jubatus,10000,1087.04,8.478912E-06,0.069362789144616,144169.519757211,8478912
