binomial,estimated_pop,AdultBodyMassG,estimated_mass,pop_density,Range
Abditomys latidens,4372.79860395026,268.09,1.17230357773302E-06,5.54763680547141,788.227268165346
Abeomelomys sevia,121683.178606365,54.88,6.6779728419173E-06,12.5658549366342,9683.63706408965
Abrawayaomys ruschii,388145.815759741,62.99,2.44493049347061E-05,7.65050302872126,50734.6790534657
Abrocoma bennettii,998226.584011125,250.5,0.000250055759295,7.99246128549659,124896.017428642
Abrocoma boliviensis,335.65876657568,158,5.30340851189575E-08,5.18478301135513,64.7392120057018
Abrocoma budini,2499.52545632656,116.305,2.90707308198061E-07,6.16394401313405,405.507488549637
Abrocoma cinerea,2404633.78458874,193.64,0.000465633286048,4.54430930416256,529152.754277995
Abrocoma famatina,22070.6524834178,89.495,1.97521304400348E-06,6.67488939991406,3306.51957824229
Abrocoma shistacea,45607.5427349667,109.39,4.98900909977801E-06,8.29738499500233,5496.61643547178
Abrocoma uspallata,121.26032145199,164.2793,1.99205607259079E-08,8.46919291509812,14.3178131219349
Abrocoma vaccarum,192.929534918159,232.625,4.48802330603368E-08,5.18966753695986,37.1757022090819
Abrothrix andinus,5563688.21583927,24.91,0.000138591473457,9.08077219852746,612688.887487066
Abrothrix jelskii,4406502.2725676,34.5,0.000152024328404,8.84799947607402,498022.438234006
Abrothrix lanosus,1072847.46604096,27.83,2.98573449799199E-05,26.4326960808205,40587.8939764836
Abrothrix longipilis,10065035.5484405,38.86,0.000391127281412,14.0191336016501,717949.898648216
Abrothrix olivaceus,22320367.3297551,24.52,0.000547295406926,20.6031930552506,1083345.05578333
Abrothrix sanborni,254940.446198118,24.7,6.29702902109351E-06,56.2761063234178,4530.17208996264
Acerodon celebensis,3591858.08440352,384.84,0.001382290665202,20.2273553911511,177574.280717629
Acerodon humilis,26413.5714112634,646.6033333,1.70791033188805E-05,28.4274522429505,929.157181780631
Acerodon jubatus,10000,1087.04,1.08704E-05,0.069362789144616,144169.519757211
Acerodon leucotis,192947.212136505,646.6033333,0.000124760310518,15.1317134707632,12751.1806583774
Acerodon mackloti,682192.276624043,467.93,0.000319218232001,9.14187324998208,74622.8106614123
Acinonyx jubatus,10011,50577.92,0.00050633555712,0.003401284395107,2943299.89412248
Acomys airensis,11922214.7804212,38.657,0.000460877056767,6.53043623334054,1825638.34243621
Acomys cahirinus,41151438.4216808,41.16,0.001693793205436,10.2435926194556,4017285.72683786
Acomys cilicicus,506.970483054916,48,2.4334583186636E-08,28.764059116988,17.625137015363
Acomys cineraceus,9611428.25101275,19.24,0.000184923879549,9.15770339231204,1049545.70368392
Acomys dimidiatus,19547631.6629365,50,0.000977381583147,12.5407707426581,1558726.49808071
Acomys ignitus,1116172.38860107,24,2.67881373264258E-05,10.6042241583814,105257.336315252
Acomys johannis,2671398.31537604,63.85388804,0.00017057916894,6.26963317767,426085.265225807
Acomys kempi,7153376.54009308,21.99,0.000157302750117,12.5576429044947,569643.251882304
Acomys louisae,11452577.2956059,20.19,0.000231227535598,16.6355477983702,688440.046244099
Acomys mullah,2154861.02571681,63.85388804,0.000137596254678,13.4325663750171,160420.649751978
Acomys percivali,3453325.67043444,21.99,7.59386314928533E-05,15.4886667041063,222958.227225518
Acomys russatus,9182957.47269602,42.35,0.000388898248969,13.0806914209576,702023.859226838
Acomys seurati,2880963.04122732,38.657,0.000111369388285,9.63896935904873,298887.042163151
Acomys spinosissimus,645677.143591705,26.5,1.71104443051802E-05,0.376326824799599,1715735.10321923
Acomys subspinosus,1513884.71537017,21.92,3.31843529609142E-05,16.0441441658125,94357.4614965139
Acomys wilsoni,18074697.1511249,18.5,0.000334381897296,13.1661782838268,1372812.72982059
Aconaemys fuscus,125939.002343199,129.95,1.63657733544988E-05,3.94351113241394,31935.754233844
Aconaemys porteri,56785.8973763086,113.22,6.42929930094565E-06,2.50430266955076,22675.3331642997
Aconaemys sagei,140530.95521017,96.49,1.35598318682293E-05,3.46873896285313,40513.5574383435
Acrobates pygmaeus,6198777.14783601,13.84,8.57910757260505E-05,5.16220059320984,1200801.29315193
Addax nasomaculatus,77.9422863405995,96077.36,7.48848910396886E-06,0.002307041554755,33784.5177430542
Aegialomys galapagoensis,696.210953270182,64.5,4.49056064859268E-08,30.034270983858,23.1805510992547
Aegialomys xanthaeolus,3801736.96183974,79.79,0.000303340592185,14.6854203387217,258878.321093441
Aepeomys lugens,108306.554276416,37,4.0073425082274E-06,11.403972849456,9497.26518171979
Aepeomys reigi,81572.4989365129,37,3.01818246065098E-06,6.26685398852004,13016.4990417747
Aepyceros melampus,3000000,52591.69,0.15777507,0.892858806038141,3359993.74112893
Aepyprymnus rufescens,1518437.60183405,2810.31,0.00426728037681,2.67960533921828,566664.642591369
Aeretes melanopterus,300754.576017128,246.4344257,7.41162812174279E-05,5.35333192588623,56180.8197550423
Aeromys tephromelas,3182864.43880863,1187,0.003778060088866,8.78806132619991,362180.499277985
Aeromys thomasi,3306027.60991599,1430.19,0.004728247627426,7.40917274587658,446207.386884844
Aethalops aequalis,1313647.01702807,15,1.9704705255421E-05,14.1238923575534,93008.8522181021
Aethalops alecto,3005211.50177773,15,4.50781725266659E-05,19.0083993293658,158099.135529788
Aethomys bocagei,2210130.3623602,63.85388804,0.000141125416712,8.72454479376873,253323.286727661
Aethomys chrysophilus,34386496.022324,80.85,0.002780148203405,8.27726581940566,4154330.27917341
Aethomys hindei,17804347.429618,140.65,0.002504181465976,7.17236956632373,2482352.20800869
Aethomys ineptus,5244787.72646455,133.16,0.000698395933656,8.85555628963066,592259.543604944
Aethomys kaiseri,15209819.9520357,89.99,0.001368731697484,8.98219919277451,1693329.17536174
Aethomys nyikae,5684595.58825471,77.015,0.000437799129229,6.33052849342044,897965.405915624
Aethomys stannarius,798836.633288983,83.48586401,6.66915665329703E-05,4.69667986954983,170085.39127142
Aethomys thomasi,1663481.2443145,63.85388804,0.000106219745131,6.14485946189093,270711.031656793
Ailuropoda melanoleuca,1864,118000,0.000219952,0.072502100024793,25709.6001269284
Ailurops melanotis,2232.75625823442,8500,1.89784281949926E-05,8.13349819780787,274.513647625347
Ailurops ursinus,449604.014177069,10000,0.004496040141771,2.49976148833181,179858.765036463
Ailurus fulgens,176006.180878632,5170.08,0.000909966035637,0.51945119967636,338831.022025343
Akodon aerosus,1073388.29036483,59.99,6.43925635389861E-05,9.40204066966289,114165.459188906
Akodon affinis,311933.081788234,24.89,7.76401440570916E-06,7.39229699881807,42197.0440092043
Akodon albiventer,3334167.97252908,25.95,8.65216588871297E-05,8.29293758068749,402049.085753842
Akodon azarae,23877243.0872386,25.27,0.000603377932815,19.4500910826099,1227616.00374134
Akodon boliviensis,1995093.10493505,27.5,5.48650603857139E-05,9.17147039496504,217532.524122884
Akodon budini,96518.5910230626,26.9,2.59635009852038E-06,4.85591707788378,19876.4907791889
Akodon cursor,14756995.2553067,39.84,0.000587918690971,17.9058220212846,824145.08743386
Akodon dayi,2809788.89755842,32.49,9.12900412816732E-05,9.71130897330668,289331.634415262
Akodon dolores,9670793.27188615,50.49,0.000488278352298,11.945347236329,809586.618166668
Akodon fumeus,1247013.3613183,22.69,2.82947331683123E-05,8.25387660542508,151082.142480622
Akodon iniscatus,9040526.95503477,28.7,0.000259463123609,15.7657566198991,573428.042370265
Akodon juninensis,1017457.91014294,38.99,3.96706839164731E-05,8.81266184777033,115454.096357999
Akodon kofordi,139445.420899962,29.49,4.11224546233987E-06,10.2450577787735,13610.9940920856
Akodon lindberghi,1450932.02172885,26.4,3.83046053736416E-05,212.630227282189,6823.73357859071
Akodon lutescens,1119072.64593992,20.69,2.3153613044497E-05,9.43539484028447,118603.690135153
Akodon mimus,549587.45463565,23.99,1.31846030367093E-05,9.56814704464753,57439.2776439501
Akodon molinae,6053236.58941969,32.99,0.000199696275085,14.1037475279813,429193.487575575
Akodon mollis,3010882.30231428,30.39,9.15007131673311E-05,11.346756376512,265351.806490431
Akodon montensis,16129029.6870443,34.65,0.000558870878656,15.3549940900018,1050409.3712121
Akodon mystax,77766.2321798513,32.51675676,2.52870565593391E-06,165.261608518084,470.564415275806
Akodon orophilus,290291.225068974,38.99,1.13184548654393E-05,8.56758038186267,33882.5213339711
Akodon paranaensis,11811288.2129982,32.51675676,0.000384064785844,24.4707846742183,482668.960977056
Akodon pervalens,319579.626099633,32.51675676,1.03916929673335E-05,10.9836834212845,29095.8518961263
Akodon philipmyersi,89558.9136581865,23,2.05985501413829E-06,42.3717823025864,2113.64518534118
Akodon reigi,1353907.62704186,32.51675676,4.40246849840291E-05,20.5548393882785,65868.0713318508
Akodon sanctipaulensis,472196.988590265,27.1,1.27965383907962E-05,622.789592052605,758.196660021224
Akodon serrensis,4388051.5097238,28.3,0.000124181857725,15.9061357214746,275871.625048412
Akodon siberiae,111698.441293652,34.6,3.86476606876036E-06,4.42301678754572,25253.9039888276
Akodon simulator,1226867.07486394,42.5,5.21418506817174E-05,7.82397887059394,156808.587440728
Akodon spegazzinii,2082948.5263843,28.6,5.95723278545911E-05,36.7183581027273,56727.7142555455
Akodon subfuscus,1503098.19077881,30.39,4.5679154017768E-05,8.78528110044454,171092.782757145
Akodon surdus,77761.4993624431,38.99,3.03192086014166E-06,4.73156112353661,16434.6390825699
Akodon sylvanus,266082.491204821,38.99,1.0374556332076E-05,6.76754664531454,39317.4225683455
Akodon toba,3717331.37827897,51.2,0.000190327366568,8.37782896045601,443710.583711491
Akodon torques,530144.580866427,38.99,2.0670337207982E-05,7.95317126586285,66658.2628670339
Akodon varius,1914314.59888486,40,7.65725839553945E-05,7.82502732370663,244639.989062437
Alcelaphus buselaphus,362000,160937.9,0.0582595198,0.053555189944296,6759382.24430768
Alces alces,2100000,461900.8,0.96999168,0.090923750929564,23096275.4894132
Alionycteris paucidentata,73419.7076386195,16.24,1.19233605205118E-06,14.5019106792418,5062.76098802025
Allactaga balikunica,1236354.15814439,72.5,8.96356764654685E-05,5.26481251625971,234833.463551849
Allactaga bullata,9705239.81050774,72.5,0.000703629886262,6.20924686477606,1563030.11007081
Allactaga elater,34223446.0453118,59,0.002019183316673,10.5432055257216,3246019.05576239
Allactaga euphratica,3367927.03635179,232,0.000781359072434,4.5865261942832,734308.906934771
Allactaga firouzi,7796.65865705988,114.1964539,8.90350770904974E-07,5.9236751872487,1316.18605183535
Allactaga hotsoni,2619513.36906197,76.5,0.000200392772733,5.26645085923294,497396.337510591
Allactaga major,32091901.6527012,350,0.011232165578445,7.46783619456949,4297349.43517347
Allactaga severtzovi,4951893.472569,159,0.000787351062138,7.00982101323785,706422.241483411
Allactaga sibirica,43271558.6921917,97.5,0.004218976972489,7.99428622106672,5412810.78705457
Allactaga tetradactyla,1502492.65818071,52,7.81296182253969E-05,14.5221407107145,103462.202171899
Allactaga vinogradovi,404429.684212376,61.83099239,2.50062887268255E-05,7.52668226889996,53732.7961728194
Allactaga williamsi,9137969.73894418,23.33,0.00021318883401,12.9487513472005,705702.773489414
Allactodipus bobrinskii,3380795.39864838,65,0.000219751700912,12.2556161307388,275856.828623153
Allenopithecus nigroviridis,630985.038457998,4749.96,0.002997153693274,1.24615752066332,506344.525467479
Allocebus trichotis,451972.833871053,78.09,3.52945585969906E-05,10.5499679907317,42841.1568895867
Allocricetulus curtatus,9494234.86557965,47.833,0.000454137736325,7.12619909039947,1332299.97438192
Allocricetulus eversmanni,17756447.8617074,115.558,0.002051899602003,9.99379512028795,1776747.23645883
Alouatta arctoidea,926897.951170066,6361.288889,0.005896265638015,2.27998859871212,406536.222020425
Alouatta belzebul,604227.881147546,6157.91,0.003720780911597,0.697156689028465,866703.125217917
Alouatta caraya,4648945.43835526,5576.96,0.02592698275189,1.51717546193558,3064210.80158009
Alouatta discolor,276717.531855889,6361.288889,0.001760280160786,0.736458630864793,375740.768399918
Alouatta macconnelli,3189703.72425055,7250,0.023125352000817,1.80902656390047,1763215.52590869
Alouatta nigerrima,522466.937799622,6320,0.003301991046894,2.21275296719817,236116.252263432
Alouatta palliata,1852701.68678152,6576.99,0.012185200466945,3.26527935112193,567394.543485214
Alouatta pigra,307513.998528109,7172.06,0.002205508848284,1.28136755151947,239988.90729163
Alouatta sara,725200.418089284,6611.04,0.004794328972005,2.12418113219613,341402.344224534
Alticola albicaudus,614668.2915449,42.21130602,2.59459513551924E-05,7.66815869863289,80158.5251038799
Alticola argentatus,13702261.4340257,37.69,0.000516438233448,9.92858897028111,1380081.44712609
Alticola barakshin,1466466.59999236,46.25861204,6.78367095186644E-05,6.488869342744,225997.245827148
Alticola macrotis,4993662.79345699,36,0.000179771860564,13.1681493840716,379222.823785506
Alticola montosa,76254.9732999836,46.25861204,3.5274492260045E-06,3.90371831426334,19533.9333325779
Alticola olchonensis,38113.6577331774,42.21130602,1.60882727011669E-06,28.2665108951158,1348.36796358064
Alticola roylei,336434.959689717,37,1.24480935085195E-05,8.75325458759543,38435.4135165327
