,Unnamed: 0,binomial,Range,AdultBodyMass_g,Red List status,TrophicLevel,Order
30,32,Acomys minous,8344.71860138499,62.5,DD,Herbivore,RODENTIA
58,62,Aethomys silindensis,19129.1179447362,83.48586401,DD,Herbivore,RODENTIA
122,129,Alouatta guariba,1076628.40243244,5188.33,LC,Herbivore,PRIMATES
128,135,Alouatta ululata,99542.3953576148,6361.288889,EN,Herbivore,PRIMATES
132,139,Alticola lemminus,2068206.89558852,46.25861204,LC,Herbivore,RODENTIA
145,152,Amblysomus septentrionalis,32675.852506571202,25.35,NT,Insectivore,AFROSORICIDA
151,159,Ammospermophilus nelsoni,16430.6703959385,160.42,EN,Omnivore,RODENTIA
219,234,Apomys abrae,12463.642897406102,34.88,LC,Omnivore,RODENTIA
221,236,Apomys datae,11591.3184199977,34.88,LC,Omnivore,RODENTIA
229,245,Arabitragus jayakari,31556.399414067404,23000.0,EN,Herbivore,CETARTIODACTYLA
231,247,Arborimus longicaudus,54110.7666403978,22.39,NT,Herbivore,RODENTIA
232,248,Arborimus pomo,22003.977940837,32.49,NT,Herbivore,RODENTIA
239,255,Ardops nichollsi,4742.7069707702285,19.23,LC,Herbivore,CHIROPTERA
245,261,Ariteus flavescens,11021.007211026,22.96761263,LC,Omnivore,CHIROPTERA
292,308,Avahi meridionalis,1562.64011478785,1150.0,EN,Herbivore,PRIMATES
356,387,Brachyuromys ramirohitra,68444.5604281826,92.31,LC,Omnivore,RODENTIA
357,388,Bradypus pygmaeus,3.4129632306727795,2900.0,CR,Herbivore,PILOSA
368,399,Bubalus arnee,12946.169501821001,483500.485,EN,Herbivore,CETARTIODACTYLA
373,407,Bunolagus monticularis,78511.5442380469,1750.01,CR,Herbivore,LAGOMORPHA
392,430,Callithrix aurita,159614.292482397,386.2,VU,Omnivore,PRIMATES
393,431,Callithrix flaviceps,24732.6303235949,372.97,EN,Omnivore,PRIMATES
395,433,Callithrix jacchus,943369.7903138921,290.21,LC,Omnivore,PRIMATES
397,435,Callithrix penicillata,1309807.48409129,339.98,LC,Omnivore,PRIMATES
403,441,Callosciurus finlaysonii,729624.1072739791,278.0,LC,Omnivore,RODENTIA
405,443,Callosciurus melanogaster,6004.448923137621,296.0,VU,Omnivore,RODENTIA
440,479,Canis latrans,17098504.2035729,11989.1,LC,Carnivore,CARNIVORA
441,481,Canis mesomelas,6453409.87262755,8247.3,LC,Omnivore,CARNIVORA
442,483,Cannomys badius,1043856.57328188,472.07,LC,Herbivore,RODENTIA
443,484,Cansumys canus,161030.771915283,46.25861204,LC,Herbivore,RODENTIA
444,485,Capra aegagrus,1403511.34370857,71350.77625,VU,Herbivore,CETARTIODACTYLA
445,490,Capra nubiana,184884.958576157,47763.72,VU,Herbivore,CETARTIODACTYLA
446,497,Capricornis milneedwardsii,2921514.90349723,112000.0,NT,Herbivore,CETARTIODACTYLA
447,498,Capricornis rubidus,86336.4116143106,135000.0,NT,Herbivore,CETARTIODACTYLA
448,499,Capricornis sumatraensis,135078.305534131,110942.2,VU,Herbivore,CETARTIODACTYLA
449,500,Capricornis swinhoei,14411.894276570802,20500.0,LC,Herbivore,CETARTIODACTYLA
450,501,Capricornis thar,491769.142730449,112000.0,NT,Herbivore,CETARTIODACTYLA
451,503,Capromys pilorides,111094.56463434,5200.0,LC,Omnivore,RODENTIA
452,504,Caracal aurata,4042047.60563018,12400.0,VU,Carnivore,CARNIVORA
453,505,Caracal caracal,17204940.1184727,11964.38,LC,Carnivore,CARNIVORA
469,521,Castor fiber,3573387.13271751,19000.0,LC,Herbivore,RODENTIA
481,537,Cephalophus harveyi,349798.996684335,14500.1,LC,Omnivore,CETARTIODACTYLA
490,558,Cercocebus sanjei,188.105574591197,8000.0,EN,Herbivore,PRIMATES
497,566,Cercopithecus erythrotis,55790.969588664404,3254.98,VU,Herbivore,PRIMATES
530,603,Chalinolobus dwyeri,540243.075049445,8.74,NT,Insectivore,CHIROPTERA
539,613,Cheirogaleus minusculus,9.65099778467941,342.156,DD,Omnivore,PRIMATES
562,637,Chiroderma improvisum,1571.08658048792,35.39,EN,Herbivore,CHIROPTERA
571,646,Chiropodomys karlkoopmani,4489.83953746721,29.1,VU,Herbivore,RODENTIA
588,663,Chlorotalpa duthieae,10913.5316033321,17.195,VU,Insectivore,AFROSORICIDA
609,685,Chrotomys whiteheadi,16762.7851175984,151.98,LC,Omnivore,RODENTIA
643,724,Corynorhinus rafinesquii,1336202.32248813,9.15,LC,Insectivore,CHIROPTERA
688,769,Crocidura canariensis,2479.88630730578,7.5,EN,Insectivore,EULIPOTYPHLA
830,911,Crocidura watasei,2460.8293234870607,6.5,LC,Insectivore,EULIPOTYPHLA
928,1011,Ctenomys pundti,10499.2932793852,163.05,VU,Herbivore,RODENTIA
957,1043,Cynomys mexicanus,584.004012762556,899.98,EN,Herbivore,RODENTIA
975,1062,Dama mesopotamica,66.3172935961025,57224.61,EN,Herbivore,CETARTIODACTYLA
1021,1117,Dendrolagus scottae,1246.35828278349,9958.58,CR,Herbivore,DIPROTODONTIA
1055,1153,Dicrostonyx unalascensis,4510.23875108796,59.76833333,DD,Herbivore,RODENTIA
1056,1154,Dicrostonyx vinogradovi,7788.522866369572,59.76833333,DD,Herbivore,RODENTIA
1071,1170,Dipodomys agilis,38595.5236359768,60.21,LC,Herbivore,RODENTIA
1075,1174,Dipodomys elator,10767.6644680276,105.82,VU,Omnivore,RODENTIA
1077,1177,Dipodomys ingens,6784.265151846279,113.61,EN,Herbivore,RODENTIA
1081,1181,Dipodomys nitratoides,11297.0095275966,41.59,VU,Herbivore,RODENTIA
1087,1187,Dipodomys stephensi,2922.88913626974,68.49,EN,Omnivore,RODENTIA
1092,1192,Dobsonia beauforti,7912.7700304551,165.35,LC,Herbivore,CHIROPTERA
1100,1200,Dobsonia pannietensis,5415.20261109915,239.19,NT,Herbivore,CHIROPTERA
1181,1284,Emballonura semicaudata,2134.911690577889,6.29,EN,Insectivore,CHIROPTERA
1233,1337,Eptesicus nasutus,1865591.72386752,7.91,LC,Insectivore,CHIROPTERA
1256,1370,Eulemur collaris,8159.92914666677,2250.0,EN,Herbivore,PRIMATES
1257,1371,Eulemur coronatus,6235.8179855973995,1699.85,EN,Herbivore,PRIMATES
1258,1372,Eulemur flavifrons,2530.924177670089,2158.365455,CR,NotAssigned,PRIMATES
1261,1375,Eulemur mongoz,6668.95556286026,1771.13,CR,Herbivore,PRIMATES
1299,1415,Falsistrellus affinis,352717.551891355,22.77,LC,Insectivore,CHIROPTERA
1300,1416,Falsistrellus mackenziei,24587.2370648416,23.0,NT,Insectivore,CHIROPTERA
1306,1424,Felovia vae,183986.239062224,205.0,LC,Herbivore,RODENTIA
1329,1447,Galagoides cocos,7016.5807289924915,146.8,LC,Omnivore,PRIMATES
1330,1448,Galagoides granti,521553.37737899204,134.0,LC,Omnivore,PRIMATES
1331,1449,Galagoides orinus,19017.6405659509,100.0,NT,Omnivore,PRIMATES
1332,1450,Galagoides rondoensis,126.80379289861901,111.92,CR,Omnivore,PRIMATES
1334,1452,Galagoides zanzibaricus,7100.21750366867,146.8,LC,Omnivore,PRIMATES
1346,1467,Gazella dorcas,9905633.37300148,15635.95,VU,Herbivore,CETARTIODACTYLA
