,Binomial,Range_m,Genus,Family,Order,AdultBodyMassG,GenerationLengthD,RedListStatus,TrophicLevel,Range
0,Abditomys latidens,788227268.165346,Abditomys,Muridae,Rodentia,268.09,639.6318318,DD,Herbivore,788.2272681653461
1,Abeomelomys sevia,9683637064.08965,Abeomelomys,Muridae,Rodentia,54.88,624.3996409,LC,Omnivore,9683.63706408965
2,Abrawayaomys ruschii,50734679053.4657,Abrawayaomys,Cricetidae,Rodentia,62.99,589.3882991,LC,Omnivore,50734.679053465705
3,Abrocoma bennettii,124896017428.642,Abrocoma,Abrocomidae,Rodentia,250.5,1032.923574,LC,Herbivore,124896.017428642
4,Abrocoma boliviensis,64739212.005701795,Abrocoma,Abrocomidae,Rodentia,158.0,1032.923574,CR,Herbivore,64.7392120057018
5,Abrocoma budini,405507488.549637,Abrocoma,Abrocomidae,Rodentia,116.305,1032.923574,DD,Herbivore,405.507488549637
6,Abrocoma cinerea,529152754277.995,Abrocoma,Abrocomidae,Rodentia,193.64,1032.923574,LC,Herbivore,529152.754277995
7,Abrocoma famatina,3306519578.24229,Abrocoma,Abrocomidae,Rodentia,89.495,717.7762436,DD,Herbivore,3306.51957824229
8,Abrocoma shistacea,5496616435.47178,Abrocoma,Abrocomidae,Rodentia,109.39,1032.923574,LC,Herbivore,5496.616435471779
9,Abrocoma uspallata,14317813.1219349,Abrocoma,Abrocomidae,Rodentia,164.2793,1032.923574,DD,Herbivore,14.3178131219349
10,Abrocoma vaccarum,37175702.209081896,Abrocoma,Abrocomidae,Rodentia,232.625,1032.923574,DD,Herbivore,37.1757022090819
11,Abrothrix andinus,612688887487.066,Abrothrix,Cricetidae,Rodentia,24.91,589.3882991,LC,Omnivore,612688.887487066
12,Abrothrix jelskii,498022438234.00604,Abrothrix,Cricetidae,Rodentia,34.5,589.3882991,LC,Omnivore,498022.438234006
13,Abrothrix lanosus,40587893976.4837,Abrothrix,Cricetidae,Rodentia,27.83,589.3882991,LC,Omnivore,40587.8939764837
14,Abrothrix longipilis,717949898648.216,Abrothrix,Cricetidae,Rodentia,38.86,589.3882991,LC,Omnivore,717949.8986482159
15,Abrothrix olivaceus,1083345055783.33,Abrothrix,Cricetidae,Rodentia,24.52,589.3882991,LC,Omnivore,1083345.05578333
16,Abrothrix sanborni,4530172089.96264,Abrothrix,Cricetidae,Rodentia,24.7,589.3882991,NT,Omnivore,4530.17208996264
17,Acerodon celebensis,177574280717.629,Acerodon,Pteropodidae,Chiroptera,384.84,1642.5,VU,Herbivore,177574.28071762898
18,Acerodon humilis,929157181.7806311,Acerodon,Pteropodidae,Chiroptera,646.6033332999999,1642.5,EN,Herbivore,929.1571817806309
19,Acerodon leucotis,12751180658.3774,Acerodon,Pteropodidae,Chiroptera,646.6033332999999,1460.0,VU,Herbivore,12751.1806583774
20,Acerodon mackloti,74622810661.4123,Acerodon,Pteropodidae,Chiroptera,467.93,1825.0,VU,Herbivore,74622.81066141231
21,Acomys airensis,1825638342436.21,Acomys,Muridae,Rodentia,38.657,650.0125,LC,Insectivore,1825638.34243621
22,Acomys cahirinus,4017285726837.86,Acomys,Muridae,Rodentia,41.16,650.0125,LC,Omnivore,4017285.72683786
23,Acomys cilicicus,17625137.015363,Acomys,Muridae,Rodentia,48.0,650.0125,DD,Omnivore,17.625137015363
24,Acomys cineraceus,1049545703683.92,Acomys,Muridae,Rodentia,19.24,650.0125,LC,Insectivore,1049545.70368392
25,Acomys dimidiatus,1558726498080.71,Acomys,Muridae,Rodentia,50.0,650.0125,LC,Omnivore,1558726.49808071
26,Acomys ignitus,105257336315.252,Acomys,Muridae,Rodentia,24.0,650.0125,LC,Insectivore,105257.33631525199
27,Acomys johannis,426085265225.807,Acomys,Muridae,Rodentia,63.85388804,650.0125,LC,Insectivore,426085.26522580703
28,Acomys kempi,569643251882.304,Acomys,Muridae,Rodentia,21.99,650.0125,LC,Insectivore,569643.251882304
29,Acomys louisae,688440046244.099,Acomys,Muridae,Rodentia,20.19,650.0125,LC,Insectivore,688440.046244099
30,Acomys minous,8344718601.384991,Acomys,Muridae,Rodentia,62.5,650.0125,DD,Herbivore,8344.71860138499
31,Acomys mullah,160420649751.978,Acomys,Muridae,Rodentia,63.85388804,650.0125,LC,Insectivore,160420.649751978
32,Acomys percivali,222958227225.518,Acomys,Muridae,Rodentia,21.99,650.0125,LC,Insectivore,222958.227225518
33,Acomys russatus,702023859226.838,Acomys,Muridae,Rodentia,42.35,650.0125,LC,Insectivore,702023.859226838
34,Acomys seurati,298887042163.151,Acomys,Muridae,Rodentia,38.657,650.0125,LC,Insectivore,298887.042163151
35,Acomys spinosissimus,1715735103219.23,Acomys,Muridae,Rodentia,26.5,650.0125,LC,Insectivore,1715735.10321923
36,Acomys subspinosus,94357461496.5139,Acomys,Muridae,Rodentia,21.92,650.0125,LC,Omnivore,94357.4614965139
37,Acomys wilsoni,1372812729820.59,Acomys,Muridae,Rodentia,18.5,650.0125,LC,Insectivore,1372812.72982059
38,Aconaemys fuscus,31935754233.843998,Aconaemys,Octodontidae,Rodentia,129.95,1310.04695,LC,Herbivore,31935.754233844
39,Aconaemys porteri,22675333164.2997,Aconaemys,Octodontidae,Rodentia,113.22,1310.04695,DD,Herbivore,22675.333164299704
40,Aconaemys sagei,40513557438.3435,Aconaemys,Octodontidae,Rodentia,96.49,1310.04695,DD,Herbivore,40513.5574383435
41,Acrobates pygmaeus,1200801293151.93,Acrobates,Acrobatidae,Diprotodontia,13.84,997.9661,LC,Omnivore,1200801.29315193
42,Aegialomys galapagoensis,23180551.0992547,Aegialomys,Cricetidae,Rodentia,64.5,589.3882991,VU,Omnivore,23.1805510992547
43,Aegialomys xanthaeolus,258878321093.441,Aegialomys,Cricetidae,Rodentia,79.79,589.3882991,LC,Omnivore,258878.32109344102
44,Aepeomys lugens,9497265181.719791,Aepeomys,Cricetidae,Rodentia,37.0,589.3882991,LC,Omnivore,9497.26518171979
45,Aepeomys reigi,13016499041.7747,Aepeomys,Cricetidae,Rodentia,37.0,589.3882991,VU,Omnivore,13016.4990417747
46,Aepyprymnus rufescens,566664642591.369,Aepyprymnus,Potoroidae,Diprotodontia,2810.31,1327.5927,LC,Herbivore,566664.642591369
47,Aeretes melanopterus,56180819755.0423,Aeretes,Sciuridae,Rodentia,246.43442569999996,1384.121263,NT,Herbivore,56180.81975504231
48,Aeromys tephromelas,362180499277.985,Aeromys,Sciuridae,Rodentia,1187.0,2015.7551019999999,DD,Omnivore,362180.499277985
49,Aeromys thomasi,446207386884.844,Aeromys,Sciuridae,Rodentia,1430.19,2015.7551019999999,LC,Herbivore,446207.386884844
50,Aethalops aequalis,93008852218.1021,Aethalops,Pteropodidae,Chiroptera,15.0,1553.7908730000001,LC,Herbivore,93008.85221810211
51,Aethalops alecto,158099135529.788,Aethalops,Pteropodidae,Chiroptera,15.0,1553.7908730000001,LC,Herbivore,158099.135529788
52,Aethomys bocagei,253323286727.661,Aethomys,Muridae,Rodentia,63.85388804,624.3996409,LC,Herbivore,253323.286727661
53,Aethomys chrysophilus,4154330279173.41,Aethomys,Muridae,Rodentia,80.85,624.3996409,LC,Herbivore,4154330.27917341
54,Aethomys hindei,2482352208008.69,Aethomys,Muridae,Rodentia,140.65,639.6318318,LC,Omnivore,2482352.20800869
55,Aethomys ineptus,592259543604.944,Aethomys,Muridae,Rodentia,133.16,639.6318318,LC,Herbivore,592259.543604944
56,Aethomys kaiseri,1693329175361.74,Aethomys,Muridae,Rodentia,89.99,624.3996409,LC,Herbivore,1693329.17536174
57,Aethomys nyikae,897965405915.624,Aethomys,Muridae,Rodentia,77.015,624.3996409,LC,Herbivore,897965.4059156241
58,Aethomys silindensis,19129117944.7362,Aethomys,Muridae,Rodentia,83.48586401,624.3996409,DD,Herbivore,19129.1179447362
59,Aethomys stannarius,170085391271.419,Aethomys,Muridae,Rodentia,83.48586401,624.3996409,DD,Herbivore,170085.391271419
60,Aethomys thomasi,270711031656.793,Aethomys,Muridae,Rodentia,63.85388804,624.3996409,LC,Herbivore,270711.031656793
61,Ailurops melanotis,274513647.625347,Ailurops,Phalangeridae,Diprotodontia,8500.0,2000.363913,CR,Herbivore,274.513647625347
62,Ailurops ursinus,179858765036.463,Ailurops,Phalangeridae,Diprotodontia,10000.0,2000.363913,VU,Herbivore,179858.765036463
63,Ailurus fulgens,338831022025.344,Ailurus,Ailuridae,Carnivora,5170.08,3650.0,EN,Herbivore,338831.02202534396
64,Akodon aerosus,114165459188.90599,Akodon,Cricetidae,Rodentia,59.99,589.3882991,LC,Omnivore,114165.459188906
65,Akodon affinis,42197044009.2043,Akodon,Cricetidae,Rodentia,24.89,589.3882991,LC,Omnivore,42197.0440092043
66,Akodon albiventer,402049085753.84204,Akodon,Cricetidae,Rodentia,25.95,589.3882991,LC,Insectivore,402049.085753842
67,Akodon azarae,1227616003741.34,Akodon,Cricetidae,Rodentia,25.27,589.3882991,LC,Omnivore,1227616.00374134
68,Akodon boliviensis,217532524122.88397,Akodon,Cricetidae,Rodentia,27.5,589.3882991,LC,Omnivore,217532.52412288397
69,Akodon budini,19876490779.1889,Akodon,Cricetidae,Rodentia,26.9,589.3882991,LC,Omnivore,19876.490779188898
