binomial,clade1,clade2,clade4,clade7,clade8,clade9,clade
Abditomys latidens,0,0,1,0,0,0,4
Abeomelomys sevia,0,0,1,0,0,0,4
Abrawayaomys ruschii,0,0,1,0,0,0,4
Abrocoma bennettii,0,0,1,0,0,0,4
Abrocoma boliviensis,0,0,1,0,0,0,4
Abrocoma budini,0,0,1,0,0,0,4
Abrocoma cinerea,0,0,1,0,0,0,4
Abrocoma famatina,0,0,1,0,0,0,4
Abrocoma shistacea,0,0,1,0,0,0,4
Abrocoma uspallata,0,0,1,0,0,0,4
Abrocoma vaccarum,0,0,1,0,0,0,4
Abrothrix andinus,0,0,1,0,0,0,4
Abrothrix jelskii,0,0,1,0,0,0,4
Abrothrix lanosus,0,0,1,0,0,0,4
Abrothrix longipilis,0,0,1,0,0,0,4
Abrothrix olivaceus,0,0,1,0,0,0,4
Abrothrix sanborni,0,0,1,0,0,0,4
Acerodon celebensis,0,0,0,0,0,1,9
Acerodon humilis,0,0,0,0,0,1,9
Acerodon leucotis,0,0,0,0,0,1,9
Acerodon mackloti,0,0,0,0,0,1,9
Acomys airensis,0,0,1,0,0,0,4
Acomys cahirinus,0,0,1,0,0,0,4
Acomys cilicicus,0,0,1,0,0,0,4
Acomys cineraceus,0,0,1,0,0,0,4
Acomys dimidiatus,0,0,1,0,0,0,4
Acomys ignitus,0,0,1,0,0,0,4
Acomys johannis,0,0,1,0,0,0,4
Acomys kempi,0,0,1,0,0,0,4
Acomys louisae,0,0,1,0,0,0,4
Acomys minous,0,0,1,0,0,0,4
Acomys mullah,0,0,1,0,0,0,4
Acomys percivali,0,0,1,0,0,0,4
Acomys russatus,0,0,1,0,0,0,4
Acomys seurati,0,0,1,0,0,0,4
Acomys spinosissimus,0,0,1,0,0,0,4
Acomys subspinosus,0,0,1,0,0,0,4
Acomys wilsoni,0,0,1,0,0,0,4
Aconaemys fuscus,0,0,1,0,0,0,4
Aconaemys porteri,0,0,1,0,0,0,4
Aconaemys sagei,0,0,1,0,0,0,4
Acrobates pygmaeus,1,0,0,0,0,0,1
Aegialomys galapagoensis,0,0,1,0,0,0,4
Aegialomys xanthaeolus,0,0,1,0,0,0,4
Aepeomys lugens,0,0,1,0,0,0,4
Aepeomys reigi,0,0,1,0,0,0,4
Aepyprymnus rufescens,1,0,0,0,0,0,1
Aeretes melanopterus,0,0,1,0,0,0,4
Aeromys tephromelas,0,0,1,0,0,0,4
Aeromys thomasi,0,0,1,0,0,0,4
Aethalops aequalis,0,0,0,0,0,1,9
Aethalops alecto,0,0,0,0,0,1,9
Aethomys bocagei,0,0,1,0,0,0,4
Aethomys chrysophilus,0,0,1,0,0,0,4
Aethomys hindei,0,0,1,0,0,0,4
Aethomys ineptus,0,0,1,0,0,0,4
Aethomys kaiseri,0,0,1,0,0,0,4
Aethomys nyikae,0,0,1,0,0,0,4
Aethomys silindensis,0,0,1,0,0,0,4
Aethomys stannarius,0,0,1,0,0,0,4
Aethomys thomasi,0,0,1,0,0,0,4
Ailurops melanotis,1,0,0,0,0,0,1
Ailurops ursinus,1,0,0,0,0,0,1
Ailurus fulgens,0,0,0,0,0,1,9
Akodon aerosus,0,0,1,0,0,0,4
Akodon affinis,0,0,1,0,0,0,4
Akodon albiventer,0,0,1,0,0,0,4
Akodon azarae,0,0,1,0,0,0,4
Akodon boliviensis,0,0,1,0,0,0,4
Akodon budini,0,0,1,0,0,0,4
Akodon cursor,0,0,1,0,0,0,4
Akodon dayi,0,0,1,0,0,0,4
Akodon dolores,0,0,1,0,0,0,4
Akodon fumeus,0,0,1,0,0,0,4
Akodon iniscatus,0,0,1,0,0,0,4
Akodon juninensis,0,0,1,0,0,0,4
Akodon kofordi,0,0,1,0,0,0,4
Akodon lindberghi,0,0,1,0,0,0,4
Akodon lutescens,0,0,1,0,0,0,4
Akodon mimus,0,0,1,0,0,0,4
Akodon molinae,0,0,1,0,0,0,4
Akodon mollis,0,0,1,0,0,0,4
Akodon montensis,0,0,1,0,0,0,4
Akodon mystax,0,0,1,0,0,0,4
Akodon orophilus,0,0,1,0,0,0,4
Akodon paranaensis,0,0,1,0,0,0,4
Akodon pervalens,0,0,1,0,0,0,4
Akodon philipmyersi,0,0,1,0,0,0,4
Akodon reigi,0,0,1,0,0,0,4
Akodon sanctipaulensis,0,0,1,0,0,0,4
Akodon serrensis,0,0,1,0,0,0,4
Akodon siberiae,0,0,1,0,0,0,4
Akodon simulator,0,0,1,0,0,0,4
Akodon spegazzinii,0,0,1,0,0,0,4
Akodon subfuscus,0,0,1,0,0,0,4
Akodon surdus,0,0,1,0,0,0,4
Akodon sylvanus,0,0,1,0,0,0,4
Akodon toba,0,0,1,0,0,0,4
Akodon torques,0,0,1,0,0,0,4
Akodon varius,0,0,1,0,0,0,4
Alionycteris paucidentata,0,0,0,0,0,1,9
Allactaga balikunica,0,0,1,0,0,0,4
Allactaga bullata,0,0,1,0,0,0,4
Allactaga elater,0,0,1,0,0,0,4
Allactaga euphratica,0,0,1,0,0,0,4
Allactaga firouzi,0,0,1,0,0,0,4
Allactaga hotsoni,0,0,1,0,0,0,4
Allactaga major,0,0,1,0,0,0,4
Allactaga severtzovi,0,0,1,0,0,0,4
Allactaga sibirica,0,0,1,0,0,0,4
Allactaga tetradactyla,0,0,1,0,0,0,4
Allactaga vinogradovi,0,0,1,0,0,0,4
Allactaga williamsi,0,0,1,0,0,0,4
Allactodipus bobrinskii,0,0,1,0,0,0,4
Allenopithecus nigroviridis,0,0,0,1,0,0,7
Allocebus trichotis,0,0,0,1,0,0,7
Allocricetulus curtatus,0,0,1,0,0,0,4
Allocricetulus eversmanni,0,0,1,0,0,0,4
Alouatta arctoidea,0,0,0,1,0,0,7
Alouatta belzebul,0,0,0,1,0,0,7
Alouatta caraya,0,0,0,1,0,0,7
Alouatta discolor,0,0,0,1,0,0,7
Alouatta macconnelli,0,0,0,1,0,0,7
Alouatta nigerrima,0,0,0,1,0,0,7
Alouatta palliata,0,0,0,1,0,0,7
Alouatta pigra,0,0,0,1,0,0,7
Alouatta sara,0,0,0,1,0,0,7
Alouatta ululata,0,0,0,1,0,0,7
Alticola albicaudus,0,0,1,0,0,0,4
Alticola argentatus,0,0,1,0,0,0,4
Alticola barakshin,0,0,1,0,0,0,4
Alticola lemminus,0,0,1,0,0,0,4
Alticola macrotis,0,0,1,0,0,0,4
Alticola montosa,0,0,1,0,0,0,4
Alticola olchonensis,0,0,1,0,0,0,4
Alticola roylei,0,0,1,0,0,0,4
Alticola semicanus,0,0,1,0,0,0,4
Alticola stoliczkanus,0,0,1,0,0,0,4
Alticola strelzowi,0,0,1,0,0,0,4
Alticola tuvinicus,0,0,1,0,0,0,4
Amblysomus corriae,0,1,0,0,0,0,2
Amblysomus hottentotus,0,1,0,0,0,0,2
Amblysomus marleyi,0,1,0,0,0,0,2
Amblysomus robustus,0,1,0,0,0,0,2
Amblysomus septentrionalis,0,1,0,0,0,0,2
Ametrida centurio,0,0,0,0,0,1,9
Ammodillus imbellis,0,0,1,0,0,0,4
Ammospermophilus harrisii,0,0,1,0,0,0,4
Ammospermophilus interpres,0,0,1,0,0,0,4
Ammospermophilus leucurus,0,0,1,0,0,0,4
Ammospermophilus nelsoni,0,0,1,0,0,0,4
Amorphochilus schnablii,0,0,0,0,0,1,9
Amphinectomys savamis,0,0,1,0,0,0,4
Anathana ellioti,0,0,1,0,0,0,4
Andalgalomys olrogi,0,0,1,0,0,0,4
Andalgalomys pearsoni,0,0,1,0,0,0,4
Andinomys edax,0,0,1,0,0,0,4
Anisomys imitator,0,0,1,0,0,0,4
Anomalurus beecrofti,0,0,1,0,0,0,4
Anomalurus derbianus,0,0,1,0,0,0,4
Anomalurus pelii,0,0,1,0,0,0,4
Anomalurus pusillus,0,0,1,0,0,0,4
Anonymomys mindorensis,0,0,1,0,0,0,4
Anotomys leander,0,0,1,0,0,0,4
Anoura caudifer,0,0,0,0,0,1,9
Anoura cultrata,0,0,0,0,0,1,9
Anoura fistulata,0,0,0,0,0,1,9
Anoura geoffroyi,0,0,0,0,0,1,9
Anoura latidens,0,0,0,0,0,1,9
Anoura luismanueli,0,0,0,0,0,1,9
Anourosorex assamensis,0,0,0,0,1,0,8
Anourosorex schmidi,0,0,0,0,1,0,8
Anourosorex squamipes,0,0,0,0,1,0,8
Anourosorex yamashinai,0,0,0,0,1,0,8
Antechinus adustus,1,0,0,0,0,0,1
Antechinus agilis,1,0,0,0,0,0,1
Antechinus flavipes,1,0,0,0,0,0,1
Antechinus godmani,1,0,0,0,0,0,1
Antechinus leo,1,0,0,0,0,0,1
Antechinus minimus,1,0,0,0,0,0,1
Antechinus stuartii,1,0,0,0,0,0,1
Antechinus subtropicus,1,0,0,0,0,0,1
Antechinus swainsonii,1,0,0,0,0,0,1
Anthops ornatus,0,0,0,0,0,1,9
Antrozous pallidus,0,0,0,0,0,1,9
Aonyx capensis,0,0,0,0,0,1,9
Aonyx congicus,0,0,0,0,0,1,9
Aotus azarae,0,0,0,1,0,0,7
Aotus brumbacki,0,0,0,1,0,0,7
Aotus griseimembra,0,0,0,1,0,0,7
Aotus jorgehernandezi,0,0,0,1,0,0,7
Aotus lemurinus,0,0,0,1,0,0,7
Aotus miconax,0,0,0,1,0,0,7
Aotus nancymaae,0,0,0,1,0,0,7
Aotus nigriceps,0,0,0,1,0,0,7
Aotus trivirgatus,0,0,0,1,0,0,7
Aotus vociferans,0,0,0,1,0,0,7
Aotus zonalis,0,0,0,1,0,0,7
Apodemus agrarius,0,0,1,0,0,0,4
Apodemus alpicola,0,0,1,0,0,0,4
Apodemus argenteus,0,0,1,0,0,0,4
Apodemus chevrieri,0,0,1,0,0,0,4
Apodemus draco,0,0,1,0,0,0,4
Apodemus epimelas,0,0,1,0,0,0,4
Apodemus flavicollis,0,0,1,0,0,0,4
Apodemus gurkha,0,0,1,0,0,0,4
Apodemus hyrcanicus,0,0,1,0,0,0,4
Apodemus latronum,0,0,1,0,0,0,4
Apodemus mystacinus,0,0,1,0,0,0,4
Apodemus pallipes,0,0,1,0,0,0,4
Apodemus peninsulae,0,0,1,0,0,0,4
Apodemus ponticus,0,0,1,0,0,0,4
Apodemus rusiges,0,0,1,0,0,0,4
Apodemus semotus,0,0,1,0,0,0,4
Apodemus speciosus,0,0,1,0,0,0,4
Apodemus sylvaticus,0,0,1,0,0,0,4
Apodemus uralensis,0,0,1,0,0,0,4
Apodemus witherbyi,0,0,1,0,0,0,4
Apomys abrae,0,0,1,0,0,0,4
Apomys camiguinensis,0,0,1,0,0,0,4
Apomys datae,0,0,1,0,0,0,4
Apomys gracilirostris,0,0,1,0,0,0,4
Apomys hylocetes,0,0,1,0,0,0,4
Apomys insignis,0,0,1,0,0,0,4
Apomys littoralis,0,0,1,0,0,0,4
Apomys microdon,0,0,1,0,0,0,4
Apomys musculus,0,0,1,0,0,0,4
Apomys sacobianus,0,0,1,0,0,0,4
Arabitragus jayakari,0,0,0,0,0,1,9
Arborimus albipes,0,0,1,0,0,0,4
Arborimus longicaudus,0,0,1,0,0,0,4
Arborimus pomo,0,0,1,0,0,0,4
Archboldomys luzonensis,0,0,1,0,0,0,4
Arctictis binturong,0,0,0,0,0,1,9
Arctocebus aureus,0,0,0,1,0,0,7
Arctocebus calabarensis,0,0,0,1,0,0,7
Arctogalidia trivirgata,0,0,0,0,0,1,9
Arctonyx collaris,0,0,0,0,0,1,9
Ardops nichollsi,0,0,0,0,0,1,9
Arielulus aureocollaris,0,0,0,0,0,1,9
Arielulus circumdatus,0,0,0,0,0,1,9
Arielulus cuprosus,0,0,0,0,0,1,9
Arielulus societatis,0,0,0,0,0,1,9
Arielulus torquatus,0,0,0,0,0,1,9
Ariteus flavescens,0,0,0,0,0,1,9
Artibeus amplus,0,0,0,0,0,1,9
Artibeus concolor,0,0,0,0,0,1,9
Artibeus fimbriatus,0,0,0,0,0,1,9
Artibeus fraterculus,0,0,0,0,0,1,9
Artibeus hirsutus,0,0,0,0,0,1,9
Artibeus inopinatus,0,0,0,0,0,1,9
Artibeus jamaicensis,0,0,0,0,0,1,9
Artibeus lituratus,0,0,0,0,0,1,9
Artibeus obscurus,0,0,0,0,0,1,9
Artibeus planirostris,0,0,0,0,0,1,9
Arvicanthis abyssinicus,0,0,1,0,0,0,4
Arvicanthis ansorgei,0,0,1,0,0,0,4
Arvicanthis blicki,0,0,1,0,0,0,4
Arvicanthis nairobae,0,0,1,0,0,0,4
Arvicanthis neumanni,0,0,1,0,0,0,4
Arvicanthis niloticus,0,0,1,0,0,0,4
Arvicanthis rufinus,0,0,1,0,0,0,4
Arvicola amphibius,0,0,1,0,0,0,4
Arvicola sapidus,0,0,1,0,0,0,4
Arvicola scherman,0,0,1,0,0,0,4
Asellia patrizii,0,0,0,0,0,1,9
Asellia tridens,0,0,0,0,0,1,9
Aselliscus stoliczkanus,0,0,0,0,0,1,9
Aselliscus tricuspidatus,0,0,0,0,0,1,9
Atelerix albiventris,0,0,0,0,1,0,8
Atelerix algirus,0,0,0,0,1,0,8
Atelerix frontalis,0,0,0,0,1,0,8
Atelerix sclateri,0,0,0,0,1,0,8
Ateles belzebuth,0,0,0,1,0,0,7
Ateles chamek,0,0,0,1,0,0,7
Ateles fusciceps,0,0,0,1,0,0,7
Ateles geoffroyi,0,0,0,1,0,0,7
Ateles hybridus,0,0,0,1,0,0,7
Ateles marginatus,0,0,0,1,0,0,7
Ateles paniscus,0,0,0,1,0,0,7
Atelocynus microtis,0,0,0,0,0,1,9
Atherurus africanus,0,0,1,0,0,0,4
Atherurus macrourus,0,0,1,0,0,0,4
Atilax paludinosus,0,0,0,0,0,1,9
Atlantoxerus getulus,0,0,1,0,0,0,4
Auliscomys boliviensis,0,0,1,0,0,0,4
Auliscomys pictus,0,0,1,0,0,0,4
Auliscomys sublimis,0,0,1,0,0,0,4
Avahi betsileo,0,0,0,1,0,0,7
Avahi cleesei,0,0,0,1,0,0,7
Avahi laniger,0,0,0,1,0,0,7
Avahi meridionalis,0,0,0,1,0,0,7
Avahi occidentalis,0,0,0,1,0,0,7
Avahi peyrierasi,0,0,0,1,0,0,7
Avahi ramanantsoavanai,0,0,0,1,0,0,7
Avahi unicolor,0,0,0,1,0,0,7
Axis axis,0,0,0,0,0,1,9
Axis calamianensis,0,0,0,0,0,1,9
Axis porcinus,0,0,0,0,0,1,9
Babyrousa babyrussa,0,0,0,0,0,1,9
Babyrousa celebensis,0,0,0,0,0,1,9
Baiomys musculus,0,0,1,0,0,0,4
Baiomys taylori,0,0,1,0,0,0,4
Baiyankamys habbema,0,0,1,0,0,0,4
Baiyankamys shawmayeri,0,0,1,0,0,0,4
Balantiopteryx infusca,0,0,0,0,0,1,9
Balantiopteryx io,0,0,0,0,0,1,9
Balantiopteryx plicata,0,0,0,0,0,1,9
Balionycteris maculata,0,0,0,0,0,1,9
Bandicota bengalensis,0,0,1,0,0,0,4
Bandicota indica,0,0,1,0,0,0,4
Bandicota savilei,0,0,1,0,0,0,4
Barbastella barbastellus,0,0,0,0,0,1,9
Barbastella leucomelas,0,0,0,0,0,1,9
Bassaricyon alleni,0,0,0,0,0,1,9
Bassaricyon gabbii,0,0,0,0,0,1,9
Bassariscus astutus,0,0,0,0,0,1,9
Bassariscus sumichrasti,0,0,0,0,0,1,9
Bathyergus janetta,0,0,1,0,0,0,4
Bathyergus suillus,0,0,1,0,0,0,4
Batomys dentatus,0,0,1,0,0,0,4
Batomys granti,0,0,1,0,0,0,4
Batomys russatus,0,0,1,0,0,0,4
Batomys salomonseni,0,0,1,0,0,0,4
Bauerus dubiaquercus,0,0,0,0,0,1,9
Bdeogale crassicauda,0,0,0,0,0,1,9
Bdeogale jacksoni,0,0,0,0,0,1,9
Bdeogale nigripes,0,0,0,0,0,1,9
Beamys hindei,0,0,1,0,0,0,4
Belomys pearsonii,0,0,1,0,0,0,4
Berylmys berdmorei,0,0,1,0,0,0,4
Berylmys bowersi,0,0,1,0,0,0,4
Berylmys mackenziei,0,0,1,0,0,0,4
Berylmys manipulus,0,0,1,0,0,0,4
Bibimys chacoensis,0,0,1,0,0,0,4
Bibimys labiosus,0,0,1,0,0,0,4
Bibimys torresi,0,0,1,0,0,0,4
Biswamoyopterus biswasi,0,0,1,0,0,0,4
Blanfordimys afghanus,0,0,1,0,0,0,4
Blanfordimys bucharensis,0,0,1,0,0,0,4
Blarina brevicauda,0,0,0,0,1,0,8
Blarina carolinensis,0,0,0,0,1,0,8
Blarina hylophaga,0,0,0,0,1,0,8
Blarinella griselda,0,0,0,0,1,0,8
Blarinella quadraticauda,0,0,0,0,1,0,8
Blarinella wardi,0,0,0,0,1,0,8
Blarinomys breviceps,0,0,1,0,0,0,4
Blastocerus dichotomus,0,0,0,0,0,1,9
Brachiones przewalskii,0,0,1,0,0,0,4
Brachylagus idahoensis,0,0,1,0,0,0,4
Brachyphylla cavernarum,0,0,0,0,0,1,9
Brachyphylla nana,0,0,0,0,0,1,9
Brachytarsomys albicauda,0,0,1,0,0,0,4
Brachytarsomys villosa,0,0,1,0,0,0,4
Brachyuromys betsileoensis,0,0,1,0,0,0,4
Brachyuromys ramirohitra,0,0,1,0,0,0,4
Bradypus pygmaeus,0,1,0,0,0,0,2
Bradypus torquatus,0,1,0,0,0,0,2
Bradypus tridactylus,0,1,0,0,0,0,2
Bradypus variegatus,0,1,0,0,0,0,2
Brucepattersonius griserufescens,0,0,1,0,0,0,4
Brucepattersonius guarani,0,0,1,0,0,0,4
Brucepattersonius igniventris,0,0,1,0,0,0,4
Brucepattersonius iheringi,0,0,1,0,0,0,4
Brucepattersonius misionensis,0,0,1,0,0,0,4
Brucepattersonius paradisus,0,0,1,0,0,0,4
Brucepattersonius soricinus,0,0,1,0,0,0,4
Bubalus arnee,0,0,0,0,0,1,9
Budorcas taxicolor,0,0,0,0,0,1,9
Bullimus bagobus,0,0,1,0,0,0,4
Bullimus gamay,0,0,1,0,0,0,4
Bullimus luzonicus,0,0,1,0,0,0,4
Bunolagus monticularis,0,0,1,0,0,0,4
Bunomys andrewsi,0,0,1,0,0,0,4
Bunomys chrysocomus,0,0,1,0,0,0,4
Bunomys coelestis,0,0,1,0,0,0,4
Bunomys fratrorum,0,0,1,0,0,0,4
Bunomys penitus,0,0,1,0,0,0,4
Bunomys prolatus,0,0,1,0,0,0,4
Cacajao calvus,0,0,0,1,0,0,7
Cacajao hosomi,0,0,0,1,0,0,7
Caenolestes caniventer,1,0,0,0,0,0,1
Caenolestes convelatus,1,0,0,0,0,0,1
Caenolestes fuliginosus,1,0,0,0,0,0,1
Calcochloris obtusirostris,0,1,0,0,0,0,2
Calcochloris tytonis,0,1,0,0,0,0,2
Callicebus melanochir,0,0,0,1,0,0,7
Callicebus nigrifrons,0,0,0,1,0,0,7
Callicebus personatus,0,0,0,1,0,0,7
Callimico goeldii,0,0,0,1,0,0,7
Callistomys pictus,0,0,1,0,0,0,4
Callithrix aurita,0,0,0,1,0,0,7
Callithrix flaviceps,0,0,0,1,0,0,7
Callithrix geoffroyi,0,0,0,1,0,0,7
Callithrix jacchus,0,0,0,1,0,0,7
Callithrix kuhlii,0,0,0,1,0,0,7
Callithrix penicillata,0,0,0,1,0,0,7
Callosciurus adamsi,0,0,1,0,0,0,4
Callosciurus albescens,0,0,1,0,0,0,4
Callosciurus baluensis,0,0,1,0,0,0,4
Callosciurus caniceps,0,0,1,0,0,0,4
Callosciurus erythraeus,0,0,1,0,0,0,4
Callosciurus finlaysonii,0,0,1,0,0,0,4
Callosciurus inornatus,0,0,1,0,0,0,4
Callosciurus melanogaster,0,0,1,0,0,0,4
Callosciurus nigrovittatus,0,0,1,0,0,0,4
Callosciurus notatus,0,0,1,0,0,0,4
Callosciurus orestes,0,0,1,0,0,0,4
Callosciurus phayrei,0,0,1,0,0,0,4
Callosciurus prevostii,0,0,1,0,0,0,4
Callosciurus pygerythrus,0,0,1,0,0,0,4
Callosciurus quinquestriatus,0,0,1,0,0,0,4
Calomys boliviae,0,0,1,0,0,0,4
Calomys callidus,0,0,1,0,0,0,4
Calomys callosus,0,0,1,0,0,0,4
Calomys expulsus,0,0,1,0,0,0,4
Calomys fecundus,0,0,1,0,0,0,4
Calomys hummelincki,0,0,1,0,0,0,4
Calomys laucha,0,0,1,0,0,0,4
Calomys lepidus,0,0,1,0,0,0,4
Calomys musculinus,0,0,1,0,0,0,4
Calomys sorellus,0,0,1,0,0,0,4
Calomys tener,0,0,1,0,0,0,4
Calomys tocantinsi,0,0,1,0,0,0,4
Calomys venustus,0,0,1,0,0,0,4
