binomial,clade1,clade2,clade4,clade7,clade8,clade9,clade
Acerodon jubatus,0,0,0,0,0,1,9
Acinonyx jubatus,0,0,0,0,0,1,9
Addax nasomaculatus,0,0,0,0,0,1,9
Aepyceros melampus,0,0,0,0,0,1,9
Ailuropoda melanoleuca,0,0,0,0,0,1,9
Alcelaphus buselaphus,0,0,0,0,0,1,9
Alces alces,0,0,0,0,0,1,9
Alouatta ululata,0,0,0,1,0,0,7
Amblysomus septentrionalis,0,1,0,0,0,0,2
Ammodorcas clarkei,0,0,0,0,0,1,9
Ammospermophilus nelsoni,0,0,1,0,0,0,4
Ammotragus lervia,0,0,0,0,0,1,9
Antechinomys laniger,1,0,0,0,0,0,1
Antechinus bellus,1,0,0,0,0,0,1
Antidorcas marsupialis,0,0,0,0,0,1,9
Antilocapra americana,0,0,0,0,0,1,9
Antilope cervicapra,0,0,0,0,0,1,9
Aplodontia rufa,0,0,1,0,0,0,4
Aproteles bulmerae,0,0,0,0,0,1,9
Arabitragus jayakari,0,0,0,0,0,1,9
Arborimus longicaudus,0,0,1,0,0,0,4
Arborimus pomo,0,0,1,0,0,0,4
Axis kuhlii,0,0,0,0,0,1,9
Babyrousa togeanensis,0,0,0,0,0,1,9
Bdeogale omnivora,0,0,0,0,0,1,9
Beatragus hunteri,0,0,0,0,0,1,9
Bettongia gaimardi,1,0,0,0,0,0,1
Bettongia lesueur,1,0,0,0,0,0,1
Bettongia penicillata,1,0,0,0,0,0,1
Bettongia tropica,1,0,0,0,0,0,1
Bison bison,0,0,0,0,0,1,9
Bos gaurus,0,0,0,0,0,1,9
Bos javanicus,0,0,0,0,0,1,9
Bos mutus,0,0,0,0,0,1,9
Boselaphus tragocamelus,0,0,0,0,0,1,9
Brachyteles arachnoides,0,0,0,1,0,0,7
Brachyteles hypoxanthus,0,0,0,1,0,0,7
Bubalus arnee,0,0,0,0,0,1,9
Bubalus depressicornis,0,0,0,0,0,1,9
Bubalus mindorensis,0,0,0,0,0,1,9
Bubalus quarlesi,0,0,0,0,0,1,9
Bunolagus monticularis,0,0,1,0,0,0,4
Burramys parvus,1,0,0,0,0,0,1
Caenolestes condorensis,1,0,0,0,0,0,1
Callicebus barbarabrownae,0,0,0,1,0,0,7
Callicebus coimbrai,0,0,0,1,0,0,7
Callithrix aurita,0,0,0,1,0,0,7
Callithrix flaviceps,0,0,0,1,0,0,7
Callithrix jacchus,0,0,0,1,0,0,7
Callithrix penicillata,0,0,0,1,0,0,7
Camelus ferus,0,0,0,0,0,1,9
