,Binomial,Range_m,pop_density,label,AdultBodyMassG,RedListStatus,TrophicLevel,MaturePop,Range
0,Acerodon jubatus,144169.519757211,0.046473068726893,Entire range,1087.04,EN,Herbivore,6700.0,144169.519757211
1,Acinonyx jubatus,2943299.89412248,0.002267522930072,Entire range,50577.92,VU,Carnivore,6674.00000000001,2943299.89412248
2,Addax nasomaculatus,33784.5177430542,0.00153802770317,Entire range,96077.36,CR,Herbivore,51.9615242270662,33784.5177430542
3,Aepyceros melampus,3359993.74112893,0.5952392040254271,Entire range,52591.69,LC,Herbivore,2000000.0,3359993.74112893
4,Ailuropoda melanoleuca,25709.6001269284,0.040451815464477,Entire range,118000.0,VU,Herbivore,1040.0,25709.6001269284
5,Alcelaphus buselaphus,6759382.24430768,0.035881977262678,Entire range,160937.9,LC,Herbivore,242540.0,6759382.24430768
6,Alces alces,23096275.489413198,0.060918913122808005,Entire range,461900.8,LC,Herbivore,1407000.0,23096275.489413198
9,Ammodorcas clarkei,83716.8585361551,0.033446071065731005,Entire range,28049.81,VU,Herbivore,2800.0,83716.8585361551
11,Ammotragus lervia,1416968.01436395,0.004990280472237,Entire range,94202.22,VU,Herbivore,7071.06781186547,1416968.01436395
12,Antechinomys laniger,2438408.59999749,0.018340387886608002,Entire range,25.57,LC,Insectivore,44721.3595499957,2438408.59999749
13,Antechinus bellus,20577.833749230802,1.22212419927821,Entire range,38.73,VU,Carnivore,25148.6685936588,20577.833749230802
14,Antidorcas marsupialis,1950012.8546253003,0.80268577744869,Entire range,33571.24,LC,Herbivore,1565247.58424985,1950012.8546253003
15,Antilocapra americana,2007736.6028278,0.373554976755248,Entire range,47450.01,LC,Herbivore,749999.9999999991,2007736.6028278
16,Antilope cervicapra,1754050.80102145,0.019953812044451,Entire range,36301.1,LC,Herbivore,35000.0,1754050.80102145
17,Aplodontia rufa,245471.86999982301,0.272943698192581,Entire range,806.21,LC,Herbivore,67000.00000000019,245471.86999982301
18,Aproteles bulmerae,48.1553274876945,3.07451017178541,Entire range,623.91,CR,Herbivore,148.054044186574,48.1553274876945
22,Axis kuhlii,63.797794847107106,4.95671937838424,Entire range,54999.99,CR,Herbivore,316.227766016838,63.797794847107106
23,Babyrousa togeanensis,533.083881183806,0.9379386952943741,Entire range,85000.0,EN,Omnivore,500.0,533.083881183806
24,Bdeogale omnivora,28493.0086532354,0.28469158925932503,Entire range,2281.7133329999997,VU,Insectivore,8111.7199162692905,28493.0086532354
25,Beatragus hunteri,10578.2524354372,0.021138349563383,Entire range,79132.17,CR,Herbivore,223.60679774997996,10578.2524354372
26,Bettongia gaimardi,29087.3704327375,1.0871651899510602,Entire range,1667.55,NT,Herbivore,31622.7766016839,29087.3704327375
27,Bettongia lesueur,327.757979034549,44.239960359505204,Entire range,1447.27,NT,Omnivore,14500.0,327.757979034549
