Binomial,Range_km_2_old,AdultBodyMassG,RedListStatus,TrophicLevel,total_pop,pop_density,label
Alces alces,23096275.4894132,461900.8,LC,Herbivore,2100000,0.090923750929564,Entire range
Lynx rufus,9879514.31154415,6374.47,LC,Carnivore,3500000,0.354268427539021,Entire range
Macropus fuliginosus,1607057.79460639,25564.7,LC,Herbivore,5000000,3.11127578409501,Entire range
Macropus giganteus,2231134.33205196,33409.89,LC,Herbivore,22000000,9.86045514335605,Entire range
Macropus robustus,6349650.73611072,25978.92,LC,Herbivore,4500000,0.708700397394823,Entire range
Macropus rufus,5360863.41812077,38968.39,LC,Herbivore,12000000,2.23844538912102,Entire range
Odocoileus hemionus,6340068.20668366,84560.57,LC,Herbivore,6000000,0.946362058640764,Entire range
Odocoileus virginianus,14410636.173692,75901.25,LC,Herbivore,41000000,2.84512075010604,Entire range
Philantomba monticola,6383787.67223488,4896.05,LC,Omnivore,7000000,1.0965276978815,Entire range
Procyon lotor,11684834.8676303,6373.72,LC,Omnivore,40000000,3.42324050387819,Entire range
Acerodon jubatus,144169.519757211,1087.04,EN,Herbivore,10000,0.069362789144616,Entire range
Acinonyx jubatus,2943299.89412248,50577.92,VU,Carnivore,10011,0.003401284395107,Entire range
Addax nasomaculatus,33784.5177430542,96077.36,CR,Herbivore,77.9422863405995,0.002307041554755,Entire range
Aepyceros melampus,3359993.74112893,52591.69,LC,Herbivore,3000000,0.892858806038141,Entire range
Ailuropoda melanoleuca,25709.6001269284,118000,VU,Herbivore,1864,0.072502100024793,Entire range
Alcelaphus buselaphus,6759382.24430768,160937.9,LC,Herbivore,362000,0.053555189944296,Entire range
Ammodorcas clarkei,83716.8585361551,28049.81,VU,Herbivore,4200,0.050169106598597,Entire range
Ammotragus lervia,1416968.01436395,94202.22,VU,Herbivore,10606.6017177982,0.007485420708356,Entire range
Antechinomys laniger,2438408.59999749,25.57,LC,Insectivore,67082.0393249937,0.027510581829913,Entire range
Antechinus bellus,20577.8337492308,38.73,VU,Carnivore,37723.002890488,1.83318629891731,Entire range
Antidorcas marsupialis,1950012.8546253,33571.24,LC,Herbivore,2236067.97749979,1.14669396778385,Entire range
Antilocapra americana,2007736.6028278,47450.01,LC,Herbivore,1000000,0.498073302340331,Entire range
Antilope cervicapra,1754050.80102145,36301.1,LC,Herbivore,52500,0.029930718066676,Entire range
Aplodontia rufa,245471.869999823,806.21,LC,Herbivore,100000,0.407378654018777,Entire range
Aproteles bulmerae,48.1553274876945,623.91,CR,Herbivore,222.081066279861,4.61176525767811,Entire range
Axis kuhlii,63.7977948471071,54999.99,CR,Herbivore,474.341649025257,7.43507906757636,Entire range
Babyrousa togeanensis,533.083881183806,85000,EN,Omnivore,750,1.40690804294156,Entire range
Bdeogale omnivora,28493.0086532354,2281.713333,VU,Insectivore,11832.1595661992,0.415265362468335,Entire range
Beatragus hunteri,10578.2524354372,79132.17,CR,Herbivore,335.410196624968,0.031707524345075,Entire range
Bettongia gaimardi,29087.3704327375,1667.55,NT,Herbivore,47434.1649025257,1.63074778492659,Entire range
Bettongia lesueur,327.757979034549,1447.27,NT,Omnivore,21750,66.3599405392578,Entire range
Bettongia penicillata,4058.27273191959,1184.35,CR,Herbivore,22045.4076850486,5.43221442749635,Entire range
Bettongia tropica,315.835889087624,1256.58,EN,Omnivore,10606.6017177982,33.5826360596264,Entire range
Bison bison,140673.06663972,624577.1,NT,Herbivore,31000,0.220369120688857,Entire range
Bos gaurus,1370086.93019976,721000,VU,Herbivore,22912.8784747792,0.016723667651832,Entire range
Bos javanicus,156359.584953372,635974.3,EN,Herbivore,8000,0.051164116369237,Entire range
Bos mutus,469488.30631726,650000,VU,Herbivore,12989.731521475,0.027667848904201,Entire range
Boselaphus tragocamelus,2289610.03846483,182253,LC,Herbivore,137000,0.059835516834062,Entire range
Brachyteles arachnoides,86274.5405965034,10537.31,EN,Herbivore,1300,0.015068176440138,Entire range
Brachyteles hypoxanthus,96658.1964197892,13500,CR,Herbivore,1282.5,0.013268403999906,Entire range
Bubalus depressicornis,101169.816336731,256989.3,EN,Herbivore,3750,0.037066391299146,Entire range
Bubalus mindorensis,71.8611631531479,254389.7,CR,Herbivore,430,5.98376064528206,Entire range
Bubalus quarlesi,70025.7556163257,181718.9,EN,Herbivore,75,0.001071034497806,Entire range
Burramys parvus,1197.79120446926,44.27,CR,Omnivore,3375,2.81768641095964,Entire range
Caenolestes condorensis,78.682885895177,47.81,VU,NotAssigned,1500,19.0638660864363,Entire range
Callicebus barbarabrownae,129709.387098173,1050,CR,Omnivore,390,0.003006721477335,Entire range
Callicebus coimbrai,38585.3575106214,1050,EN,Omnivore,707.106781186547,0.018325780213178,Entire range
Camelus ferus,202139.475313992,268000,CR,Herbivore,1425,0.007049587903533,Entire range
Canis lupus,51172690.2050336,31756.51,LC,Carnivore,223606.797749979,0.00436965101608,Entire range
Canis simensis,6131.38304685596,14361.86,EN,Carnivore,295.5,0.048194672840009,Entire range
Capra caucasica,11887.331982021,58149.52,EN,Herbivore,5477.22557505167,0.460761555522778,Entire range
Capra cylindricornis,22359.3358598194,50000,NT,Herbivore,39230.090491866,1.75452843223148,Entire range
Capra falconeri,18585.9383320967,54303.37,NT,Herbivore,9700,0.52189993459995,Entire range
Capra ibex,2142.09882131455,69546.83,LC,Herbivore,47130,22.0017860665633,Entire range
Capra pyrenaica,52244.3816457298,60898.77,LC,Herbivore,75000,1.43556106202149,Entire range
Capra sibirica,1562756.11353715,130000,LC,Herbivore,244427.577022316,0.156408012040393,Entire range
Capra walie,844.923837794699,100144,EN,Herbivore,500,0.591769314149107,Entire range
Capreolus capreolus,6440259.52946593,22502.01,LC,Herbivore,22500000,3.49364802723499,Entire range
Capreolus pygargus,11998106.1701476,41371.03,LC,Herbivore,1000000,0.083346487005432,Entire range
Capricornis crispus,139676.39988537,43030.64,LC,Herbivore,150000,1.07391084050779,Entire range
Caprolagus hispidus,114548.273108796,2496.99,EN,Herbivore,219,0.001911857717768,Entire range
Catopuma badia,268234.064586005,3429.52,EN,NA,3300,0.012302687971766,Entire range
Cavia intermedia,0.293728902622057,566.7175,CR,Herbivore,56.9209978830309,193.787527801687,Entire range
Cephalophus adersi,5017.95911472716,9249.95,VU,Herbivore,20000,3.98568412829475,Entire range
Cephalophus callipygus,745835.020891764,19079.23,LC,Omnivore,382000,0.512177612071982,Entire range
Cephalophus dorsalis,3569429.30901229,20000,NT,Omnivore,725000,0.203113701725226,Entire range
Cephalophus jentinki,59693.1003357468,68489.54,EN,Omnivore,3000,0.050257064604223,Entire range
Cephalophus leucogaster,1003258.28025858,13208.69,NT,Omnivore,287000,0.286067910574362,Entire range
Cephalophus natalensis,897289.182924264,12724.51,LC,Omnivore,42000,0.046807652203186,Entire range
Cephalophus niger,761614.567579489,19094.32,LC,Omnivore,100000,0.131300009554456,Entire range
Cephalophus nigrifrons,3191995.27028307,14676.33,LC,Omnivore,300000,0.093985101667583,Entire range
Cephalophus ogilbyi,437958.932601986,18386.42,LC,Omnivore,35000,0.079916168833592,Entire range
Cephalophus rufilatus,2928977.47840118,12114.57,LC,Omnivore,170000,0.058040733072757,Entire range
Cephalophus silvicultor,6159623.64753685,62006.6,NT,Omnivore,160000,0.025975612984729,Entire range
Cephalophus spadix,6572.388585527,56857.02,EN,Herbivore,2250,0.34234129201592,Entire range
Cephalophus weynsi,1484365.37367421,17000,LC,Omnivore,188000,0.126653452939722,Entire range
Cephalophus zebra,58893.254838263,15654.75,VU,Omnivore,15000,0.254698098130153,Entire range
Ceratotherium simum,1220052.10931979,2285939,NT,Herbivore,20170,0.016532080757801,Entire range
Cercopithecus dryas,1361.544808615,2784.06,CR,Herbivore,200,0.146891970601721,Entire range
Cervus albirostris,747331.83001759,109666.7,VU,NA,7000,0.009366655773026,Entire range
Cervus canadensis,10322896.2906743,240867.1,LC,NA,1000000,0.096872037831417,Entire range
Cervus elaphus,3693145.60233818,240867.1,LC,Herbivore,2435500,0.659464928341318,Entire range
Cervus hanglu,47592.6185372994,240867.1,LC,NA,2700,0.056731486583029,Entire range
Chalinolobus neocaledonicus,16389.2142206608,10.17,EN,Insectivore,1500,0.091523606916374,Entire range
Chinchilla lanigera,24492.7967208623,480.28,EN,Herbivore,8025,0.327647352462796,Entire range
Choeropsis liberiensis,139545.002305839,227500,EN,Herbivore,3353.43107876097,0.024031180073445,Entire range
Chrysocyon brachyurus,4335910.27706432,23325,NT,Omnivore,25500,0.005881118005344,Entire range
Coleura seychellensis,227.694579837436,10.64,CR,Insectivore,106.066017177982,0.465825832365921,Entire range
Conilurus penicillatus,16145.2314108027,175.02,VU,Omnivore,75000,4.64533447007874,Entire range
Connochaetes gnou,403590.64805815,156547.5,LC,Herbivore,12094.5,0.029967245421052,Entire range
Connochaetes taurinus,3087760.39030925,198619.7,LC,Herbivore,1550000,0.501981955874745,Entire range
Crocuta crocuta,14471905.1423697,63369.98,LC,Carnivore,35623.0262611138,0.002461529833886,Entire range
Cryptoprocta ferox,442881.074197477,9500,VU,Carnivore,7151.32138139519,0.016147272480211,Entire range
Cuon alpinus,3444017.91678751,15800,EN,Carnivore,6873.86354243375,0.001995884954294,Entire range
