,Binomial,Range_km_2,AdultBodyMassG,Order,Family,Genus,RedListStatus,TrophicLevel
0,Abditomys latidens,788.230866363499,268.09,RODENTIA,MURIDAE,Abditomys,DD,Herbivore
1,Abeomelomys sevia,9683.96281480643,54.88,RODENTIA,MURIDAE,Abeomelomys,LC,Omnivore
2,Abrawayaomys ruschii,50733.6002623332,62.99,RODENTIA,CRICETIDAE,Abrawayaomys,LC,Omnivore
3,Abrocoma bennettii,124892.436886447,250.5,RODENTIA,ABROCOMIDAE,Abrocoma,LC,Herbivore
4,Abrocoma boliviensis,64.7398933443286,158,RODENTIA,ABROCOMIDAE,Abrocoma,CR,Herbivore
5,Abrocoma budini,405.496136199005,116.305,RODENTIA,ABROCOMIDAE,Abrocoma,DD,Herbivore
6,Abrocoma cinerea,529161.185607409,193.64,RODENTIA,ABROCOMIDAE,Abrocoma,LC,Herbivore
7,Abrocoma famatina,3306.52271338635,89.495,RODENTIA,ABROCOMIDAE,Abrocoma,DD,Herbivore
8,Abrocoma shistacea,5496.5001169739,109.39,RODENTIA,ABROCOMIDAE,Abrocoma,LC,Herbivore
9,Abrocoma uspallata,14.3177825340399,164.2793,RODENTIA,ABROCOMIDAE,Abrocoma,DD,Herbivore
10,Abrocoma vaccarum,37.1756622316342,232.625,RODENTIA,ABROCOMIDAE,Abrocoma,DD,Herbivore
11,Abrothrix andinus,612703.700175144,24.91,RODENTIA,CRICETIDAE,Abrothrix,LC,Omnivore
12,Abrothrix jelskii,498019.616924654,34.5,RODENTIA,CRICETIDAE,Abrothrix,LC,Omnivore
13,Abrothrix lanosus,40594.0895294136,27.83,RODENTIA,CRICETIDAE,Abrothrix,LC,Omnivore
14,Abrothrix longipilis,717944.263378186,38.86,RODENTIA,CRICETIDAE,Abrothrix,LC,Omnivore
15,Abrothrix olivaceus,1083350.90449786,24.52,RODENTIA,CRICETIDAE,Abrothrix,LC,Omnivore
16,Abrothrix sanborni,4530.83125305613,24.7,RODENTIA,CRICETIDAE,Abrothrix,NT,Omnivore
17,Acerodon celebensis,177574.277573658,384.84,CHIROPTERA,PTEROPODIDAE,Acerodon,VU,Herbivore
18,Acerodon humilis,929.157172249214,646.6033333,CHIROPTERA,PTEROPODIDAE,Acerodon,EN,Herbivore
20,Acerodon leucotis,12751.1815905991,646.6033333,CHIROPTERA,PTEROPODIDAE,Acerodon,VU,Herbivore
21,Acerodon mackloti,74622.8035090283,467.93,CHIROPTERA,PTEROPODIDAE,Acerodon,VU,Herbivore
23,Acomys airensis,1825633.21435239,38.657,RODENTIA,MURIDAE,Acomys,LC,Insectivore
24,Acomys cahirinus,4017437.12925011,41.16,RODENTIA,MURIDAE,Acomys,LC,Omnivore
25,Acomys cilicicus,17.624404571164,48,RODENTIA,MURIDAE,Acomys,DD,Omnivore
26,Acomys cineraceus,1049532.72839245,19.24,RODENTIA,MURIDAE,Acomys,LC,Insectivore
27,Acomys dimidiatus,1558104.7679006,50,RODENTIA,MURIDAE,Acomys,LC,Omnivore
28,Acomys ignitus,105257.220646357,24,RODENTIA,MURIDAE,Acomys,LC,Insectivore
29,Acomys johannis,426072.956960609,63.85388804,RODENTIA,MURIDAE,Acomys,LC,Insectivore
30,Acomys kempi,569641.443810637,21.99,RODENTIA,MURIDAE,Acomys,LC,Insectivore
31,Acomys louisae,688439.434949108,20.19,RODENTIA,MURIDAE,Acomys,LC,Insectivore
32,Acomys minous,8344.72119110142,62.5,RODENTIA,MURIDAE,Acomys,DD,Herbivore
33,Acomys mullah,160421.315089574,63.85388804,RODENTIA,MURIDAE,Acomys,LC,Insectivore
34,Acomys percivali,222957.777521784,21.99,RODENTIA,MURIDAE,Acomys,LC,Insectivore
35,Acomys russatus,701749.327923744,42.35,RODENTIA,MURIDAE,Acomys,LC,Insectivore
36,Acomys seurati,298864.47109795,38.657,RODENTIA,MURIDAE,Acomys,LC,Insectivore
37,Acomys spinosissimus,101250.459222423,26.5,RODENTIA,MURIDAE,Acomys,LC,Insectivore
38,Acomys subspinosus,94360.2069011851,21.92,RODENTIA,MURIDAE,Acomys,LC,Omnivore
39,Acomys wilsoni,1372807.8862353,18.5,RODENTIA,MURIDAE,Acomys,LC,Insectivore
40,Aconaemys fuscus,31933.8099339622,129.95,RODENTIA,OCTODONTIDAE,Aconaemys,LC,Herbivore
41,Aconaemys porteri,22673.1860897823,113.22,RODENTIA,OCTODONTIDAE,Aconaemys,DD,Herbivore
42,Aconaemys sagei,40512.9081393654,96.49,RODENTIA,OCTODONTIDAE,Aconaemys,DD,Herbivore
43,Acrobates pygmaeus,1200802.02987935,13.84,DIPROTODONTIA,ACROBATIDAE,Acrobates,LC,Omnivore
45,Aegialomys galapagoensis,23.1805542036363,64.5,RODENTIA,CRICETIDAE,Aegialomys,VU,Omnivore
46,Aegialomys xanthaeolus,258914.462637234,79.79,RODENTIA,CRICETIDAE,Aegialomys,LC,Omnivore
47,Aepeomys lugens,9497.29393566097,37,RODENTIA,CRICETIDAE,Aepeomys,LC,Omnivore
48,Aepeomys reigi,13016.5938658535,37,RODENTIA,CRICETIDAE,Aepeomys,VU,Omnivore
50,Aepyprymnus rufescens,566491.847217661,2810.31,DIPROTODONTIA,POTOROIDAE,Aepyprymnus,LC,Herbivore
51,Aeretes melanopterus,56078.3033423349,246.4344257,RODENTIA,SCIURIDAE,Aeretes,NT,Herbivore
52,Aeromys tephromelas,362180.645583593,1187,RODENTIA,SCIURIDAE,Aeromys,DD,Omnivore
53,Aeromys thomasi,446207.023767098,1430.19,RODENTIA,SCIURIDAE,Aeromys,LC,Herbivore
54,Aethalops aequalis,93009.5500968155,15,CHIROPTERA,PTEROPODIDAE,Aethalops,LC,Herbivore
