,Binomial,AdultBodyMassG,RedListStatus,TrophicLevel,total_pop,label,Range_km_2,pop_density
0,Alces alces,461900.8,LC,Herbivore,2100000,Entire range,23097615.783198,0.09091847486387
1,Lynx rufus,6374.47,LC,Carnivore,3500000,Entire range,9877659.32765986,0.354334957695812
2,Macropus fuliginosus,25564.7,LC,Herbivore,5000000,Entire range,1607351.63794084,3.11070700522348
3,Macropus giganteus,33409.89,LC,Herbivore,22000000,Entire range,2231314.19646193,9.85966030014245
4,Macropus robustus,25978.92,LC,Herbivore,4500000,Entire range,6349536.56472175,0.708713140578189
5,Macropus rufus,38968.39,LC,Herbivore,12000000,Entire range,5360832.99073944,2.23845809424195
6,Odocoileus hemionus,84560.57,LC,Herbivore,6000000,Entire range,6339435.91435907,0.946456448342631
7,Odocoileus virginianus,75901.25,LC,Herbivore,41000000,Entire range,14410477.1869866,2.84515213951589
8,Philantomba monticola,4896.05,LC,Omnivore,7000000,Entire range,6383686.83756796,1.09654501828082
9,Procyon lotor,6373.72,LC,Omnivore,40000000,Entire range,11684182.9230034,3.42343151109433
10,Acerodon jubatus,1087.04,EN,Herbivore,10000,Entire range,144168.863565913,0.069363104852582
11,Acinonyx jubatus,50577.92,VU,Carnivore,10011,Entire range,2943559.77122701,0.003400984107018
12,Addax nasomaculatus,96077.36,CR,Herbivore,77.9422863405995,Entire range,33786.2758672513,0.00230692150407
13,Aepyceros melampus,52591.69,LC,Herbivore,3000000,Entire range,3362497.33915562,0.892194014569348
14,Ailuropoda melanoleuca,118000,VU,Herbivore,1864,Entire range,25709.5923020017,0.072502122091406
15,Alcelaphus buselaphus,160937.9,LC,Herbivore,362000,Entire range,6759227.49663409,0.053556416052022
16,Ammodorcas clarkei,28049.81,VU,Herbivore,4200,Entire range,83716.7521984956,0.05016917032378
17,Ammotragus lervia,94202.22,VU,Herbivore,10606.6017177982,Entire range,1416981.5050929,0.007485349441525
18,Antechinomys laniger,25.57,LC,Insectivore,67082.0393249937,Entire range,2438260.82823157,0.027512249119651
19,Antechinus bellus,38.73,VU,Carnivore,37723.002890488,Entire range,20577.8336375019,1.83318630887073
20,Antidorcas marsupialis,33571.24,LC,Herbivore,2236067.97749979,Entire range,1950024.36844804,1.14668719718585
21,Antilocapra americana,47450.01,LC,Herbivore,1000000,Entire range,2007724.28445139,0.498076358265123
