,grid_index,area,annual_mean_temp,prec_warmest_quarter,temp_seasonality,prec_seasonality,npp,binomial
1,1,0.045894078035707435,17.480592091878254,8.675992965698242,566.9122314453125,86.43984985351562,-1.6999999760721821e+38,Acomys_minous
2,2,60.13425685045705,17.343265533447266,9.11843490600586,573.0847778320312,85.6882553100586,-1.6999999760721821e+38,Acomys_minous
3,3,379.20578952938325,16.968473434448242,9.995399475097656,573.381591796875,85.21336364746094,-inf,Acomys_minous
4,4,365.9287301505795,16.770719528198242,11.34362506866455,569.370361328125,85.22055053710938,-inf,Acomys_minous
5,5,297.1499644891196,16.67162322998047,15.613451639811197,567.3291829427084,85.9984842936198,-inf,Acomys_minous
6,6,255.26691529667016,17.36272621154785,15.957674026489258,558.0152587890625,87.46900939941406,-3.3999999521443642e+38,Acomys_minous
7,7,221.9118764393922,17.335580825805664,14.429567337036133,555.7453002929688,87.65653991699219,-inf,Acomys_minous
8,8,190.14034458039055,17.41943359375,17.084991455078125,552.848388671875,88.23477172851562,-inf,Acomys_minous
9,9,210.86458607835175,-1.6999999760721821e+38,-1.6999999760721821e+38,-1.6999999760721821e+38,-1.6999999760721821e+38,-inf,Acomys_minous
11,11,123.76976555098945,13.062482833862305,21.170963287353516,595.1097412109375,81.28460693359375,-1.6999999760721821e+38,Acomys_minous
12,12,141.65988977634888,14.727348327636719,15.842855453491211,582.8720703125,83.02735137939453,176972414976.0,Acomys_minous
13,13,202.23216894136544,16.64910634358724,10.153207143147787,566.0006917317709,85.52855428059895,-1.6999999760721821e+38,Acomys_minous
14,14,247.77409955398107,16.361771901448567,12.031209309895834,571.8077799479166,85.26389567057292,-8.499999880360911e+37,Acomys_minous
15,15,307.77777794566396,16.128864288330078,12.950584411621094,576.706787109375,84.52418518066406,-8.499999880360911e+37,Acomys_minous
16,16,400.0,16.736913681030273,10.611183166503906,568.0555419921875,84.43557739257812,-inf,Acomys_minous
17,17,400.0,16.898258209228516,10.250860214233398,561.5225830078125,84.4210433959961,-inf,Acomys_minous
18,18,400.0,16.527685801188152,13.459966023763021,563.1383463541666,85.01293436686198,-inf,Acomys_minous
19,19,400.0,17.311466217041016,14.065423011779785,556.8934326171875,86.7266845703125,-1.6999999760721821e+38,Acomys_minous
20,20,393.7480254861845,17.593246459960938,15.234160423278809,553.0823364257812,87.35781860351562,-inf,Acomys_minous
21,21,276.35067149136466,17.719860076904297,17.996337890625,549.966064453125,87.92755126953125,-inf,Acomys_minous
22,22,114.0825897839704,-8.499999880360911e+37,-8.499999880360911e+37,-8.499999880360911e+37,-8.499999880360911e+37,-inf,Acomys_minous
23,23,218.07958475690197,15.499056498209635,12.704635620117188,573.1302897135416,84.42269388834636,-inf,Acomys_minous
24,24,337.3663237460942,14.572484016418457,15.916265487670898,586.1458129882812,82.82473754882812,-inf,Acomys_minous
25,25,400.0,15.931148529052734,11.85405158996582,576.0130615234375,84.31058502197266,-1.1333333173814548e+38,Acomys_minous
26,26,389.4028554203559,17.032203674316406,8.55942153930664,562.09814453125,85.59098815917969,193988460544.0,Acomys_minous
27,27,239.93903641577086,16.41557439168294,11.323982238769531,563.5419108072916,84.66446940104167,208693460992.0,Acomys_minous
28,28,130.88940937296664,16.099884033203125,12.890777587890625,563.7665405273438,83.70170593261719,194776662016.0,Acomys_minous
29,29,218.10719420919045,17.084428787231445,9.664971351623535,548.3276977539062,83.66161346435547,130272444416.0,Acomys_minous
30,30,223.3257527196148,17.618099212646484,7.7419257164001465,536.5718994140625,83.73382568359375,93811326976.0,Acomys_minous
31,31,136.8091450056331,17.415325164794922,9.15013567606608,544.1836751302084,84.69215393066406,90914078720.0,Acomys_minous
32,32,67.40276719043933,17.86902618408203,12.944499015808105,546.4725341796875,86.41134643554688,88595513344.0,Acomys_minous
33,33,15.304824472205194,17.57791519165039,10.20928955078125,524.3915405273438,85.53107452392578,66709094400.0,Acomys_minous
34,34,59.68030658800818,17.060223897298176,7.98640251159668,555.08056640625,86.01145426432292,-1.6999999760721821e+38,Acomys_minous
35,35,66.10122298581665,17.21006202697754,8.190996170043945,567.6279296875,85.92662048339844,-inf,Acomys_minous
36,36,149.36127092058604,17.35968780517578,7.865248680114746,570.8519897460938,85.97897338867188,-3.3999999521443642e+38,Acomys_minous
