,grid_index,area,annual_mean_temp,prec_warmest_quarter,temp_seasonality,prec_seasonality,npp,binomial
1,1,34.112555410536416,18.737618582589285,338.35323660714283,402.46278599330356,16.127960205078125,-inf,Alouatta_guariba
2,2,4296.899560397888,18.78216298421224,325.63344319661456,386.9015299479167,16.23280080159505,-inf,Alouatta_guariba
3,3,864.4578171374814,18.83205795288086,374.9966125488281,414.10198974609375,8.149128913879395,713751134208.0,Alouatta_guariba
4,4,25.02118955229082,18.69004587026743,360.53185096153845,414.92149939903845,10.813225379356972,669585309696.0,Alouatta_guariba
5,5,6051.66013149639,18.57534702845982,349.05382254464286,405.18297991071427,12.72746320452009,602964544716.8,Alouatta_guariba
6,6,9931.469093879505,-1.172413776601505e+37,-1.172413776601505e+37,-1.172413776601505e+37,-1.172413776601505e+37,-inf,Alouatta_guariba
7,7,4737.837948578461,-2.6153845785725877e+37,-2.6153845785725877e+37,-2.6153845785725877e+37,-2.6153845785725877e+37,-inf,Alouatta_guariba
8,8,1430.303728055609,19.541685837965744,393.35877403846155,411.0072490985577,6.801155677208533,684964042909.5385,Alouatta_guariba
9,9,4404.878452849417,19.428985595703125,393.91234188988096,406.7265159970238,8.189273652576265,662766406860.8,Alouatta_guariba
10,10,10000.0,19.175823393322172,403.9876302083333,397.1382068452381,16.511301676432293,642043242086.4,Alouatta_guariba
11,11,10000.0,19.32660827636719,402.2170166015625,364.50703125,12.0212158203125,-inf,Alouatta_guariba
12,12,9045.736848006445,19.0593994140625,396.5132254464286,340.53546316964287,12.085509381975447,-inf,Alouatta_guariba
13,13,6268.5129991771255,19.18940124511719,425.05703125,393.6941162109375,8.07608871459961,668033310288.8422,Alouatta_guariba
15,15,8908.540954303237,18.193533761160715,460.1737351190476,366.9879557291667,20.10125732421875,730400607436.8,Alouatta_guariba
16,16,10000.0,17.65965343656994,439.99609375,342.98900204613096,13.394630068824405,770184664405.3334,Alouatta_guariba
17,17,10000.0,16.65881087932181,469.4801363031915,315.6123670212766,12.187180539394946,-inf,Alouatta_guariba
18,18,10000.0,19.075897216796875,434.7550048828125,327.375,20.168704986572266,-inf,Alouatta_guariba
19,19,9924.642851439123,19.77705775669643,444.72098214285717,390.7740234375,9.69094499860491,566370186035.2,Alouatta_guariba
20,20,2753.7853701741456,18.7301513671875,441.80672433035716,375.1719029017857,10.504132952008929,549104753049.6,Alouatta_guariba
22,22,9961.717290983803,16.706556919642857,417.83976004464284,334.12826450892857,14.544071742466517,730337640448.0,Alouatta_guariba
23,23,10000.0,15.421670532226562,431.691064453125,307.7694091796875,14.513851928710938,767370723328.0,Alouatta_guariba
24,24,10000.0,17.340836007254463,497.06160714285716,305.73233816964284,22.430941336495536,-inf,Alouatta_guariba
25,25,10000.0,19.549303327287948,507.2003696986607,305.89083426339283,23.695757184709823,-inf,Alouatta_guariba
26,26,10000.0,19.954676818847656,436.585546875,387.1818115234375,11.040408325195312,714503698342.9565,Alouatta_guariba
27,27,9809.234933931315,19.014363606770832,476.0923549107143,385.52455357142856,10.403294881184896,666290817597.44,Alouatta_guariba
28,28,909.5828188639275,18.09955560593378,475.32440476190476,351.78004092261904,12.504099527994791,681175228088.32,Alouatta_guariba
29,29,8708.447373914258,16.75003197079613,428.7454427083333,335.69703311011904,17.654493059430802,755391074577.0667,Alouatta_guariba
30,30,10000.0,15.85104497273763,440.966552734375,324.51743570963544,15.777155558268229,787270021939.2,Alouatta_guariba
31,31,10000.0,17.25723121279762,535.6258835565476,314.3543759300595,23.352466401599703,-inf,Alouatta_guariba
32,32,10000.0,19.32401921198918,555.8624549278846,314.62730994591345,26.384683462289665,-inf,Alouatta_guariba
33,33,10000.0,19.609967912946427,455.3608537946429,374.4037109375,15.736057826450892,842708025344.0,Alouatta_guariba
34,34,10000.0,18.39940679640997,538.582263764881,352.3262881324405,14.029767717633929,773921282457.6,Alouatta_guariba
35,35,1774.896963275475,17.267046247209823,541.911876860119,334.26543898809524,15.072650727771578,752236258918.4,Alouatta_guariba
36,36,7254.801926410005,15.827860514322916,465.58705357142856,323.89862351190476,16.10067603701637,804077611690.6666,Alouatta_guariba
37,37,10000.0,16.235148111979168,468.9066162109375,324.6210530598958,20.12244923909505,797502078976.0,Alouatta_guariba
38,38,10000.0,18.022479829334078,548.3968563988095,311.2804361979167,27.264043898809526,-inf,Alouatta_guariba
39,39,10000.0,20.358867938701923,658.6310847355769,305.3070537860577,34.679821307842545,-inf,Alouatta_guariba
40,40,10000.0,20.05656150535301,494.04586226851853,357.89699074074076,19.67292842158565,782981701001.8462,Alouatta_guariba
41,41,9971.994213423613,18.686213902064733,556.3823009672619,341.62513950892856,22.356849307105655,802352476979.2,Alouatta_guariba
42,42,1473.7024229325802,17.731523786272323,535.538829985119,322.4824451264881,22.02646745954241,807027710361.6,Alouatta_guariba
43,43,5384.68344509899,16.65723382859003,485.1910342261905,300.0836588541667,20.2686767578125,817802073429.3334,Alouatta_guariba
44,44,10000.0,17.081436157226562,477.5211181640625,309.1955159505208,25.783060709635418,780252374630.4,Alouatta_guariba
45,45,10000.0,17.582003638857888,566.256091889881,294.2157738095238,31.335658482142858,758497358643.2,Alouatta_guariba
46,46,10000.0,20.6276318359375,806.719921875,297.5423046875,42.1790869140625,-inf,Alouatta_guariba
47,47,10000.0,20.375452378216913,488.1901424632353,331.06077665441177,24.24969482421875,686885070438.4,Alouatta_guariba
48,48,10000.0,19.353611537388392,522.2755022321429,313.28719308035716,26.614125279017856,698589380608.0,Alouatta_guariba
49,49,3272.2424604769444,18.686826869419644,556.2138392857142,298.2722935267857,30.792264229910714,796408623923.2,Alouatta_guariba
50,50,3068.665670026585,18.053662109375,501.4546316964286,292.55139508928573,27.469607979910716,830342518101.3334,Alouatta_guariba
51,51,10000.0,17.432379150390624,469.21328125,292.068603515625,26.325424194335938,797981330636.8,Alouatta_guariba
52,52,10000.0,18.178097098214284,506.14073660714286,301.29068080357143,32.74535435267857,853270645964.8,Alouatta_guariba
53,53,10000.0,20.546700870289524,666.9435891544117,301.54676011029414,42.638284122242645,-inf,Alouatta_guariba
54,54,10000.0,21.796358235677083,757.8799479166667,280.21888020833336,42.32012125651042,-inf,Alouatta_guariba
55,55,10000.0,21.018192836216517,470.41856166294644,315.18607003348217,26.545948573521205,684976085401.6,Alouatta_guariba
56,56,9569.825809472775,20.789464438833843,451.1793540396341,300.8392006478659,26.361083984375,659862497962.6666,Alouatta_guariba
57,57,2587.1417833476876,19.71174548921131,483.3309616815476,287.53452845982144,29.714480445498513,700789471313.92,Alouatta_guariba
58,58,591.2748695543404,19.21031261625744,523.6875930059524,285.50274367559524,31.523806617373513,766564770338.1333,Alouatta_guariba
59,59,9630.29652441312,18.958479563395183,479.2962239583333,280.3384602864583,31.60241190592448,789491325337.6,Alouatta_guariba
60,60,10000.0,18.946954636346724,482.5894252232143,280.94700985863096,43.21401832217262,750700053135.36,Alouatta_guariba
61,61,10000.0,19.180783226376487,536.281482514881,278.1280226934524,50.57477097284226,785057107148.8,Alouatta_guariba
62,62,10000.0,19.271634729897105,669.8965320121952,253.66225228658536,50.929550543064025,-inf,Alouatta_guariba
63,63,10000.0,19.473077589465724,810.6190776209677,244.62666960685485,46.48519405241935,-inf,Alouatta_guariba
64,64,10000.0,19.551932440863716,811.7838541666666,250.64366319444446,47.98817274305556,-inf,Alouatta_guariba
65,65,9654.606851417877,21.63758028470553,436.24545522836536,276.7997859074519,34.59993333082933,712445445356.3077,Alouatta_guariba
66,66,5167.187253327286,20.99943615141369,438.08417038690476,272.5180896577381,35.822759719122026,703208724889.6,Alouatta_guariba
67,67,1291.132073725092,20.98690650576637,512.3223121279761,267.9574730282738,40.936761765252974,703790230186.6666,Alouatta_guariba
68,68,5287.40808728307,20.970054626464844,516.3555094401041,274.4072265625,44.45206197102865,720611678617.6,Alouatta_guariba
69,69,10000.0,20.29429699125744,552.0635695684524,251.162109375,55.065952845982146,712832922419.2,Alouatta_guariba
