,grid_index,area,annual_mean_temp,prec_warmest_quarter,temp_seasonality,prec_seasonality,npp,binomial
1,1,97.78356364881965,11.908334732055664,372.57513427734375,392.2350158691406,67.15516662597656,405135032320.0,Amblysomus_septentrionalis
2,2,312.01957242665907,13.599484252929688,395.573291015625,380.7693359375,70.22576293945312,445934643882.6667,Amblysomus_septentrionalis
3,3,287.09133162037784,15.009427070617676,403.464111328125,380.3800964355469,72.04371643066406,487866040320.0,Amblysomus_septentrionalis
4,4,0.1353429188185545,13.68724250793457,327.7427673339844,443.1273193359375,65.79844665527344,338012504064.0,Amblysomus_septentrionalis
5,5,133.15891261661142,13.51819896697998,337.0589904785156,425.4404296875,66.81806182861328,350581686272.0,Amblysomus_septentrionalis
6,6,399.0698889067503,13.786284446716309,346.63330078125,413.5593566894531,68.43993377685547,378906574848.0,Amblysomus_septentrionalis
7,7,400.0,14.362436930338541,363.3535970052083,397.9927164713542,70.6424560546875,422052298752.0,Amblysomus_septentrionalis
8,8,400.0,14.5970458984375,376.9091796875,386.31915283203125,71.69610595703125,449442349056.0,Amblysomus_septentrionalis
9,9,80.9464233739482,13.91366958618164,325.0906677246094,450.35736083984375,66.29291534423828,330715627520.0,Amblysomus_septentrionalis
10,10,21.4687451270533,13.868630409240723,331.04876708984375,434.50830078125,67.14311218261719,337088151552.0,Amblysomus_septentrionalis
11,11,115.19868189897021,14.090747833251953,336.93475341796875,424.93536376953125,68.39447021484375,353663582208.0,Amblysomus_septentrionalis
12,12,197.24636503117017,14.298611958821615,343.6580810546875,408.264404296875,70.30368041992188,387442540544.0,Amblysomus_septentrionalis
13,13,253.35268468905662,14.184664726257324,350.3542785644531,392.25823974609375,71.34850311279297,411018657792.0,Amblysomus_septentrionalis
14,14,100.11922424662474,15.29985523223877,305.1804504394531,483.0635681152344,71.23330688476562,276762951680.0,Amblysomus_septentrionalis
15,15,13.807793239137212,14.168149948120117,347.6694641113281,411.0395202636719,74.84527587890625,428906217472.0,Amblysomus_septentrionalis
16,16,17.363353004187196,14.223033905029297,356.7206217447917,397.7823893229167,74.83549499511719,450822995968.0,Amblysomus_septentrionalis
17,17,134.24475890754084,14.035194396972656,367.37445068359375,374.3813171386719,75.12570190429688,488436989952.0,Amblysomus_septentrionalis
18,18,271.2149001412776,14.133565902709961,380.50897216796875,356.63385009765625,74.86982727050781,537064275968.0,Amblysomus_septentrionalis
19,19,291.19151287705455,14.98820686340332,399.5867919921875,343.72802734375,74.45921325683594,569994313728.0,Amblysomus_septentrionalis
20,20,68.25879577976197,15.29985523223877,305.1804504394531,483.0635681152344,71.23330688476562,276762951680.0,Amblysomus_septentrionalis
21,21,0.2645787342634559,14.653515815734863,319.13232421875,441.7532958984375,74.38394927978516,351471403008.0,Amblysomus_septentrionalis
22,22,6.09960997325059,14.584676742553711,324.3042297363281,435.70550537109375,74.74421691894531,354403975168.0,Amblysomus_septentrionalis
23,23,222.81876803356093,14.32724380493164,337.2613525390625,420.455810546875,75.13569641113281,387398991872.0,Amblysomus_septentrionalis
24,24,385.47649022279484,14.249781290690104,351.2261555989583,400.7937825520833,75.2644551595052,425328803840.0,Amblysomus_septentrionalis
25,25,400.0,14.123793601989746,363.10986328125,376.9794921875,75.47848510742188,469754904576.0,Amblysomus_septentrionalis
26,26,400.0,14.421172142028809,378.624755859375,359.6287841796875,75.20368957519531,524181438464.0,Amblysomus_septentrionalis
27,27,400.0,15.239195823669434,398.37994384765625,346.90155029296875,74.73361206054688,554221568000.0,Amblysomus_septentrionalis
28,28,279.89275247715875,16.519567489624023,286.5417175292969,475.0010070800781,73.18894958496094,312405098496.0,Amblysomus_septentrionalis
30,30,8.485855572612458,14.816706657409668,317.7139892578125,443.5099182128906,74.04480743408203,355940073472.0,Amblysomus_septentrionalis
31,31,2.142604894867493,14.675848007202148,323.90966796875,434.1600341796875,74.79393768310547,357690834944.0,Amblysomus_septentrionalis
32,32,266.2947140188605,14.543593406677246,331.218994140625,423.0987243652344,75.51549530029297,369983553536.0,Amblysomus_septentrionalis
33,33,400.0,14.401846567789713,342.1278483072917,404.365234375,75.95765177408855,396260278272.0,Amblysomus_septentrionalis
34,34,400.0,14.356586456298828,358.1905517578125,380.6289978027344,75.80572509765625,442218348544.0,Amblysomus_septentrionalis
35,35,400.0,14.844239234924316,376.83477783203125,364.0110168457031,75.33838653564453,501725364224.0,Amblysomus_septentrionalis
36,36,400.0,15.605953216552734,397.3171691894531,351.7939758300781,74.79843139648438,531009110016.0,Amblysomus_septentrionalis
37,37,400.0,16.04095458984375,407.5784606933594,348.236572265625,74.40022277832031,567165146453.3334,Amblysomus_septentrionalis
38,38,388.98673569321244,16.519567489624023,286.5417175292969,475.0010070800781,73.18894958496094,312405098496.0,Amblysomus_septentrionalis
39,39,23.19280982023351,16.39775276184082,298.1699523925781,477.5728454589844,74.45809173583984,297987309568.0,Amblysomus_septentrionalis
40,40,5.631633000887939,15.180326843261719,316.1100830078125,432.97841796875,74.17130737304687,362918445056.0,Amblysomus_septentrionalis
41,41,0.6058578921154887,14.90985107421875,320.73712158203125,432.0909423828125,74.82139587402344,360408743936.0,Amblysomus_septentrionalis
