,grid_index,area,annual_mean_temp,prec_warmest_quarter,temp_seasonality,prec_seasonality,npp,binomial
1,1,0.23940128981163386,25.147471110026043,461.8641357421875,93.66064453125,52.4501698811849,277872246784.0,Ariteus_flavescens
2,2,18.878212882002167,25.48666000366211,360.93524169921875,96.06027221679688,56.70500946044922,382332698624.0,Ariteus_flavescens
3,3,47.7046158217153,26.289291381835938,292.3948974609375,97.07682800292969,60.88947677612305,-1.6999999760721821e+38,Ariteus_flavescens
4,4,241.86257288343347,26.302188873291016,257.29833984375,101.39570617675781,55.347103118896484,-3.3999999521443642e+38,Ariteus_flavescens
5,5,32.38016338461742,26.302188873291016,257.29833984375,101.39570617675781,55.347103118896484,-3.3999999521443642e+38,Ariteus_flavescens
6,6,0.7572896961415179,24.489524841308594,429.1789245605469,100.01107788085938,44.187904357910156,-1.6999999760721821e+38,Ariteus_flavescens
7,7,7.421075621654137,24.9739990234375,453.7483215332031,102.08003997802734,42.839168548583984,-1.6999999760721821e+38,Ariteus_flavescens
8,8,4.144726848511954,26.153345743815105,541.8616129557291,94.1670633951823,49.504923502604164,552918450176.0,Ariteus_flavescens
9,9,143.56145422219333,24.850209554036457,486.5734049479167,94.10148111979167,51.753570556640625,598721560576.0,Ariteus_flavescens
10,10,400.0,24.623249053955078,399.9531555175781,95.73947143554688,54.437225341796875,649850257408.0,Ariteus_flavescens
11,11,400.0,25.297164916992188,337.83099365234375,97.25274658203125,54.993221282958984,616376303616.0,Ariteus_flavescens
12,12,396.0370481509953,25.56884765625,305.7937316894531,99.40628051757812,53.23912811279297,-8.499999880360911e+37,Ariteus_flavescens
13,13,367.1441536426086,24.575009155273438,339.8364990234375,101.401904296875,47.09508056640625,-inf,Ariteus_flavescens
14,14,208.9343121537665,23.590492248535156,447.8440856933594,103.46530151367188,42.230430603027344,-inf,Ariteus_flavescens
15,15,335.63669091736904,24.46462631225586,470.3839111328125,104.97540283203125,41.40850067138672,-inf,Ariteus_flavescens
16,16,391.7577789699581,28.045013427734375,517.8040161132812,109.90491485595703,48.49717330932617,-3.3999999521443642e+38,Ariteus_flavescens
17,17,0.4313712975020287,25.789073944091797,665.7374267578125,97.70948791503906,50.839698791503906,630517334016.0,Ariteus_flavescens
18,18,88.41456350894029,25.558486938476562,634.1962890625,97.09639739990234,50.17524719238281,780611354624.0,Ariteus_flavescens
19,19,398.0925075004385,23.933019002278645,547.7127685546875,96.65677897135417,49.70560201009115,919570874368.0,Ariteus_flavescens
20,20,400.0,22.92026710510254,465.0211181640625,97.67762756347656,49.40251159667969,917367685120.0,Ariteus_flavescens
21,21,400.0,23.428369522094727,412.06134033203125,99.16118621826172,47.73691940307617,926298996736.0,Ariteus_flavescens
22,22,400.0,24.033748626708984,373.8752136230469,101.09916687011719,45.0423698425293,939849416704.0,Ariteus_flavescens
23,23,400.0,23.640823364257812,399.9049072265625,104.78224690755208,40.99701436360677,955832991744.0,Ariteus_flavescens
24,24,400.0,23.310604095458984,482.57501220703125,109.26971435546875,38.745323181152344,-1.6999999760721821e+38,Ariteus_flavescens
25,25,399.6280113219182,24.252073287963867,507.3138732910156,109.50994110107422,38.95817947387695,-inf,Ariteus_flavescens
26,26,316.3531574390301,27.323129653930664,555.68798828125,107.89311981201172,48.013763427734375,-inf,Ariteus_flavescens
28,28,321.5918050194699,24.99406623840332,652.0526123046875,102.17462921142578,47.13901138305664,-8.499999880360911e+37,Ariteus_flavescens
29,29,383.8320550159114,23.718424479166668,533.5379231770834,101.7082010904948,43.08989969889323,-inf,Ariteus_flavescens
30,30,400.0,22.54246711730957,452.3473815917969,102.50010681152344,41.50279998779297,-inf,Ariteus_flavescens
31,31,400.0,22.649526596069336,420.5750732421875,103.53270721435547,40.3705940246582,-1.6999999760721821e+38,Ariteus_flavescens
32,32,400.0,23.439605712890625,382.7002868652344,105.33409118652344,39.04625701904297,-inf,Ariteus_flavescens
33,33,400.0,24.00025329589844,386.5732177734375,108.0071533203125,38.07982177734375,-inf,Ariteus_flavescens
34,34,400.0,23.92974853515625,498.6407775878906,111.61990356445312,37.217681884765625,-inf,Ariteus_flavescens
35,35,290.2127622102779,24.4296932220459,534.7656860351562,112.1346435546875,37.32925033569336,-3.3999999521443642e+38,Ariteus_flavescens
