,grid_index,area,annual_mean_temp,prec_warmest_quarter,temp_seasonality,prec_seasonality,npp,binomial
1,1,5527.587604528013,23.712368774414063,305.7763427734375,91.7583251953125,87.48890991210938,553785334169.6,Callithrix_jacchus
2,2,678.9311783982482,23.916707356770832,218.37106119791667,87.37967936197917,88.16875,498727282278.4,Callithrix_jacchus
3,3,8520.247838518851,23.86713707965353,291.56827445652175,97.30044157608695,88.05881666100544,613123883008.0,Callithrix_jacchus
4,4,5062.398206268089,23.78014221191406,349.7757568359375,86.53668823242188,85.40259399414063,413047324672.0,Callithrix_jacchus
5,5,361.40131003520213,23.419765374599358,310.70643028846155,91.78558193108974,86.81589918870192,469757748838.4,Callithrix_jacchus
6,6,9115.103327893425,23.87660509474734,260.4076213430851,116.94910447140957,89.64417802526596,734470393036.8,Callithrix_jacchus
7,7,9826.875671255264,24.7137451171875,237.72885923032408,115.45645254629629,88.89860026041667,778995648804.5714,Callithrix_jacchus
8,8,5147.732214029554,25.274124145507812,320.2259521484375,61.330517578125,86.700439453125,603012158805.3334,Callithrix_jacchus
9,9,317.8721993526248,23.469295925564236,287.5565592447917,94.45796034071181,85.51980251736111,462488076288.0,Callithrix_jacchus
10,10,8294.90191949752,23.98858642578125,252.5989990234375,115.30312093098958,88.93187459309895,742111628492.8,Callithrix_jacchus
11,11,10000.0,24.282860165550595,225.15736607142858,102.96698288690476,89.43529110863095,759091009945.6,Callithrix_jacchus
12,12,10000.0,25.242534637451172,243.6965789794922,80.00736236572266,90.02043151855469,509055186651.4286,Callithrix_jacchus
13,13,6795.447542617723,25.030029296875,211.747802734375,144.37254115513392,66.32607596261161,-inf,Callithrix_jacchus
14,14,502.4040546153315,24.653902326311385,285.47035435267856,80.8365478515625,82.75186593191964,401717657600.0,Callithrix_jacchus
15,15,991.181935271041,24.520261928013394,289.50027901785717,89.45228097098214,85.54953962053571,459450246758.4,Callithrix_jacchus
16,16,9896.88910391525,24.922998046875,239.433837890625,98.97362060546875,87.16875,601697445478.4,Callithrix_jacchus
17,17,10000.0,24.926663643973214,184.81169084821428,91.2505859375,88.83323102678571,717603209216.0,Callithrix_jacchus
18,18,10000.0,25.74167767693015,144.14075425091912,88.79730583639706,90.62828153722427,561130661478.4,Callithrix_jacchus
19,19,9733.645680113152,26.2563419342041,194.544677734375,96.36430358886719,92.70899963378906,329149054976.0,Callithrix_jacchus
20,20,2644.164718684499,25.989730834960938,159.3874053955078,111.00675964355469,95.55632019042969,302686994432.0,Callithrix_jacchus
21,21,134.16461821782815,24.956118496981535,129.27724387428978,191.0118741122159,54.75407270951705,450785443840.0,Callithrix_jacchus
22,22,2039.1768773629417,24.469844818115234,148.50289916992188,167.21815490722656,64.78550720214844,-1.7894736590233497e+37,Callithrix_jacchus
23,23,8554.839857393163,-inf,-inf,-inf,-inf,-inf,Callithrix_jacchus
24,24,3005.18925946866,24.661478678385418,181.99095517113096,76.8241199311756,81.16350446428571,485982907050.6667,Callithrix_jacchus
25,25,4056.1232027520055,24.788242885044642,219.58996000744048,85.35234142485119,83.76148042224702,535505246617.6,Callithrix_jacchus
26,26,10000.0,24.961669921875,179.50528971354166,95.30112711588542,83.7531026204427,563544326144.0,Callithrix_jacchus
