,grid_index,area,annual_mean_temp,prec_warmest_quarter,temp_seasonality,prec_seasonality,npp,binomial
1,1,2110.177871246641,20.64528634207589,614.6121651785714,232.12476283482144,72.48009905133928,708032753485.9131,Callithrix_penicillata
2,2,9797.4612331852,20.382299423217773,637.3526000976562,231.62599182128906,74.07975006103516,753477120455.1111,Callithrix_penicillata
3,3,7549.271802483126,18.947933799342106,731.4472142269736,227.5153937088816,72.14352898848684,796099918382.5454,Callithrix_penicillata
4,4,3662.9325027397026,23.125810546875,582.1916015625,209.5661328125,48.801806640625,602334420445.8667,Callithrix_penicillata
5,5,4853.6864339520625,23.150032289566532,562.5604838709677,220.4782951108871,50.708157447076616,676645352628.7059,Callithrix_penicillata
6,6,7225.340190333343,23.185025533040363,534.5419921875,238.35152180989584,55.484171549479164,709147614685.8667,Callithrix_penicillata
7,7,5035.522307145559,22.903611924913193,550.0845269097222,246.42914496527777,65.18631998697917,681395399338.6666,Callithrix_penicillata
8,8,463.10975475988675,22.46032245342548,583.3771784855769,235.90208082932693,70.56577242337741,676868316013.7142,Callithrix_penicillata
9,9,4988.66980106594,22.323275756835937,606.880126953125,216.3756103515625,75.41151733398438,688454194517.3334,Callithrix_penicillata
10,10,9647.035517030667,21.791394914899552,638.1211402529761,205.90994698660714,76.92421177455357,711204326604.8,Callithrix_penicillata
11,11,10000.0,20.33858671642485,666.3701636904761,220.10967726934524,75.15816243489583,761111825612.8,Callithrix_penicillata
12,12,10000.0,19.733029513888887,656.2711805555556,235.43331163194443,74.89924045138889,723968170393.6,Callithrix_penicillata
13,13,9638.415009276996,19.60105997721354,661.0672526041667,226.98583984375,79.86097005208333,687737929728.0,Callithrix_penicillata
14,14,2466.421134117189,18.964679718017578,676.1940307617188,205.6361083984375,83.60076904296875,724779925504.0,Callithrix_penicillata
15,15,4.281243757240665,23.378229050409224,602.0248325892857,188.77915736607142,55.01692127046131,590669938688.0,Callithrix_penicillata
17,17,9678.623035299734,23.285977318173362,600.2820870535714,220.62813895089286,61.64124697730655,663049994240.0,Callithrix_penicillata
18,18,10000.0,22.897374471028645,599.0255940755209,233.91337076822916,69.41797892252605,654544207872.0,Callithrix_penicillata
19,19,10000.0,22.865847632998513,610.5785435267857,215.06775483630952,74.92618233816964,666766200012.8,Callithrix_penicillata
20,20,9885.510884703996,23.08145286923363,642.5164155505952,195.27943638392858,79.04696219308036,635517796352.0,Callithrix_penicillata
21,21,10000.0,22.324669247581845,682.8956938244048,184.2409435453869,80.07461402529762,658260675788.8,Callithrix_penicillata
22,22,10000.0,20.146038237072172,713.6751767113095,199.50702194940476,78.46720958891369,653160559411.2,Callithrix_penicillata
23,23,10000.0,20.068824768066406,640.8824869791666,231.03533935546875,79.0230712890625,607858039193.6,Callithrix_penicillata
24,24,10000.0,20.068929036458332,631.7462797619048,213.5996326264881,84.00180199032738,704463503360.0,Callithrix_penicillata
25,25,10000.0,19.520833333333332,642.6075994318181,197.97409150094697,85.01470762310606,824930097754.3529,Callithrix_penicillata
26,26,10000.0,20.425703684488933,545.9437662760416,222.2864786783854,81.31523132324219,904469151744.0,Callithrix_penicillata
27,27,6584.985779592362,23.388580322265625,589.5149536132812,185.7974090576172,60.485755920410156,665167110575.1578,Callithrix_penicillata
28,28,4109.341600369662,23.09978550502232,632.3742745535715,187.1384486607143,63.054820033482144,642188522291.2,Callithrix_penicillata
29,29,7733.082016744814,23.00148751395089,664.2336495535715,194.39119698660716,67.91026785714286,658190893056.0,Callithrix_penicillata
30,30,10000.0,22.92476806640625,668.0517578125,197.9006103515625,75.1434814453125,681003293081.6,Callithrix_penicillata
31,31,10000.0,23.105562918526786,636.1935825892857,190.93491908482142,77.85269949776786,663116945817.6,Callithrix_penicillata
32,32,10000.0,22.732554408482144,671.3010044642857,187.04091796875,77.965673828125,609635707562.6666,Callithrix_penicillata
33,33,10000.0,21.512451171875,698.1157366071428,168.40325055803572,78.62499302455358,638991256780.8,Callithrix_penicillata
34,34,10000.0,20.067225864955358,704.4155133928572,180.9953404017857,82.21864536830357,586522086604.8,Callithrix_penicillata
35,35,10000.0,20.396034240722656,646.60556640625,207.089599609375,82.50224609375,623025533747.2,Callithrix_penicillata
36,36,10000.0,21.309565080915178,590.54375,207.52156808035716,87.97244698660714,653223998259.2,Callithrix_penicillata
37,37,10000.0,20.513650948660715,594.0180803571428,202.34693080357144,87.96316964285714,714100178944.0,Callithrix_penicillata
38,38,10000.0,20.782793045043945,550.62939453125,217.39373779296875,83.23371124267578,914322096128.0,Callithrix_penicillata
39,39,10000.0,23.25872039794922,465.9695739746094,194.46371459960938,79.45684814453125,847001812992.0,Callithrix_penicillata
40,40,8750.731560004644,23.803237017463236,538.9507123161765,188.46912339154412,65.085205078125,694116608186.1818,Callithrix_penicillata
41,41,77.5724795333087,22.640858719988568,570.9323551829268,175.5044540777439,67.2396210461128,661451833344.0,Callithrix_penicillata
42,42,2186.9335675633124,22.341748918805802,638.1661086309524,169.47405133928572,70.51643880208333,632992657571.84,Callithrix_penicillata
43,43,9535.517862314384,22.942853291829426,652.7232259114584,164.88177490234375,75.33749389648438,713489446338.56,Callithrix_penicillata
44,44,10000.0,23.337557838076638,580.2068917410714,164.37037295386904,78.34550548735119,647708079554.56,Callithrix_penicillata
45,45,10000.0,22.664127894810267,583.6502976190476,177.47370256696428,80.0807117280506,625746466133.3334,Callithrix_penicillata
46,46,10000.0,21.77150617327009,660.2174944196429,164.9809337797619,85.38059779575893,684955763998.72,Callithrix_penicillata
47,47,10000.0,20.891058058965776,696.6276506696429,169.28093610491072,87.36689104352679,585195166105.6,Callithrix_penicillata
48,48,10000.0,21.248545328776043,622.2967936197916,173.55948893229166,85.82088216145833,569510314639.36,Callithrix_penicillata
49,49,10000.0,21.949295770554315,536.5145089285714,196.7153087797619,91.66710844494048,563868514385.92,Callithrix_penicillata
50,50,10000.0,20.450186593191965,550.6201636904761,206.50355747767858,89.73407854352679,651912785428.48,Callithrix_penicillata
51,51,10000.0,20.2384693042652,542.8997043918919,224.90899493243242,83.5760597022804,895745348949.3334,Callithrix_penicillata
52,52,9996.289049872557,22.691156723920038,454.3997012867647,199.92960133272058,78.91627412683823,794739438685.091,Callithrix_penicillata
53,53,8567.950346094749,21.83562528170072,581.3357496995193,165.61106520432693,71.64223538912259,617597471192.6154,Callithrix_penicillata
54,54,2934.2619865916604,21.984568277994793,578.5385044642857,153.56661551339286,72.8633800688244,625428607795.2,Callithrix_penicillata
55,55,4837.341454305106,22.333272298177082,559.5438639322916,136.88045247395834,75.51540120442708,605987484467.2,Callithrix_penicillata
56,56,10000.0,23.463592529296875,454.5084635416667,141.51177687872024,78.46042015438988,604629683404.8,Callithrix_penicillata
57,57,10000.0,22.817563011532737,466.0454799107143,158.167724609375,81.16866048177083,686598477141.3334,Callithrix_penicillata
58,58,10000.0,22.061671665736608,613.370861235119,171.62243071056548,85.26225934709821,625391645491.2,Callithrix_penicillata
59,59,10000.0,21.99029541015625,615.5311569940476,166.06968470982142,89.08525158110119,611461732761.6,Callithrix_penicillata
60,60,10000.0,22.306844075520832,543.3414306640625,159.44359334309897,88.90259806315105,583120558489.6,Callithrix_penicillata
61,61,10000.0,22.038609095982142,476.68480282738096,183.71569242931548,91.67360142299107,611148156108.8,Callithrix_penicillata
62,62,10000.0,20.708079802684296,476.4502203525641,181.62590144230768,90.43335586939102,699789213696.0,Callithrix_penicillata
63,63,10000.0,21.330991744995117,438.4300537109375,179.45391845703125,90.39048767089844,817376919552.0,Callithrix_penicillata
64,64,8426.112158206171,22.499088541666666,600.5884765625,167.33097330729166,76.1272705078125,631155667763.2,Callithrix_penicillata
65,65,324.0800137283121,22.601175944010418,485.3813244047619,149.0331798735119,76.96367536272321,658683147059.2,Callithrix_penicillata
66,66,2670.2536923129237,22.839190165201824,467.6017252604167,128.14851888020834,77.35197448730469,633631670272.0,Callithrix_penicillata
67,67,9980.859023890434,23.509371802920388,454.20619419642856,125.88103376116071,78.71051897321429,650848711475.2,Callithrix_penicillata
68,68,10000.0,22.631248837425595,427.9165736607143,131.57021949404762,79.90253557477679,660245184512.0,Callithrix_penicillata
69,69,10000.0,21.61250959123884,418.9303385416667,155.75006975446428,84.12899925595238,592121063014.4,Callithrix_penicillata
70,70,10000.0,22.000348772321427,405.37281436011904,166.39754231770834,87.76884533110119,590997671116.8,Callithrix_penicillata
71,71,10000.0,23.005223592122395,396.517578125,170.07159423828125,89.0169169108073,602612799897.6,Callithrix_penicillata
72,72,10000.0,22.688995361328125,493.8238002232143,181.85302734375,90.9158935546875,667860441497.6,Callithrix_penicillata
73,73,10000.0,21.547261555989582,446.3720238095238,168.05946568080358,93.44224911644345,766058168320.0,Callithrix_penicillata
74,74,10000.0,21.299257278442383,393.09423828125,172.11297607421875,93.93807983398438,799816270787.7646,Callithrix_penicillata
75,75,10000.0,22.69927039513221,323.15835336538464,177.8345665564904,89.90127328725961,796815681126.4,Callithrix_penicillata
76,76,5703.204455721342,23.8448486328125,426.96484375,149.87890625,80.56254069010417,723711310051.5555,Callithrix_penicillata
