,grid_index,area,annual_mean_temp,prec_warmest_quarter,temp_seasonality,prec_seasonality,npp,binomial
1,1,294.50643642002893,26.779752095540363,514.3162434895834,51.30518595377604,23.88256327311198,79601991680.0,Callosciurus_finlaysonii
2,2,183.13988120204868,26.67938232421875,543.7052612304688,45.67723846435547,23.167877197265625,401632559104.0,Callosciurus_finlaysonii
3,3,66.66325858273902,26.72982406616211,536.3642578125,48.498069763183594,24.19831085205078,278488842240.0,Callosciurus_finlaysonii
4,4,9.256291310664208,26.868061065673828,641.0389404296875,85.24360656738281,66.38017272949219,-1.6999999760721821e+38,Callosciurus_finlaysonii
5,5,116.78307401195045,26.97408676147461,644.4937744140625,84.8391342163086,67.77781677246094,276251770880.0,Callosciurus_finlaysonii
6,6,189.64417583310149,26.951213836669922,644.0,84.58580780029297,68.52727508544922,104028807168.0,Callosciurus_finlaysonii
7,7,22.91864765703921,26.497591018676758,574.5147094726562,98.87399291992188,77.51651000976562,-3.3999999521443642e+38,Callosciurus_finlaysonii
8,8,0.6961851827912422,26.497591018676758,574.5147094726562,98.87399291992188,77.51651000976562,-3.3999999521443642e+38,Callosciurus_finlaysonii
9,9,12.767670201721847,26.887775421142578,642.77490234375,84.88578033447266,66.86267852783203,421338021888.0,Callosciurus_finlaysonii
10,10,78.58415764832134,26.972400665283203,645.5111083984375,84.57506561279297,68.23780059814453,337909219328.0,Callosciurus_finlaysonii
11,11,369.3214376492597,26.974416097005207,647.3585611979166,85.10491943359375,69.73306274414062,-8.499999880360911e+37,Callosciurus_finlaysonii
12,12,285.5014826992069,-1.6999999760721821e+38,-1.6999999760721821e+38,-1.6999999760721821e+38,-1.6999999760721821e+38,92416983040.0,Callosciurus_finlaysonii
13,13,15.357946699724803,26.542530059814453,569.1290283203125,99.37940979003906,77.71392059326172,-3.3999999521443642e+38,Callosciurus_finlaysonii
14,14,52.28322666971549,26.9986629486084,654.319580078125,85.13983154296875,67.64710998535156,394201333760.0,Callosciurus_finlaysonii
15,15,140.0882301360006,27.069019317626953,657.7556762695312,85.53458404541016,68.83979797363281,399566635008.0,Callosciurus_finlaysonii
16,16,399.6736897745095,27.094802856445312,656.400146484375,86.25421142578125,70.55857849121094,248674451456.0,Callosciurus_finlaysonii
17,17,400.0,-8.499999880360911e+37,-8.499999880360911e+37,-8.499999880360911e+37,-8.499999880360911e+37,92416983040.0,Callosciurus_finlaysonii
18,18,148.61314219368882,27.095134735107422,667.5736694335938,87.54804992675781,68.30982971191406,-1.3080951906989173e+35,Callosciurus_finlaysonii
19,19,139.80619636695752,27.171287536621094,671.3707275390625,88.2723159790039,69.29051971435547,-6.540475953494587e+34,Callosciurus_finlaysonii
20,20,400.0,27.230430603027344,665.1217041015625,87.81462097167969,71.14668273925781,249807077376.0,Callosciurus_finlaysonii
21,21,400.0,27.279608154296874,641.900146484375,86.2298583984375,74.61478271484376,124023799808.0,Callosciurus_finlaysonii
22,22,319.642326477701,27.4940185546875,621.1085205078125,84.85078430175781,77.72882843017578,82630721536.0,Callosciurus_finlaysonii
23,23,10.401228791027298,27.036611557006836,670.4908447265625,90.28802490234375,69.07898712158203,-1.7013080900795696e+38,Callosciurus_finlaysonii
24,24,126.54113376107209,27.1257266998291,670.4114990234375,89.62077331542969,70.08562469482422,-8.506540450397848e+37,Callosciurus_finlaysonii
25,25,400.0,27.249469757080078,660.6320190429688,87.72657012939453,72.1407470703125,280705892352.0,Callosciurus_finlaysonii
26,26,400.0,27.383433024088543,633.9134928385416,86.76974487304688,75.9900410970052,200068972544.0,Callosciurus_finlaysonii
27,27,400.0,27.573030471801758,599.3323364257812,87.53736114501953,77.70934295654297,160775340032.0,Callosciurus_finlaysonii
28,28,353.2665898172918,27.629268646240234,568.2081298828125,88.59637451171875,77.83415222167969,-8.499999880360911e+37,Callosciurus_finlaysonii
29,29,156.2064410040489,27.625574111938477,553.911376953125,88.65003204345703,78.01342010498047,257467695104.0,Callosciurus_finlaysonii
30,30,7.705946940380867,27.014820098876953,663.4431762695312,91.1196060180664,70.06520080566406,-3.3999999521443642e+38,Callosciurus_finlaysonii
31,31,101.07231625478657,27.09988021850586,656.8927001953125,89.8321533203125,71.18437194824219,-1.6999999760721821e+38,Callosciurus_finlaysonii
32,32,400.0,27.255950927734375,638.9024658203125,87.83218383789062,73.19902038574219,310472081408.0,Callosciurus_finlaysonii
33,33,400.0,27.3977533976237,610.6680094401041,89.20237223307292,76.37575276692708,260310712320.0,Callosciurus_finlaysonii
34,34,400.0,27.559688568115234,581.2512817382812,91.91276550292969,77.60794830322266,238919974912.0,Callosciurus_finlaysonii
35,35,400.0,27.6540584564209,556.3372802734375,90.77890014648438,77.71358489990234,248193843200.0,Callosciurus_finlaysonii
36,36,400.0,27.697925567626953,533.8399658203125,89.1876220703125,78.485107421875,171052761088.0,Callosciurus_finlaysonii
37,37,351.7482272197582,27.736736297607422,497.38775634765625,89.79878234863281,80.83043670654297,84637818880.0,Callosciurus_finlaysonii
38,38,70.2796185648533,27.105575561523438,644.3997192382812,91.3118667602539,71.23007202148438,-1.6999999760721821e+38,Callosciurus_finlaysonii
39,39,86.0180127411092,27.14725112915039,632.5763549804688,90.9378890991211,72.06908416748047,-8.499999880360911e+37,Callosciurus_finlaysonii
40,40,400.0,27.2862548828125,550.4615478515625,90.2164535522461,73.67381286621094,351390203904.0,Callosciurus_finlaysonii
41,41,400.0,27.424352010091145,537.5468343098959,92.2080790201823,76.14864095052083,329565208576.0,Callosciurus_finlaysonii
42,42,400.0,27.545490264892578,542.56982421875,94.2818374633789,77.4853744506836,323951591424.0,Callosciurus_finlaysonii
43,43,400.0,27.659767150878906,523.6195068359375,93.37127685546875,77.86786651611328,316275294208.0,Callosciurus_finlaysonii
44,44,400.0,27.713884353637695,499.7544250488281,93.11409759521484,79.59564208984375,264435269632.0,Callosciurus_finlaysonii
45,45,400.0,27.70303726196289,474.891845703125,92.40083312988281,81.8870849609375,247806208682.66666,Callosciurus_finlaysonii
46,46,250.60819632774292,27.70172627766927,445.8337809244792,93.16684977213542,83.24097696940105,187507556352.0,Callosciurus_finlaysonii
47,47,157.57173621452296,27.752635955810547,447.5717468261719,93.44315338134766,83.05195617675781,72139595776.0,Callosciurus_finlaysonii
48,48,2.3433265766388702,27.16257667541504,624.06298828125,91.68264770507812,71.92146301269531,404169981952.0,Callosciurus_finlaysonii
49,49,44.21747429661745,27.18638801574707,552.6782836914062,92.95671844482422,72.478515625,393791143936.0,Callosciurus_finlaysonii
50,50,400.0,27.28313446044922,418.52972412109375,94.47502899169922,73.75033569335938,391207452672.0,Callosciurus_finlaysonii
51,51,400.0,27.445515950520832,468.6258951822917,93.85036214192708,75.86204020182292,412712501248.0,Callosciurus_finlaysonii
52,52,400.0,27.599761962890625,495.4416809082031,92.01510620117188,77.58708190917969,426422435840.0,Callosciurus_finlaysonii
53,53,400.0,27.665084838867188,472.421630859375,92.6070556640625,79.09611511230469,416665698304.0,Callosciurus_finlaysonii
54,54,400.0,27.666357040405273,444.581787109375,95.01365661621094,82.15656280517578,408993792000.0,Callosciurus_finlaysonii
55,55,400.0,27.65530014038086,428.90069580078125,95.53097534179688,84.0963363647461,361126297600.0,Callosciurus_finlaysonii
