,grid_index,area,annual_mean_temp,prec_warmest_quarter,temp_seasonality,prec_seasonality,npp,binomial
1,1,6930.08521196012,4.834584699358259,320.8393973214286,747.7749441964286,79.97535574776786,282569185689.6,Cansumys_canus
2,2,9652.957278697437,9.391253662109374,321.6279296875,774.3897321428572,80.54180385044643,258518635861.33334,Cansumys_canus
3,3,9319.891079199368,10.869886271158855,343.39150390625,787.26875,79.65213216145834,333495781148.44446,Cansumys_canus
4,4,7633.0327169896,1.8927236036820845,322.2752574573864,754.5155362215909,86.9493075284091,291538206720.0,Cansumys_canus
6,6,9387.968197545242,7.479394821893601,298.5879371279762,835.7538132440476,80.729248046875,185444160853.33334,Cansumys_canus
7,7,10000.0,8.797976539248513,302.00209263392856,837.1090029761905,79.21050153459821,270901759180.8,Cansumys_canus
8,8,10000.0,4.924874441964286,262.59997209821427,879.4775669642858,89.27521623883929,225758290466.13333,Cansumys_canus
9,9,10000.0,5.941015334356399,235.66643415178572,905.1129092261905,87.35018484933036,151296671744.0,Cansumys_canus
10,10,7051.608361067851,6.64826166062128,239.75811476934524,909.8512834821429,83.99182710193452,90982285312.0,Cansumys_canus
11,11,10000.0,6.93079339890253,256.63304501488096,897.0807291666666,82.58763485863095,163460218880.0,Cansumys_canus
12,12,10000.0,6.482821994357639,195.8857783564815,972.7188223379629,93.02757884837963,103290896384.0,Cansumys_canus
13,13,10000.0,7.518766566685268,160.71443917410716,996.1868303571429,94.53968331473214,69459834306.56,Cansumys_canus
14,14,6458.697708949632,6.9232389388545865,179.17715158770162,978.5797631048387,90.4465568296371,69010790213.81818,Cansumys_canus
15,15,9961.881168831542,7.3656786750344665,205.4126407398897,973.9427849264706,88.17188936121323,73233294380.52174,Cansumys_canus
