,grid_index,area,annual_mean_temp,prec_warmest_quarter,temp_seasonality,prec_seasonality,npp,binomial
1,1,100.52442776719768,25.29959487915039,442.05120849609375,162.29910278320312,61.56703186035156,-inf,Capromys_pilorides
2,2,5997.2243373613455,24.863330078125,416.5607979910714,161.9670200892857,57.28193359375,-inf,Capromys_pilorides
3,3,8324.029819657007,24.567257151884192,395.59619140625,156.50351849724265,46.043467802159924,-inf,Capromys_pilorides
4,4,8205.063776319006,25.500574747721355,476.1785888671875,190.7437744140625,59.075225830078125,-inf,Capromys_pilorides
5,5,103.0964898283265,25.52288818359375,485.0869140625,193.2219441731771,59.58574422200521,-inf,Capromys_pilorides
6,6,83.53897842747787,-2.833333293453637e+37,-2.833333293453637e+37,-2.833333293453637e+37,-2.833333293453637e+37,-inf,Capromys_pilorides
7,7,177.23376029131316,25.69402366460756,498.11205486918607,189.48153615552326,67.79978197674419,-inf,Capromys_pilorides
8,8,6568.505371190702,25.83269348144531,411.0724609375,184.60863037109374,61.3595947265625,-inf,Capromys_pilorides
9,9,9493.038595572703,26.009561472925647,283.8760439116379,179.89698949353448,53.16549787850216,-inf,Capromys_pilorides
10,10,6247.356476394074,25.622604370117188,309.9568684895833,170.88480631510416,38.948588053385414,-inf,Capromys_pilorides
11,11,678.0580137004711,-1.699999976072182e+37,-1.699999976072182e+37,-1.699999976072182e+37,-1.699999976072182e+37,-inf,Capromys_pilorides
13,13,2846.7219549004335,25.822743733723957,495.0520833333333,199.6822509765625,64.83947075737848,-inf,Capromys_pilorides
14,14,1852.5032171944745,25.719671630859374,492.496484375,203.5572998046875,70.2754150390625,-inf,Capromys_pilorides
15,15,1510.426656706175,24.634710138494317,551.6845259232955,198.6338556463068,67.51377175071023,-inf,Capromys_pilorides
16,16,2440.9980876759364,25.288145177504596,542.8616153492648,202.8092830882353,68.51094324448529,-inf,Capromys_pilorides
17,17,5127.398082058281,25.45145983573718,440.9597355769231,202.29141626602564,64.5471692207532,-1.699999976072182e+37,Capromys_pilorides
18,18,8681.23840087049,25.81023915608724,355.1226399739583,199.42830403645834,55.888041178385414,-inf,Capromys_pilorides
19,19,7891.357286075428,24.72865447998047,576.308251953125,210.0572998046875,57.10036010742188,480074006528.0,Capromys_pilorides
20,20,1882.5330049607576,24.62581750118371,553.8196022727273,215.51476680871212,51.86912952769887,-inf,Capromys_pilorides
21,21,1200.03061751261,25.101587295532227,556.15673828125,211.8112335205078,60.764339447021484,-inf,Capromys_pilorides
22,22,6046.588454984581,25.186357770647323,569.5850074404761,207.15345982142858,66.67933291480655,-1.4166666467268185e+37,Capromys_pilorides
23,23,5521.350496929736,24.96161346435547,533.608544921875,208.48125,64.10692749023437,-1.699999976072182e+37,Capromys_pilorides
24,24,8642.682619925765,25.232332865397137,462.6878662109375,211.72637939453125,61.89580281575521,-inf,Capromys_pilorides
25,25,7545.054901889989,25.45654062124399,357.1301081730769,209.47691932091345,63.43966909555289,-inf,Capromys_pilorides
