,grid_index,area,annual_mean_temp,prec_warmest_quarter,temp_seasonality,prec_seasonality,npp,binomial
1,1,1087.9902363588847,16.01467793782552,76.47781575520834,323.38518880208335,47.35288899739583,-inf,Caracal_caracal
2,2,6861.046528923531,-1.0303030158013225e+37,-1.0303030158013225e+37,-1.0303030158013225e+37,-1.0303030158013225e+37,-inf,Caracal_caracal
3,3,7500.576235002149,17.0984912109375,90.79802734375,337.811875,17.294957275390626,-inf,Caracal_caracal
4,4,5207.382830834422,16.64853014264788,125.4063720703125,275.9540318080357,17.01006535121373,-inf,Caracal_caracal
5,5,1948.882077228895,16.278831481933594,170.0135701497396,289.2204182942708,18.318009694417317,-inf,Caracal_caracal
6,6,1505.3165868106423,16.79956272670201,155.50992257254464,275.792236328125,18.071182250976562,-inf,Caracal_caracal
7,7,2313.7596724922496,-4.2499999401804553e+37,-4.2499999401804553e+37,-4.2499999401804553e+37,-4.2499999401804553e+37,-inf,Caracal_caracal
8,8,713.2428505321781,-1.1333333173814548e+37,-1.1333333173814548e+37,-1.1333333173814548e+37,-1.1333333173814548e+37,-2.6153845785725877e+37,Caracal_caracal
9,9,5563.7192174302745,15.963098435174851,55.47406296502976,423.27613467261904,53.746669224330354,271018775893.33334,Caracal_caracal
10,10,10000.0,16.303228469122026,52.037818545386905,465.8676060267857,30.96421886625744,131024224256.0,Caracal_caracal
11,11,10000.0,16.708475748697918,69.14891560872395,433.8090006510417,20.502962748209637,136455939686.4,Caracal_caracal
12,12,10000.0,15.856921968005953,97.60087658110119,396.5462704613095,22.401721772693453,231564325683.2,Caracal_caracal
13,13,10000.0,15.823204403831845,129.70145089285714,403.0858444940476,25.154744466145832,275092498022.4,Caracal_caracal
14,14,10000.0,17.19032214936756,126.92774600074405,394.296875,24.2164553687686,285441025638.4,Caracal_caracal
15,15,10000.0,17.594088745117187,126.99990234375,356.153955078125,25.289332580566406,-inf,Caracal_caracal
16,16,9352.426236805371,17.835245768229168,180.62654622395834,286.56532118055554,29.176225450303818,-inf,Caracal_caracal
17,17,6913.172896386705,18.087164742606028,222.07467215401786,271.10635811941967,34.9740230015346,366206626474.6667,Caracal_caracal
18,18,690.9594263696465,-1.1333333173814548e+37,-1.1333333173814548e+37,-1.1333333173814548e+37,-1.1333333173814548e+37,177681128301.7143,Caracal_caracal
19,19,5776.2972700015625,17.317881266276043,30.60153343563988,469.0565941220238,55.846272786458336,152637822293.33334,Caracal_caracal
20,20,10000.0,15.783335367838541,40.82284400576637,514.5890531994048,33.31111363002232,88588373196.8,Caracal_caracal
21,21,10000.0,15.249763488769531,59.350301106770836,513.0718994140625,35.60893758138021,62662501990.4,Caracal_caracal
22,22,10000.0,16.264237176804315,77.2154541015625,483.9530784970238,42.37195114862351,66910683136.0,Caracal_caracal
23,23,10000.0,16.276885986328125,96.25088936941964,484.5738002232143,42.52511451357887,100593532928.0,Caracal_caracal
24,24,10000.0,16.478646414620535,119.67110770089286,455.7426990327381,42.8680419921875,152250967654.4,Caracal_caracal
25,25,10000.0,15.77587890625,158.24757021949404,423.6484840029762,45.451756068638396,223023176089.6,Caracal_caracal
26,26,10000.0,15.729876200358072,219.75272623697916,359.6986490885417,49.07618204752604,363407933440.0,Caracal_caracal
27,27,10000.0,17.0322554738898,265.9394788240132,289.35523745888156,51.03162263569079,-inf,Caracal_caracal
28,28,8338.813548924776,17.531469980875652,292.1879069010417,258.0611572265625,50.25853474934896,-inf,Caracal_caracal
29,29,1254.6275429401708,17.586326599121094,12.61828327178955,295.13287353515625,66.29146575927734,71724679168.0,Caracal_caracal
30,30,11.36553680226529,18.325959304283405,16.01562815699084,368.3316608297414,65.80545780576509,107717545164.8,Caracal_caracal
31,31,7127.258396794776,17.58175746372768,26.95131661551339,463.79520089285717,51.008719308035715,109617435989.33333,Caracal_caracal
32,32,10000.0,15.78303920200893,44.060982840401785,527.9205915178571,29.549061802455356,69489682022.4,Caracal_caracal
33,33,10000.0,15.622055053710938,64.46188354492188,558.472607421875,47.16325073242187,65507017359.36,Caracal_caracal
34,34,10000.0,14.682990373883928,88.23592354910714,545.0068638392858,54.063145228794646,79550176296.96,Caracal_caracal
35,35,10000.0,14.700050571986607,106.08681640625,555.71796875,53.06995326450893,95555514531.84,Caracal_caracal
36,36,10000.0,13.74324428013393,141.13331473214285,546.4981584821429,53.819482421875,140909886832.64,Caracal_caracal
37,37,10000.0,15.006951032366072,172.731640625,498.3798549107143,54.04610421316964,154917991874.56,Caracal_caracal
38,38,10000.0,14.163739013671876,225.2972900390625,465.831005859375,55.496832275390624,254100880315.73334,Caracal_caracal
39,39,10000.0,15.32996826171875,276.24327566964286,389.3015345982143,59.373563058035714,395704354734.08,Caracal_caracal
40,40,10000.0,16.84961307410038,320.3314393939394,317.9300130208333,58.964004054214016,-inf,Caracal_caracal
41,41,8917.521679609183,17.957767833362926,361.17678000710225,263.12062766335225,50.73698841441762,-3.399999952144364e+37,Caracal_caracal
42,42,1877.4204282017656,17.543147036903783,12.874820910002056,299.06517269736844,62.02107319078947,-3.777777724604849e+37,Caracal_caracal
43,43,2884.7639392031638,17.574183872767858,23.862723214285715,393.56947544642856,49.64295596168155,96653318553.6,Caracal_caracal
44,44,10000.0,17.386670793805802,31.902204241071427,481.11737351190476,33.30375453404018,57965663573.333336,Caracal_caracal
45,45,10000.0,17.383844284784224,46.037129720052086,545.1435081845239,37.32684616815476,38438194380.8,Caracal_caracal
46,46,10000.0,17.340382893880207,69.58417256673177,578.9051106770834,56.69275919596354,50209246412.8,Caracal_caracal
47,47,10000.0,16.521838960193453,90.44673084077381,582.9609375,62.39817592075893,69313337753.6,Caracal_caracal
48,48,10000.0,16.303304036458332,105.99079241071429,588.3881603422619,62.060994466145836,82914659532.8,Caracal_caracal
49,49,10000.0,15.434193929036459,132.52215866815476,621.4791201636905,59.646001906622026,107538015846.4,Caracal_caracal
50,50,10000.0,15.191387358165922,168.70763578869048,578.1426246279761,58.588204520089285,125394996428.8,Caracal_caracal
51,51,10000.0,14.724016825358072,222.61468505859375,531.1285807291666,57.39079793294271,217333060949.33334,Caracal_caracal
52,52,10000.0,13.136005219959078,289.6732933407738,467.94359188988096,57.98304385230655,311628110233.6,Caracal_caracal
53,53,10000.0,14.824195498511905,340.7280040922619,384.7333984375,65.322509765625,429218516172.8,Caracal_caracal
54,54,10000.0,16.574026712557163,376.2876810213415,308.9757050304878,60.15187928734756,-1.699999976072182e+37,Caracal_caracal
55,55,9590.413170270396,18.924882888793945,363.4884948730469,261.52752685546875,52.14457702636719,-inf,Caracal_caracal
56,56,741.9979585315199,18.419204249526516,19.33874881628788,341.86257102272725,45.95800041429924,86956965888.0,Caracal_caracal
57,57,6418.7537042778185,17.958493187313987,35.468636648995535,462.66713169642856,35.150390625,77748489420.8,Caracal_caracal
58,58,10000.0,17.810791015625,49.46715146019345,521.7729724702381,37.865315755208336,53890646016.0,Caracal_caracal
59,59,10000.0,18.445841471354168,65.27658226376488,561.3987630208334,55.777308872767854,35476868300.8,Caracal_caracal
60,60,10000.0,18.889872233072918,80.86059061686198,589.0530598958334,65.9647928873698,53626162380.8,Caracal_caracal
61,61,10000.0,18.455502464657737,106.1450427827381,592.296875,69.40138462611607,87889451417.6,Caracal_caracal
62,62,10000.0,18.121490478515625,125.74003673735119,591.6549479166666,69.42127627418155,103450836992.0,Caracal_caracal
63,63,10000.0,17.781072707403276,156.76357886904762,578.6737816220239,65.1795886811756,126211339059.2,Caracal_caracal
64,64,10000.0,16.13378179640997,182.18717447916666,568.685546875,62.60748581659226,151198275993.6,Caracal_caracal
65,65,10000.0,15.127741495768229,242.11246744791666,541.9771321614584,62.70526631673177,208862882474.66666,Caracal_caracal
66,66,10000.0,13.513714018322172,300.60186476934524,482.9032273065476,60.562005905877974,277360541696.0,Caracal_caracal
67,67,10000.0,11.27760024297805,327.64432198660717,411.2105189732143,64.76974051339286,350078396006.4,Caracal_caracal
68,68,10000.0,13.78984869094122,431.4935360863095,355.45189267113096,71.35852632068452,558695186432.0,Caracal_caracal
69,69,10000.0,16.96111418071546,381.52109888980266,327.9447728207237,64.02574398643092,643330106982.4,Caracal_caracal
70,70,2830.9082296014135,18.309107462565105,12.884666442871094,269.01711018880206,31.60967763264974,41450807296.0,Caracal_caracal
71,71,312.05309321526164,19.899554084329043,28.079807057100183,392.38600068933823,47.758476706112134,64154432134.73684,Caracal_caracal
72,72,9291.096920677443,20.560206821986608,34.21077357700893,524.1897321428571,62.87766462053571,47402149478.4,Caracal_caracal
73,73,10000.0,19.83346644810268,55.868191964285714,544.2107142857143,69.3384765625,48379581781.333336,Caracal_caracal
74,74,10000.0,19.664892578125,80.57008928571429,562.1786272321428,71.47160295758928,60908267110.4,Caracal_caracal
75,75,10000.0,19.801315307617188,95.01458129882812,579.296826171875,73.5705078125,88218186547.2,Caracal_caracal
76,76,10000.0,18.728086635044644,127.74688895089285,576.9058035714286,74.84717494419642,106104684544.0,Caracal_caracal
77,77,10000.0,17.69812709263393,166.62257254464285,564.5774553571429,76.41316266741072,117794458828.8,Caracal_caracal
78,78,10000.0,18.260206821986607,192.89362444196428,556.6503348214286,71.98498883928572,139978106470.4,Caracal_caracal
79,79,10000.0,17.126825823102678,201.42950613839287,563.84921875,67.72811802455357,175968931020.8,Caracal_caracal
80,80,10000.0,15.945208740234374,247.228369140625,548.191064453125,65.9623291015625,231522063701.33334,Caracal_caracal
81,81,10000.0,14.517215401785714,308.50848214285713,499.401171875,64.47388392857142,294333972480.0,Caracal_caracal
82,82,10000.0,11.45018048967634,365.23404017857143,409.2834542410714,65.66858258928572,373896826060.8,Caracal_caracal
83,83,10000.0,15.705691964285714,405.5141183035714,380.7670200892857,72.24577985491071,498180292608.0,Caracal_caracal
84,84,10000.0,17.31053924560547,368.7605285644531,338.967529296875,65.35234069824219,561576657859.7646,Caracal_caracal
85,85,7621.744131158802,18.019128799438477,376.4507141113281,269.0227966308594,60.52180480957031,524838764544.0,Caracal_caracal
86,86,5.250416016034869,17.63333257039388,19.406089782714844,302.63413492838544,39.95659891764323,39966900224.0,Caracal_caracal
87,87,3513.687373935708,19.913402739025297,29.740307035900297,410.39871651785717,68.37113444010417,37179598438.4,Caracal_caracal
88,88,10000.0,19.792874290829612,52.035743350074405,510.1934058779762,87.93726748511905,34143754649.6,Caracal_caracal
89,89,10000.0,19.77103242420015,66.77840750558036,546.3166852678571,86.52057756696429,53583790080.0,Caracal_caracal
90,90,10000.0,20.26242937360491,88.21261160714286,570.6910342261905,81.53795224144345,68954855833.6,Caracal_caracal
91,91,10000.0,19.968939463297527,112.41044108072917,584.7526041666666,78.39103190104167,91264122880.0,Caracal_caracal
92,92,10000.0,18.84072004045759,148.56903366815476,571.8780226934524,78.74711100260417,99760911155.2,Caracal_caracal
93,93,10000.0,17.213973272414435,199.22912016369048,547.5747767857143,80.39697265625,120188187443.2,Caracal_caracal
94,94,10000.0,18.046377999441965,222.36732700892858,539.1611793154761,76.86802455357143,161306836992.0,Caracal_caracal
95,95,10000.0,17.247613816034224,223.63316127232142,559.047619047619,71.95138113839286,192796478668.8,Caracal_caracal
96,96,10000.0,16.808966318766277,241.86112467447916,526.3687337239584,67.87391153971355,232166610261.33334,Caracal_caracal
97,97,10000.0,15.445588611421131,288.6190941220238,494.9977213541667,67.69507998511905,278530883584.0,Caracal_caracal
98,98,10000.0,14.115183512369791,325.41371372767856,450.2911086309524,69.10581752232143,356521816883.2,Caracal_caracal
99,99,10000.0,15.527115594773065,364.30113002232144,394.02232142857144,72.53644089471726,466946254438.4,Caracal_caracal
100,100,10000.0,16.993841262090776,382.4360119047619,332.39564732142856,69.15925525483631,474206070374.4,Caracal_caracal
101,101,10000.0,18.944752086292613,347.63498757102275,268.50395063920456,62.01339999112216,495620141875.2,Caracal_caracal
102,102,3207.80752928341,16.221949527138158,32.30035400390625,346.54530736019734,61.09376927425987,39158989580.190475,Caracal_caracal
103,103,7288.800716025173,19.031886509486608,43.367777506510414,440.6219773065476,86.96648297991071,41216528875.52,Caracal_caracal
104,104,10000.0,20.008310953776043,67.64403715587798,496.8180338541667,97.56610398065476,45861925027.84,Caracal_caracal
105,105,10000.0,19.6968994140625,78.84950474330357,552.7535342261905,96.2219470796131,66267709440.0,Caracal_caracal
106,106,10000.0,20.352139427548362,92.84935942150298,592.7602306547619,86.73061988467262,73586683412.48,Caracal_caracal
