,grid_index,area,annual_mean_temp,prec_warmest_quarter,temp_seasonality,prec_seasonality,npp,binomial
1,1,2956.5397858859174,24.333851061369245,535.3679584703947,324.1342002467105,61.041067023026315,-inf,Corynorhinus_rafinesquii
2,2,3500.853490372262,23.397668021065847,618.9527064732143,400.29520089285717,69.35077340262276,-5.666666586907274e+37,Corynorhinus_rafinesquii
3,3,524.6828669591222,23.42755909455128,570.4331931089744,373.18732471955127,65.14906350160257,-1.4166666467268185e+37,Corynorhinus_rafinesquii
4,4,9392.541968545886,23.773923873901367,553.255126953125,349.8862609863281,52.21156311035156,-inf,Corynorhinus_rafinesquii
5,5,6751.747408170249,22.776896158854168,586.5014322916667,431.78134765625,62.564453125,-inf,Corynorhinus_rafinesquii
6,6,5655.271614305069,22.725290934244793,528.2651134672619,413.12774367559524,59.63223121279762,541154135244.8,Corynorhinus_rafinesquii
7,7,9994.105857995646,23.115529378255207,514.5791666666667,382.92005208333336,46.750813802083336,-inf,Corynorhinus_rafinesquii
8,8,6146.4841223945095,22.328233119419643,561.3565848214286,462.73694196428573,53.81281040736607,-1.6190475962592211e+37,Corynorhinus_rafinesquii
9,9,8235.632670538882,22.301503208705356,524.3303571428571,442.06381138392857,53.454310825892854,515039821824.0,Corynorhinus_rafinesquii
10,10,10000.0,22.487024307250977,480.6787109375,418.7210998535156,46.26260757446289,-inf,Corynorhinus_rafinesquii
11,11,2799.750597053214,20.930391751802883,514.4700646033654,563.2163461538462,26.03144014798678,-inf,Corynorhinus_rafinesquii
12,12,1171.363809446254,20.890667724609376,461.56764322916666,580.6563151041667,24.91469523111979,-inf,Corynorhinus_rafinesquii
13,13,1307.2510399454404,20.844463348388672,437.7751159667969,583.1326904296875,26.458541870117188,-inf,Corynorhinus_rafinesquii
14,14,47.46816798076782,20.73128382364909,627.4859619140625,536.8998616536459,49.57679239908854,-1.6999999760721821e+38,Corynorhinus_rafinesquii
15,15,456.18868569383716,21.304401104266827,556.1416266025641,503.029296875,46.67987530048077,572952911481.9048,Corynorhinus_rafinesquii
16,16,8708.769802335288,21.58819122314453,525.4578125,476.85498046875,46.74851989746094,-inf,Corynorhinus_rafinesquii
17,17,9264.807311547334,22.019610934787327,501.47992621527777,444.1257052951389,46.31950887044271,-inf,Corynorhinus_rafinesquii
18,18,665.0501395903717,20.057232666015626,368.52080078125,651.2251953125,20.255325317382812,-inf,Corynorhinus_rafinesquii
19,19,3571.9412916170477,19.94831937902114,413.3246208639706,647.6850298713235,19.369987936580884,-inf,Corynorhinus_rafinesquii
20,20,5339.236019718478,20.07562255859375,459.5016784667969,642.0711059570312,19.803964614868164,-inf,Corynorhinus_rafinesquii
