,grid_index,area,annual_mean_temp,prec_warmest_quarter,temp_seasonality,prec_seasonality,npp,binomial
1,1,0.712607342211203,24.0484619140625,787.9664306640625,451.28271484375,72.12089538574219,-inf,Muntiacus_reevesi
2,2,226.716567429105,23.91684913635254,800.3009033203125,448.127197265625,71.20349884033203,176261808128.0,Muntiacus_reevesi
3,3,326.7168268199262,23.871606826782227,802.8721923828125,447.5426025390625,70.28746795654297,79589965824.0,Muntiacus_reevesi
4,4,195.09313635043665,23.903956095377605,783.26513671875,463.2154947916667,72.55743408203125,-3.3999999521443642e+38,Muntiacus_reevesi
5,5,41.257087803774766,23.92611312866211,793.768798828125,455.962890625,72.0574722290039,-1.6999999760721821e+38,Muntiacus_reevesi
6,6,311.21744460944154,23.78492546081543,807.8284912109375,452.7837219238281,71.13090515136719,234437099520.0,Muntiacus_reevesi
7,7,400.0,23.79250717163086,812.7753295898438,451.7189025878906,70.26558685302734,-1.6999999760721821e+38,Muntiacus_reevesi
8,8,397.2328597428588,23.880477905273438,815.9554443359375,451.83349609375,69.91207885742188,-3.3999999521443642e+38,Muntiacus_reevesi
9,9,31.017339455369065,23.695720672607422,787.5664672851562,472.3687744140625,72.53663635253906,-inf,Muntiacus_reevesi
10,10,176.25561697961317,23.681867599487305,803.131591796875,466.8126220703125,71.87996673583984,-8.499999880360911e+37,Muntiacus_reevesi
11,11,400.0,23.588777542114258,816.366943359375,463.23529052734375,70.92015075683594,224590036992.0,Muntiacus_reevesi
12,12,400.0,23.677785873413086,821.0294189453125,461.2548522949219,70.21263885498047,-1.1333333173814548e+38,Muntiacus_reevesi
13,13,160.4333917101845,23.41397476196289,786.043701171875,489.6898193359375,72.75856018066406,-3.3999999521443642e+38,Muntiacus_reevesi
14,14,0.25701064583015454,23.487384033203124,791.70166015625,484.779541015625,72.49380493164062,-inf,Muntiacus_reevesi
15,15,290.22756310330226,23.513153076171875,806.917236328125,479.758056640625,71.67761993408203,328181809152.0,Muntiacus_reevesi
16,16,400.0,23.508020401000977,811.877685546875,475.70074462890625,70.68060302734375,207124922368.0,Muntiacus_reevesi
17,17,348.0893510372249,23.595905303955078,812.4063720703125,475.10302734375,70.129638671875,80608624640.0,Muntiacus_reevesi
18,18,141.19721699920208,23.343849182128906,791.3135986328125,495.2933349609375,72.8065414428711,-3.3999999521443642e+38,Muntiacus_reevesi
19,19,3.2980737130043187,23.348098754882812,797.4314778645834,495.7626139322917,72.53932698567708,-1.6999999760721821e+38,Muntiacus_reevesi
20,20,375.7327857014805,23.40263557434082,809.9564208984375,492.5946044921875,71.6460952758789,315902853120.0,Muntiacus_reevesi
21,21,400.0,23.403345743815105,808.9922688802084,491.1077473958333,70.93580118815105,199506853888.0,Muntiacus_reevesi
22,22,189.85073170932262,23.228893280029297,806.0690307617188,505.17919921875,72.34698486328125,-inf,Muntiacus_reevesi
23,23,311.0250487573193,23.256977081298828,813.2499389648438,502.46099853515625,71.70726776123047,303132082176.0,Muntiacus_reevesi
24,24,400.0,23.2512149810791,813.2816162109375,498.9367370605469,71.016845703125,217782779904.0,Muntiacus_reevesi
25,25,386.9733743556531,23.31258201599121,818.1395263671875,496.08392333984375,70.70838928222656,153953730560.0,Muntiacus_reevesi
26,26,152.4944222801085,23.341365814208984,836.4908447265625,494.6624755859375,71.18537902832031,149607317504.0,Muntiacus_reevesi
27,27,20.190876744118302,23.10662078857422,803.60546875,514.8677368164062,71.97462463378906,266905419776.0,Muntiacus_reevesi
28,28,143.9825756366343,23.116703033447266,812.577392578125,511.2452392578125,71.59249114990234,280279089152.0,Muntiacus_reevesi
29,29,385.80366232659026,23.1103458404541,819.4625854492188,508.05224609375,71.30030059814453,259696705536.0,Muntiacus_reevesi
30,30,400.0,23.180561065673828,827.064697265625,504.34625244140625,71.09781646728516,216351211520.0,Muntiacus_reevesi
31,31,308.08146742389033,23.281333923339844,841.69931640625,497.55390625,71.38801879882813,213392506880.0,Muntiacus_reevesi
32,32,243.9695788165423,23.32952117919922,867.0814208984375,489.1095886230469,72.39969635009766,160930611200.0,Muntiacus_reevesi
33,33,14.037433275450391,22.60649871826172,1464.2298583984375,509.92706298828125,90.65027618408203,-3.3999999521443642e+38,Muntiacus_reevesi
34,34,1.4438052605796774,22.424610137939453,1311.9423828125,528.0631103515625,88.1317138671875,-3.3999999521443642e+38,Muntiacus_reevesi
35,35,23.188828239168465,22.240468978881836,1143.971923828125,551.256591796875,84.91989135742188,-inf,Muntiacus_reevesi
36,36,30.688952189613456,22.20587158203125,1075.02685546875,563.7252807617188,83.44857788085938,-3.3999999521443642e+38,Muntiacus_reevesi
37,37,4.287557644744375,22.887548446655273,856.9094848632812,542.7259521484375,76.89454650878906,-3.3999999521443642e+38,Muntiacus_reevesi
38,38,0.9677599719944409,22.753700256347656,844.3353271484375,545.8212280273438,75.89302825927734,-inf,Muntiacus_reevesi
39,39,236.69511388848807,22.80011749267578,828.8927612304688,539.5963745117188,74.90839385986328,-3.3999999521443642e+38,Muntiacus_reevesi
40,40,275.8295357107455,22.814208984375,817.6724446614584,538.1949055989584,73.9384256998698,-inf,Muntiacus_reevesi
41,41,87.3508041203586,22.89806213378906,805.56083984375,530.9345703125,71.971875,-1.6999999760721821e+38,Muntiacus_reevesi
42,42,185.93915113426254,22.96676254272461,812.1746215820312,523.9151611328125,71.41789245605469,270196883456.0,Muntiacus_reevesi
43,43,360.1915764184052,23.00034523010254,819.0598754882812,519.771240234375,71.27767944335938,283334737920.0,Muntiacus_reevesi
44,44,400.0,23.025955200195312,826.869140625,514.6919555664062,71.1789321899414,278748692480.0,Muntiacus_reevesi
45,45,386.96999448405995,23.165761311848957,843.5935872395834,503.4128824869792,71.58056640625,277177696256.0,Muntiacus_reevesi
46,46,398.5319997597387,23.32403564453125,867.1415405273438,491.76434326171875,72.44139099121094,219054145536.0,Muntiacus_reevesi
47,47,364.661235840335,23.327993392944336,883.9473876953125,487.109619140625,73.09707641601562,168545288192.0,Muntiacus_reevesi
48,48,259.030807330335,23.222787857055664,899.2840576171875,484.800537109375,73.50411224365234,-1.6999999760721821e+38,Muntiacus_reevesi
49,49,210.13218462829968,23.119322204589842,926.1859375,484.37509765625,74.0175537109375,-inf,Muntiacus_reevesi
50,50,112.79740123650458,22.818830490112305,962.0731811523438,485.1558837890625,74.75947570800781,-3.3999999521443642e+38,Muntiacus_reevesi
51,51,58.32283874942678,20.284767150878906,975.0511474609375,497.98004150390625,83.51193237304688,383220056064.0,Muntiacus_reevesi
52,52,34.14016739737316,20.451522827148438,1096.2802734375,501.06988525390625,85.14453125,405364932608.0,Muntiacus_reevesi
53,53,134.7102173701359,21.788427734375,1320.0548828125,513.484912109375,88.154931640625,-8.499999880360911e+37,Muntiacus_reevesi
54,54,253.60719324981628,22.143047332763672,1268.098876953125,534.0214233398438,87.04901123046875,-1.6999999760721821e+38,Muntiacus_reevesi
55,55,379.08198879953176,22.126480102539062,1140.5384521484375,556.6525268554688,84.4550552368164,-inf,Muntiacus_reevesi
56,56,246.51226480880032,22.04736328125,1042.6832275390625,572.897705078125,82.21487426757812,-inf,Muntiacus_reevesi
