,grid_index,area,annual_mean_temp,prec_warmest_quarter,temp_seasonality,prec_seasonality,npp,binomial
1,1,1482.7564568257196,27.76209716796875,50.237725830078126,276.8975341796875,130.395263671875,377247093108.36365,Felovia_vae
2,2,4260.698644395205,28.924937220982144,84.42158203125,297.6362165178571,137.91021205357143,241883807744.0,Felovia_vae
3,3,6713.277403080419,28.075393676757812,101.75754801432292,298.5107421875,135.42875162760416,269884464670.11765,Felovia_vae
4,4,4824.804720385096,29.241355202414773,51.9945234818892,295.2943670099432,141.3540926846591,109328944332.8,Felovia_vae
5,5,2089.692213634874,29.453775259164665,66.04271052433894,307.34609750600964,140.66593111478366,139805680246.15384,Felovia_vae
6,6,5440.796428763108,28.48486328125,93.48163452148438,304.4865234375,136.69368896484374,192396023125.33334,Felovia_vae
7,7,1769.729092394923,29.652726236979166,34.8267333984375,327.0005859375,138.50735677083333,77427630080.0,Felovia_vae
8,8,6536.934318471411,29.439852086509145,38.791274652248475,344.6788776676829,137.96128286966464,93913667476.21053,Felovia_vae
9,9,7509.845934388007,29.421561104910715,33.895237513950896,363.23318917410717,140.8267822265625,92594860487.11111,Felovia_vae
10,10,2181.5284227800958,30.08421594956342,30.290789435891543,383.78889016544116,135.9630916819853,50403551339.789474,Felovia_vae
11,11,8359.626702486847,29.598960876464844,35.985949198404946,411.3682861328125,138.2183634440104,61773905920.0,Felovia_vae
12,12,10000.0,29.40687226086128,38.68797637195122,419.5183879573171,141.66770674542684,60743883161.6,Felovia_vae
13,13,9696.420768480553,29.68889872233073,43.483500162760414,429.0111083984375,143.09715779622397,54726012928.0,Felovia_vae
14,14,2340.05256660731,29.787906901041666,43.02698974609375,420.78040364583336,133.81844075520834,36764191948.8,Felovia_vae
15,15,8776.571346147239,29.32496452331543,47.250579833984375,456.511962890625,132.15963745117188,40450512213.333336,Felovia_vae
16,16,7560.721637973655,29.328758239746094,55.48814392089844,458.0064697265625,138.30340576171875,42006328115.2,Felovia_vae
17,17,2425.922789308831,29.606563568115234,32.774940490722656,458.00079345703125,135.63851928710938,31786955869.090908,Felovia_vae
18,18,7747.091493471675,28.673966691300677,33.05956701330236,485.25358952702703,125.56421558277027,31894165913.6,Felovia_vae
19,19,7221.73544634052,29.024341401599703,23.577301025390625,518.6133742559524,122.19940476190476,23077491273.142857,Felovia_vae
20,20,3854.8088011297455,29.12915743314303,20.26775888296274,518.2958608774038,126.06704477163461,19921375232.0,Felovia_vae
21,21,5724.649688078451,29.547753470284597,40.665501185825896,496.56392996651783,134.85051618303572,22291038208.0,Felovia_vae
22,22,763.387988687452,29.365635922080592,44.07404206928454,503.05001027960526,132.66739052220396,25708874266.94737,Felovia_vae
23,23,8277.518344558444,28.45710280845905,42.68585836476293,512.285122575431,121.58228380926724,29330087305.846153,Felovia_vae
24,24,5422.530193806649,28.393490745907737,31.61158679780506,533.6921037946429,118.00618489583333,25598338662.4,Felovia_vae
25,25,3777.2870003950707,28.616003036499023,18.294485092163086,536.5072631835938,119.5423812866211,22171502592.0,Felovia_vae
26,26,2299.7397068910627,29.085966965247845,32.874431741648706,498.7771753771552,130.99767645474137,21250981025.68421,Felovia_vae
28,28,8063.6153922848025,28.24639320373535,27.18551254272461,512.7970581054688,124.24471282958984,20914979779.764706,Felovia_vae
29,29,7376.353125914648,27.316134643554687,26.546145629882812,556.986572265625,111.3572998046875,19834286535.11111,Felovia_vae
30,30,6045.694213544147,27.20708550347222,20.092061360677082,577.9509548611111,103.86980523003473,19864492441.6,Felovia_vae
