,grid_index,area,annual_mean_temp,prec_warmest_quarter,temp_seasonality,prec_seasonality,npp,binomial
1,1,1947.397713135066,18.868080139160156,376.50146484375,302.4716491699219,53.207008361816406,-inf,Glauconycteris_variegata
2,2,6889.993856066746,20.830909729003906,383.0905456542969,277.7338562011719,41.41102600097656,-inf,Glauconycteris_variegata
3,3,77.2914898695082,17.286388050426137,360.10611239346593,370.46193625710225,68.79070490056819,508767135334.4,Glauconycteris_variegata
4,4,1505.6065369862654,18.163348858173077,369.77183493589746,300.08956830929486,61.03653345352564,539362604517.0526,Glauconycteris_variegata
5,5,9517.708903729754,20.88913748604911,391.0679408482143,263.1413783482143,42.690701729910714,-inf,Glauconycteris_variegata
6,6,6532.948134039841,18.352238246372767,357.669677734375,273.3876255580357,64.122314453125,490123762801.7778,Glauconycteris_variegata
7,7,2642.918063006278,20.810006277901785,331.73125,272.9982700892857,55.4919677734375,-inf,Glauconycteris_variegata
8,8,9820.037373528125,22.039946122602984,348.4793590198864,274.16592684659093,47.82676003196023,-inf,Glauconycteris_variegata
9,9,650.0135199516601,21.622291301858837,313.25922683189657,287.4034213362069,65.04351175242456,-inf,Glauconycteris_variegata
10,10,6410.052863558308,22.0655517578125,344.36533203125,257.891259765625,56.8119384765625,-inf,Glauconycteris_variegata
11,11,2893.828947207527,22.139005220853367,348.66541466346155,263.59102689302887,73.3928692157452,-inf,Glauconycteris_variegata
12,12,5756.745831064165,22.505179268973215,365.4380115327381,250.0264136904762,62.827706473214285,-inf,Glauconycteris_variegata
13,13,1810.6489593272634,21.482699076334637,335.08278401692706,335.5351969401042,77.34947713216145,369501929472.0,Glauconycteris_variegata
14,14,241.93695750520507,22.220990580897176,332.6686617943548,307.66651965725805,74.0419685609879,397053978810.1818,Glauconycteris_variegata
15,15,8825.177220020565,23.046491834852432,400.3676486545139,273.8620334201389,61.60076226128472,-inf,Glauconycteris_variegata
16,16,8169.5202870678495,23.414716720581055,387.0179443359375,256.7924499511719,48.560646057128906,-inf,Glauconycteris_variegata
17,17,3339.714795933837,-1.1333333173814548e+38,-1.1333333173814548e+38,-1.1333333173814548e+38,-1.1333333173814548e+38,-inf,Glauconycteris_variegata
18,18,188.25205615088245,22.07298417524858,311.6566716974432,315.20822975852275,80.4992342862216,306283859148.8,Glauconycteris_variegata
19,19,4283.387865645997,22.641765776134672,299.0570359002976,312.91176060267856,75.06331961495536,341370273792.0,Glauconycteris_variegata
20,20,10000.0,23.959190368652344,333.8707275390625,299.3983154296875,69.86211649576823,378505815654.4,Glauconycteris_variegata
21,21,10000.0,24.030117943173362,363.3646995907738,258.12569754464283,62.642159598214285,-inf,Glauconycteris_variegata
22,22,10000.0,-1.1333333173814548e+37,-1.1333333173814548e+37,-1.1333333173814548e+37,-1.1333333173814548e+37,-inf,Glauconycteris_variegata
23,23,6725.927541734514,20.396981375558035,455.59402901785717,303.27291434151783,83.68723842075893,486133639850.6667,Glauconycteris_variegata
24,24,1866.6336185800315,22.2056572146532,298.6299780868902,341.5371570121951,83.91831411966463,307459977862.7368,Glauconycteris_variegata
25,25,9446.05251767982,23.255459740048362,248.38204520089286,330.5992140997024,82.69356863839286,331499132245.3333,Glauconycteris_variegata
26,26,10000.0,24.420255025227863,314.0931396484375,306.2309163411458,88.87840779622395,366181010636.8,Glauconycteris_variegata
27,27,10000.0,24.332237606956845,370.86453683035717,274.49142020089283,84.92958286830357,396345239142.4,Glauconycteris_variegata
