,grid_index,area,annual_mean_temp,prec_warmest_quarter,temp_seasonality,prec_seasonality,npp,binomial
1,1,2120.1577209678953,25.331368281923492,448.7842807112069,76.12104323814656,92.24985688308189,-inf,Leptonycteris_yerbabuenae
2,2,5163.897482005286,24.18204398777174,279.2781929347826,84.2955322265625,95.09972613790761,-inf,Leptonycteris_yerbabuenae
3,3,3388.748293336362,26.968109130859375,447.00889369419644,68.63304356166294,91.71034458705357,-inf,Leptonycteris_yerbabuenae
4,4,2340.89650989723,21.20569545200893,570.4646205357143,76.90911690848215,85.6666015625,-inf,Leptonycteris_yerbabuenae
5,5,9682.797843687225,19.141592025756836,529.1237182617188,91.89498138427734,86.89511108398438,633280135168.0,Leptonycteris_yerbabuenae
6,6,8295.513446657891,22.001590851814516,307.36948714717744,114.30805034022177,88.6823966733871,741447708299.6364,Leptonycteris_yerbabuenae
7,7,7546.24852887313,21.156658935546876,461.72685546875,141.26705322265624,75.08430786132813,867165850828.8,Leptonycteris_yerbabuenae
8,8,8206.113659351295,25.280164446149552,365.11122349330356,88.18192836216518,106.23751395089286,-inf,Leptonycteris_yerbabuenae
9,9,1842.7598843533751,26.300791422526043,365.7880588107639,82.83681233723958,106.62499321831598,-inf,Leptonycteris_yerbabuenae
10,10,1053.534816437748,26.5927241398738,516.1671424278846,90.86326246995192,104.9245135967548,-inf,Leptonycteris_yerbabuenae
11,11,1381.098525611525,23.41900165264423,512.5479266826923,107.29162910657051,96.65862254607372,-inf,Leptonycteris_yerbabuenae
12,12,9042.047566252464,17.61488996233259,580.143322172619,124.4770275297619,82.45781598772321,568736664780.8,Leptonycteris_yerbabuenae
13,13,9999.786459684983,18.838581758386947,687.169921875,123.04006778492646,65.70494169347427,747648162201.6,Leptonycteris_yerbabuenae
14,14,2597.248007986288,24.36970672607422,454.37060546875,140.672119140625,74.52674560546875,912186321578.6666,Leptonycteris_yerbabuenae
15,15,188.48642566915785,23.805665969848633,440.84002685546875,147.32215881347656,64.20571899414062,866165666611.2,Leptonycteris_yerbabuenae
16,16,2043.2372878759127,26.882205200195312,573.08505859375,88.99672241210938,115.8223388671875,-inf,Leptonycteris_yerbabuenae
17,17,143.5157722765464,26.519186268682066,485.89113451086956,96.92515497622283,112.83445142663044,-inf,Leptonycteris_yerbabuenae
18,18,2584.8640539247795,24.538853695518092,429.60665090460526,120.97995476973684,109.455322265625,-inf,Leptonycteris_yerbabuenae
