,grid_index,area,annual_mean_temp,prec_warmest_quarter,temp_seasonality,prec_seasonality,npp,binomial
1,1,887.7407452892163,23.662432861328124,806.94169921875,469.48642578125,70.9997314453125,-inf,Muntiacus_reevesi
2,2,4327.564865863071,20.810115814208984,973.2257080078125,506.9195556640625,82.8974609375,384458358784.0,Muntiacus_reevesi
3,3,1107.5278007476727,21.775093410326086,1083.7635869565217,555.347995923913,82.63167671535327,-inf,Muntiacus_reevesi
4,4,3121.0286165010357,22.548150634765626,824.0434895833333,547.3715494791667,73.493017578125,-inf,Muntiacus_reevesi
5,5,4894.281370953232,22.9840368322424,825.8175147804054,513.2523226351351,71.45185150971284,280148812520.7273,Muntiacus_reevesi
6,6,8221.905621724873,22.83013407389323,926.418701171875,492.8704020182292,74.18563334147136,-inf,Muntiacus_reevesi
7,7,4282.202552056151,22.619679768880207,984.7111002604166,506.4720052083333,74.59015401204427,-3.399999952144364e+37,Muntiacus_reevesi
8,8,1145.787705737416,24.285720825195312,1243.111083984375,284.4270935058594,89.81472778320312,55672918016.0,Muntiacus_reevesi
9,9,0.5361410656597774,21.90454799107143,823.6607700892857,540.1539620535714,77.926904296875,386063400960.0,Muntiacus_reevesi
10,10,8405.04148442888,21.513880411783855,863.3330078125,583.6494140625,75.30579630533855,332418908160.0,Muntiacus_reevesi
11,11,9997.360189054738,21.455245245070685,766.9178292410714,590.8813244047619,70.59727841331845,339627868160.0,Muntiacus_reevesi
12,12,10000.0,21.772821335565474,757.4128999255952,551.9325706845239,69.35285295758929,356744508211.2,Muntiacus_reevesi
13,13,10000.0,21.708533877418155,861.5173921130952,528.0068359375,72.974853515625,367802318848.0,Muntiacus_reevesi
14,14,10000.0,22.13700939360119,904.9292224702381,537.4960472470239,71.89203171502976,336051385139.2,Muntiacus_reevesi
15,15,9886.314008094227,22.38986385569853,905.3352481617648,543.4031479779412,72.3212890625,-1.7894736590233497e+37,Muntiacus_reevesi
16,16,4288.076407997426,-1.7894736590233497e+37,-1.7894736590233497e+37,-1.7894736590233497e+37,-1.7894736590233497e+37,-inf,Muntiacus_reevesi
17,17,1660.1459690155286,22.247510637555802,740.052734375,522.5599190848214,70.12351335797992,-inf,Muntiacus_reevesi
18,18,152.6861145558631,24.231971740722656,1372.57177734375,386.26873779296875,105.04312896728516,-1.6999999760721821e+38,Muntiacus_reevesi
19,19,1.2626982406991665,22.559344951923077,1593.1099759615386,329.4453876201923,97.12393892728366,-inf,Muntiacus_reevesi
20,20,3859.883782191707,17.788962916324014,681.9579564144736,395.4857113486842,86.34771407277961,490375348224.0,Muntiacus_reevesi
21,21,4071.024086238952,17.198406982421876,724.1741536458334,412.87744140625,86.52865397135416,448271205315.7647,Muntiacus_reevesi
22,22,7428.696344542325,16.636583116319443,825.1775173611111,452.91889105902777,86.81403266059027,386343225116.44446,Muntiacus_reevesi
23,23,8225.702554014146,17.51509772406684,808.5902777777778,489.9679361979167,88.17860243055556,381998377642.6667,Muntiacus_reevesi
24,24,3509.096589467351,19.63772700383113,824.1947115384615,526.6454326923077,86.7202617938702,401605224809.41174,Muntiacus_reevesi
25,25,5954.684409010363,21.335993303571428,811.9328125,568.9790736607143,78.00821010044643,374878869913.6,Muntiacus_reevesi
26,26,9838.248491506796,21.24259033203125,778.086376953125,608.15361328125,68.39954223632813,334099120128.0,Muntiacus_reevesi
27,27,10000.0,21.212613351004464,642.7375,619.6080357142857,66.76819893973214,295298295398.4,Muntiacus_reevesi
28,28,10000.0,21.39736851283482,641.4865513392857,599.8045200892857,66.48669084821428,346808202035.2,Muntiacus_reevesi
29,29,10000.0,21.46829310825893,715.5754464285715,586.7842633928572,68.82111467633929,371295623577.6,Muntiacus_reevesi
30,30,10000.0,21.485112653459822,750.7660714285714,582.4153459821429,66.89616350446428,362860406374.4,Muntiacus_reevesi
31,31,10000.0,21.872970581054688,775.31982421875,576.82509765625,67.0939208984375,310568594090.6667,Muntiacus_reevesi
32,32,9734.616854351078,21.430568150111608,830.5572544642857,555.2252232142857,68.94264787946429,-1.699999976072182e+37,Muntiacus_reevesi
33,33,9924.364551999086,21.130487932477678,734.2205915178571,536.5651227678571,66.31901506696428,-inf,Muntiacus_reevesi
34,34,9292.70637713151,21.558870951334637,629.0379638671875,538.7903645833334,67.1188252766927,-inf,Muntiacus_reevesi
35,35,4559.466349762533,21.142269134521484,531.7277221679688,548.3951416015625,66.27037048339844,61071618048.0,Muntiacus_reevesi
36,36,1.2681703550152557,23.43145751953125,1103.98818359375,433.7267578125,96.67372436523438,-inf,Muntiacus_reevesi
37,37,1059.1446796740768,19.135069056919644,1338.3957589285715,363.68839285714284,84.26510881696429,-inf,Muntiacus_reevesi
38,38,9859.09353364213,17.900904605263158,597.7358141447369,417.4361122532895,83.58706825657895,496108616238.5455,Muntiacus_reevesi
39,39,3421.3882266784476,17.481109619140625,581.1001674107143,419.5547805059524,84.55132184709821,426826819174.4,Muntiacus_reevesi
40,40,9999.999707039153,16.290714808872767,560.2192150297619,430.5282738095238,85.32124255952381,364141871104.0,Muntiacus_reevesi
41,41,10000.0,16.09710947672526,635.9096272786459,467.5653483072917,83.26431274414062,376299218534.4,Muntiacus_reevesi
42,42,10000.0,17.631097702752974,680.5215773809524,515.2613467261905,84.8111339750744,423937468006.4,Muntiacus_reevesi
43,43,10000.0,19.71542213076637,730.9431733630952,552.0723586309524,85.45816476004464,461103781205.3333,Muntiacus_reevesi
44,44,10000.0,20.103416806175595,762.572498139881,597.158203125,76.75016857328869,388342874112.0,Muntiacus_reevesi
45,45,10000.0,20.011071523030598,775.9656575520834,641.1602783203125,68.28725179036458,332506097254.4,Muntiacus_reevesi
46,46,10000.0,20.4112795875186,634.3759300595239,660.8257068452381,66.04136439732143,292199386316.8,Muntiacus_reevesi
47,47,10000.0,19.69967796688988,636.9017857142857,652.5326450892857,65.52876790364583,349240714854.4,Muntiacus_reevesi
48,48,10000.0,19.983748663039435,622.3411923363095,651.5403180803571,64.9922107514881,374502902988.8,Muntiacus_reevesi
49,49,10000.0,19.777959914434526,645.0791480654761,633.2965959821429,64.29491606212798,379499000627.2,Muntiacus_reevesi
50,50,10000.0,20.259681701660156,690.9842936197916,625.25732421875,66.24603271484375,381247728298.6667,Muntiacus_reevesi
