,grid_index,area,annual_mean_temp,prec_warmest_quarter,temp_seasonality,prec_seasonality,npp,binomial
1,1,178.10982243323372,25.274126325334823,407.01255580357144,76.83917526971726,113.375732421875,-inf,Musonycteris_harrisoni
2,2,4395.808221335891,24.648287091936385,393.33858816964283,88.84300013950893,110.18603515625,-inf,Musonycteris_harrisoni
3,3,2090.276944213136,25.417646408081055,594.7962036132812,145.88287353515625,114.16578674316406,-8.499999880360911e+37,Musonycteris_harrisoni
4,4,34.0814112632834,24.548173692491318,565.3077799479166,131.09046766493054,112.33721923828125,-2.833333293453637e+37,Musonycteris_harrisoni
5,5,2901.092324693373,25.242820046164773,395.4212239583333,105.78527462121212,115.47072531960227,-inf,Musonycteris_harrisoni
6,6,7445.260190391562,25.20947908100329,252.72836143092104,136.02629009046052,115.24326685855263,577424588800.0,Musonycteris_harrisoni
7,7,7359.89365444845,24.45849239464962,275.9222597064394,172.9524443655303,111.86747602982955,559692064875.7894,Musonycteris_harrisoni
8,8,7541.146763891229,25.325755528041295,536.8974609375,154.70908900669642,113.82303292410714,-inf,Musonycteris_harrisoni
10,10,4371.1101901589755,24.308888753255207,198.76554361979166,143.44796549479167,112.4120361328125,484509071067.4286,Musonycteris_harrisoni
11,11,4152.629175905054,25.630303955078126,202.56485595703126,168.435302734375,117.199609375,507360313344.0,Musonycteris_harrisoni
12,12,6700.226568029241,21.169827415829612,313.2186569940476,169.91608537946428,106.79042271205357,522549079691.63635,Musonycteris_harrisoni
