,grid_index,area,annual_mean_temp,prec_warmest_quarter,temp_seasonality,prec_seasonality,npp,binomial
1,1,5215.113171500766,8.161112758091518,171.84750279017857,462.25206473214286,61.67301897321428,-1.4166666467268185e+37,Myotis_keenii
2,2,7754.101383863017,8.598349434988839,285.52164132254467,419.3434361049107,55.903900146484375,-6.799999904288728e+37,Myotis_keenii
3,3,249.3453231281555,-1.4782608487584193e+37,-1.4782608487584193e+37,-1.4782608487584193e+37,-1.4782608487584193e+37,-inf,Myotis_keenii
4,4,3817.5457763432755,8.280033535427517,177.24191623263889,478.9176974826389,62.71922471788194,288233343514.9474,Myotis_keenii
5,5,7154.04637835384,9.084942016601563,131.026923828125,504.3539453125,59.9571875,246138681571.55554,Myotis_keenii
6,6,2673.181491966685,8.271925354003907,352.526220703125,396.1737060546875,45.205239868164064,-inf,Myotis_keenii
7,7,294.80167612588997,7.912577311197917,317.92588975694446,415.1044921875,52.094509548611114,-2.833333293453637e+37,Myotis_keenii
8,8,4250.158138198079,6.9780776565139355,270.0386665962838,464.29961993243245,54.818867451435814,332927184680.4211,Myotis_keenii
9,9,7678.183344979811,6.813932761167869,186.1387720352564,529.2214042467949,54.82635967548077,322821213388.8,Myotis_keenii
10,10,7241.545294020528,6.463911576704546,165.73473011363637,559.4227627840909,46.974661162405305,269559375269.64706,Myotis_keenii
11,11,5192.20452030446,5.771818334406072,190.21839488636363,576.9289772727273,50.23985706676137,256844077465.6,Myotis_keenii
12,12,3791.272103826868,8.209236907958985,349.57880859375,403.868115234375,44.76968688964844,-inf,Myotis_keenii
13,13,656.0777388586062,7.133496965680804,343.0013950892857,464.41216517857146,45.88948800223214,-1.4782608487584193e+37,Myotis_keenii
14,14,6029.79574684266,3.9204224617250505,242.5931357106855,533.2271295362904,43.86066658266129,-inf,Myotis_keenii
15,15,7479.562329222161,3.2615785144624256,182.1393810453869,585.0678943452381,42.271153041294646,-inf,Myotis_keenii
16,16,4296.993016046291,3.1589467525482178,166.9895477294922,613.6875,39.15842056274414,-6.799999904288728e+37,Myotis_keenii
17,17,354.68593608156874,7.026200866699218,459.324462890625,371.858154296875,46.45989990234375,-6.799999904288728e+37,Myotis_keenii
18,18,576.0202647765915,-inf,-inf,-inf,-inf,-inf,Myotis_keenii
19,19,1846.4686988241779,7.439204692840576,354.0,397.2570495605469,44.10888671875,-inf,Myotis_keenii
20,20,28.72062980068018,6.39837411733774,544.6829176682693,504.46056189903845,42.60625751201923,223563769446.4,Myotis_keenii
21,21,2088.9048866827693,5.229772077287946,425.50848214285713,528.7581473214286,42.7552734375,232907534062.93332,Myotis_keenii
22,22,5389.009326816527,3.524490628923689,263.0511997767857,570.28857421875,43.096753801618306,215192327509.33334,Myotis_keenii
23,23,572.3668381230149,7.1082611083984375,373.32882254464283,397.42257254464283,39.18847220284598,-2.6153845785725877e+37,Myotis_keenii
25,25,5030.861930079857,7.0000867341694075,436.9759971217105,473.3150699013158,39.05223003186678,-inf,Myotis_keenii
26,26,1625.5089607406258,5.574681745256696,457.5806640625,530.6797433035714,43.99220493861607,-1.999999971849626e+37,Myotis_keenii
27,27,1588.1731447351565,5.01177978515625,464.5450744628906,552.4296264648438,47.52372741699219,195915186176.0,Myotis_keenii
28,28,6755.4918290084925,3.3023147583007812,385.183349609375,594.2947998046875,48.34869384765625,132777574400.0,Myotis_keenii
