,grid_index,area,annual_mean_temp,prec_warmest_quarter,temp_seasonality,prec_seasonality,npp,binomial
1,1,2162.809998579578,22.623440650201612,560.81640625,429.6657951108871,61.49288841985887,530008722251.2941,Neotoma_floridana
2,2,7317.200778000257,22.617156982421875,508.5747985839844,412.66387939453125,52.242427825927734,-inf,Neotoma_floridana
3,3,2476.4124541790475,21.494508743286133,284.3363037109375,600.2205810546875,38.295143127441406,141381582848.0,Neotoma_floridana
4,4,2.0506866088679776,21.548433303833008,291.3271179199219,595.0150146484375,36.153785705566406,-1.1333333173814548e+38,Neotoma_floridana
5,5,402.16182891165784,22.29593558933424,560.0855129076087,470.5957455842391,52.52401069972826,-2.6153845785725877e+37,Neotoma_floridana
6,6,4031.212396499449,22.217731294177828,550.2047991071429,457.24107142857144,54.00236583891369,540309140275.2,Neotoma_floridana
7,7,10000.0,22.32422039959882,501.5060177364865,432.34010768581084,49.534202781883444,-inf,Neotoma_floridana
8,8,6878.165653710675,20.313819885253906,203.08486938476562,667.251708984375,33.93550109863281,358121635840.0,Neotoma_floridana
9,9,26.82267277008538,20.727129536290324,240.72703503024192,643.225113407258,35.11219049269153,391206818007.5789,Neotoma_floridana
10,10,5860.879967635794,20.80374290829613,295.1112351190476,627.8472842261905,30.656453450520832,-inf,Neotoma_floridana
11,11,8976.029555620178,-1.214285697194416e+37,-1.214285697194416e+37,-1.214285697194416e+37,-1.214285697194416e+37,-inf,Neotoma_floridana
12,12,4229.4212737004145,20.581973605685764,526.4112413194445,577.6571723090278,24.93338351779514,402167468617.1429,Neotoma_floridana
13,13,486.2368564924718,20.701217651367188,496.1888020833333,580.9933268229166,22.50372823079427,304807903232.0,Neotoma_floridana
14,14,344.6141203689203,20.92938021955819,591.5618265086207,525.9977438038793,47.57097757273707,-1.7894736590233497e+37,Neotoma_floridana
15,15,5467.081949319561,21.222141810825892,532.3186848958334,500.4288039434524,45.306387765066965,554356294287.36,Neotoma_floridana
16,16,10000.0,21.56015292080966,516.8778852982955,471.5613902698864,45.21752652254972,-inf,Neotoma_floridana
17,17,3640.5583350010647,18.46610078357515,199.57854352678572,700.5076264880952,41.35842750186012,136838381568.0,Neotoma_floridana
18,18,3791.769676242921,18.303155081612722,213.20704868861608,694.3827427455357,36.29546029227121,224096210124.8,Neotoma_floridana
19,19,6557.286261930317,19.223010647681452,215.68578314012098,697.5791960685484,33.77881253150202,300622211258.1818,Neotoma_floridana
20,20,7933.772009960801,19.92078857421875,212.13643973214286,694.6895647321429,32.3252685546875,409559079321.6,Neotoma_floridana
21,21,10000.0,20.007747977120534,245.43002232142857,684.0833705357143,25.48080531529018,482865892556.8,Neotoma_floridana
22,22,10000.0,20.1497407801011,326.45148782169116,658.4681181066177,20.962291044347428,506718351815.1111,Neotoma_floridana
23,23,8142.613843365134,19.730220249720983,385.13839285714283,657.7438616071429,17.21133749825614,605689007308.8,Neotoma_floridana
24,24,3299.966381356823,19.903431701660157,423.93837890625,648.770166015625,17.517218017578124,-2.6153845785725877e+37,Neotoma_floridana
