,grid_index,area,annual_mean_temp,prec_warmest_quarter,temp_seasonality,prec_seasonality,npp,binomial
1,1,2583.597900291648,24.04013442993164,707.2958374023438,31.028779983520508,25.334453582763672,594029182976.0,Pardofelis_marmorata
2,2,176.16359284028715,26.495463053385418,400.5080295138889,41.10448540581597,53.49840969509549,-inf,Pardofelis_marmorata
3,3,719.7383908157692,23.042068481445312,674.0432477678571,26.320935930524552,26.728905814034597,-2.833333293453637e+37,Pardofelis_marmorata
4,4,2513.27382040585,21.95378875732422,766.457861328125,27.067913818359376,29.516708374023438,-2.833333293453637e+37,Pardofelis_marmorata
5,5,3817.385534233464,26.767993927001953,406.1999816894531,39.03626251220703,51.90199661254883,-1.6999999760721821e+38,Pardofelis_marmorata
6,6,14.717160600902083,23.377017974853516,659.8067016601562,25.40164566040039,31.260005950927734,630542390613.3334,Pardofelis_marmorata
7,7,266.0984499850245,22.457815987723215,595.3127092633929,26.10601806640625,32.69605582101004,647233419491.5555,Pardofelis_marmorata
8,8,1434.106244892739,27.081096649169922,703.135009765625,27.022550582885742,22.57729721069336,-4.857142788777664e+37,Pardofelis_marmorata
9,9,1047.5531375413318,26.315478515625,670.4888671875,35.527567545572914,38.60627034505208,760604839116.8,Pardofelis_marmorata
10,10,1953.8742722316624,27.016849517822266,714.4112548828125,33.37000274658203,27.66720962524414,939359272960.0,Pardofelis_marmorata
11,11,64.34587572287477,22.809779575892858,651.3785714285714,27.484054129464287,32.78818359375,-2.1249999700902277e+37,Pardofelis_marmorata
12,12,7425.853806109557,23.245393880208333,638.0541015625,29.059647623697916,33.81197509765625,689710720614.4,Pardofelis_marmorata
13,13,2204.188933972677,26.964191436767578,577.2420043945312,37.417240142822266,40.668487548828125,-1.6999999760721821e+38,Pardofelis_marmorata
14,14,32.35894559884005,26.910917282104492,713.0515747070312,26.190322875976562,22.58899688720703,898431713280.0,Pardofelis_marmorata
15,15,2920.65141297688,27.124591064453124,649.573095703125,30.220452880859376,31.5212646484375,998158082792.7273,Pardofelis_marmorata
16,16,4056.9170413304278,27.221320657169116,616.5525620404412,31.110958323759192,34.42953311695772,990671955558.4,Pardofelis_marmorata
17,17,2272.00694448199,25.658255184397976,690.2616613051471,31.128224092371322,32.42112821691177,918683997525.3334,Pardofelis_marmorata
18,18,2248.858415982288,25.785568237304688,697.873046875,30.2198974609375,31.586734008789062,973267206144.0,Pardofelis_marmorata
19,19,1283.9311690048455,21.860464096069336,698.345947265625,28.234230041503906,32.683807373046875,510654545920.0,Pardofelis_marmorata
20,20,1739.3213775453903,22.306418678977273,651.3970762310606,29.004372336647727,35.784286961410984,591876820536.8889,Pardofelis_marmorata
21,21,7208.210836452616,26.725936889648438,571.1515706380209,38.65481821695963,33.61405944824219,749343779498.6666,Pardofelis_marmorata
22,22,224.9405101783837,-1.8888888623024246e+37,-1.8888888623024246e+37,-1.8888888623024246e+37,-1.8888888623024246e+37,-inf,Pardofelis_marmorata
23,23,1710.621501872099,26.323962983630953,741.4458240327381,26.506783621651785,24.796058291480655,1035247317447.1111,Pardofelis_marmorata
24,24,3030.7713400815096,26.36500965465199,764.4541015625,25.039248379794035,21.89262528852983,1039838099683.5555,Pardofelis_marmorata
25,25,3256.764452257054,27.159823713631464,727.4249057112069,25.87054443359375,26.106359021417028,1022699990454.8572,Pardofelis_marmorata
26,26,4760.90065662312,27.289168508429277,675.2570929276316,27.01927425986842,29.948974609375,1017044579508.7059,Pardofelis_marmorata
27,27,7176.142525579565,26.609429931640626,640.64072265625,26.742922973632812,34.896331787109375,1007831365859.5555,Pardofelis_marmorata
28,28,2282.6082126100487,26.230392456054688,567.6935221354166,27.5609614054362,34.85440317789713,1009952274990.5454,Pardofelis_marmorata
29,29,2512.303201600459,22.003209040715145,677.1209435096154,29.569091796875,30.844818115234375,526107497813.3333,Pardofelis_marmorata
30,30,5946.839535898792,25.218909630408653,625.8632061298077,33.621377798227165,29.72338632436899,793969805084.4445,Pardofelis_marmorata
31,31,5200.120285408874,26.04045926607572,585.6133188100962,34.62130502554086,30.248436560997597,820443364412.2354,Pardofelis_marmorata
32,32,6222.116521987246,26.838699340820312,576.161328125,37.224569702148436,29.42864990234375,-inf,Pardofelis_marmorata
33,33,659.7747536108611,26.86438496907552,594.2825520833334,37.49718729654948,27.849810282389324,-1.1333333173814548e+38,Pardofelis_marmorata
34,34,515.7134573001899,26.002294080010778,735.1084994612069,29.003255909886853,24.780984812769397,1045258794871.4667,Pardofelis_marmorata
