,grid_index,area,annual_mean_temp,prec_warmest_quarter,temp_seasonality,prec_seasonality,npp,binomial
0,0,1931.890549901355,22.755044555664064,600.260205078125,436.68125,62.27864990234375,-inf,Podomys_floridanus
1,1,476.27985655618374,22.557347615559895,523.0198160807291,419.7601318359375,60.64099629720052,589358694400.0,Podomys_floridanus
2,2,112.99990592318242,22.54950205485026,546.5501708984375,472.6266276041667,51.701904296875,-1.1333333173814548e+38,Podomys_floridanus
3,3,7521.170708362233,22.35454497466216,564.7776076858108,461.1002956081081,54.434058936866556,-1.5454545237019837e+37,Podomys_floridanus
4,4,3053.317774696743,22.322822902513586,524.3815387228261,444.7908882472826,53.65571925951087,497259275878.4,Podomys_floridanus
5,5,86.42479511310188,20.716371536254883,631.5784301757812,539.5526123046875,49.927494049072266,632934498304.0,Podomys_floridanus
6,6,8686.417354504745,21.340528700086807,551.3643663194445,501.01416015625,46.503991021050346,569953799372.8,Podomys_floridanus
7,7,5199.074327547833,21.622147042410713,523.6065848214286,475.22912946428573,46.615283203125,-inf,Podomys_floridanus
9,9,362.2043573976269,20.243129564368207,594.5353685461956,576.9116423233696,43.82970129925272,-inf,Podomys_floridanus
10,10,4465.544796156741,20.451229319852942,551.7765969669117,547.4663947610294,43.56930362477022,602496923971.3684,Podomys_floridanus
11,11,8853.45699397292,20.830730438232422,494.6868591308594,516.899169921875,40.630104064941406,-inf,Podomys_floridanus
