,grid_index,area,annual_mean_temp,prec_warmest_quarter,temp_seasonality,prec_seasonality,npp,binomial
2,2,7465.156848921725,16.497607421875,278.5078857421875,331.086376953125,57.33404541015625,-2.1249999700902277e+37,Pronolagus_crassicaudatus
3,3,1081.232522871167,-8.71794859524196e+36,-8.71794859524196e+36,-8.71794859524196e+36,-8.71794859524196e+36,-inf,Pronolagus_crassicaudatus
4,4,8870.813246662205,19.037559509277344,371.816259765625,227.566357421875,44.1099853515625,-inf,Pronolagus_crassicaudatus
5,5,8516.614105721988,13.262625558035714,309.37367466517856,425.74843052455356,60.508762904575896,399562244096.0,Pronolagus_crassicaudatus
6,6,912.4421178533569,15.879312569754465,345.6594029017857,356.49623325892856,63.623011997767854,470146316151.4667,Pronolagus_crassicaudatus
7,7,6976.754715263344,17.909818649291992,369.5119323730469,270.1865234375,52.15798568725586,-inf,Pronolagus_crassicaudatus
8,8,10000.0,20.556807200113933,370.44140625,234.13260904947916,42.50316874186198,-inf,Pronolagus_crassicaudatus
9,9,8621.901905720837,12.316895984468006,295.31375558035717,445.4593563988095,58.356608072916664,314880229376.0,Pronolagus_crassicaudatus
10,10,484.0710707403062,12.839561825706845,350.4179222470238,393.74590773809524,67.74011811755952,394794980693.3333,Pronolagus_crassicaudatus
11,11,3359.2499221414123,15.766377766927084,410.3723958333333,335.10370163690476,66.9050060453869,-1.699999976072182e+37,Pronolagus_crassicaudatus
12,12,10000.0,19.352857317243302,369.3842075892857,284.31326729910717,50.68521990094866,-inf,Pronolagus_crassicaudatus
13,13,10000.0,10.23267059326172,319.340234375,442.502197265625,59.014251708984375,342350528512.0,Pronolagus_crassicaudatus
14,14,5114.828258359522,10.406386155348558,371.76710236378204,395.6153094951923,65.99758989383012,384549209553.4545,Pronolagus_crassicaudatus
15,15,207.52630131273605,15.375200544084821,413.3432849702381,368.2329799107143,71.86348470052083,545354258841.6,Pronolagus_crassicaudatus
16,16,8847.437583076977,18.155876345750762,371.9106564405488,317.2644102515244,59.178609708460364,-inf,Pronolagus_crassicaudatus
17,17,10000.0,20.577199835526315,388.0659436677632,271.6357935855263,42.6299406352796,-inf,Pronolagus_crassicaudatus
18,18,9590.26172142505,14.103942023383247,372.50029839409723,396.55205620659723,70.98478190104167,443809751670.1539,Pronolagus_crassicaudatus
19,19,2369.302081579929,16.59599609375,373.8078683035714,389.42739955357143,71.46395786830357,480454272614.4,Pronolagus_crassicaudatus
20,20,3393.8852356419347,17.532278878348215,370.29723772321427,318.38677455357146,66.027001953125,509446088294.4,Pronolagus_crassicaudatus
21,21,9999.946433429606,20.492757161458332,381.93021334134613,259.4254807692308,47.43230731670673,-inf,Pronolagus_crassicaudatus
22,22,10000.0,15.034625053405762,367.1678466796875,383.8604736328125,74.10301971435547,474761713556.2105,Pronolagus_crassicaudatus
23,23,9685.988974993803,17.078318277994793,392.83031063988096,314.44354538690476,71.00641159784226,537778014126.08,Pronolagus_crassicaudatus
24,24,5904.061280022352,20.896883646647137,322.4529215494792,281.8609212239583,60.444091796875,-inf,Pronolagus_crassicaudatus
25,25,10000.0,15.016054153442383,375.3255310058594,364.509521484375,74.86567687988281,492152094720.0,Pronolagus_crassicaudatus
26,26,10000.0,17.607784016927084,456.7845052083333,297.20966796875,73.05286458333333,532160970752.0,Pronolagus_crassicaudatus
27,27,200.01906674926184,21.537208557128906,369.05908203125,282.57004801432294,71.3324686686198,516108006195.2,Pronolagus_crassicaudatus
