,grid_index,area,annual_mean_temp,prec_warmest_quarter,temp_seasonality,prec_seasonality,npp,binomial
1,1,1905.6501443070297,-1.0303030158013225e+37,-1.0303030158013225e+37,-1.0303030158013225e+37,-1.0303030158013225e+37,-inf,Raphicerus_campestris
2,2,7721.560832503258,17.33864542643229,75.04552408854167,364.32252604166666,27.246968587239582,-inf,Raphicerus_campestris
3,3,6700.884110098472,17.04716618855794,93.56494140625,327.2113037109375,16.822792053222656,-inf,Raphicerus_campestris
4,4,4931.61173008841,16.538893479567307,136.9427490234375,277.06221829927887,17.77007587139423,-inf,Raphicerus_campestris
5,5,1677.1142754394202,16.240460713704426,172.3397013346354,288.85813395182294,18.423107147216797,-inf,Raphicerus_campestris
6,6,1471.316000293002,16.96068631685697,151.08751502403845,275.7426006610577,17.804354154146633,-inf,Raphicerus_campestris
7,7,2162.5034711046187,-4.857142788777664e+37,-4.857142788777664e+37,-4.857142788777664e+37,-4.857142788777664e+37,-inf,Raphicerus_campestris
8,8,579.9406634367034,-8.499999880360911e+37,-8.499999880360911e+37,-8.499999880360911e+37,-8.499999880360911e+37,180862124032.0,Raphicerus_campestris
9,9,50.53820188616419,17.344089283662683,41.518242331112134,362.8765222886029,65.5161994485294,-1.999999971849626e+37,Raphicerus_campestris
10,10,7246.3077498257335,15.78285144624256,55.073038736979164,430.87081473214283,50.44972446986607,261336570265.6,Raphicerus_campestris
11,11,10000.0,16.412840343656995,54.082310267857146,466.7734840029762,27.245361328125,131024224256.0,Raphicerus_campestris
12,12,10000.0,16.636109670003254,71.89966328938802,425.0135091145833,20.694393157958984,151064128170.66666,Raphicerus_campestris
13,13,10000.0,15.762132917131696,103.97705078125,396.8729538690476,22.763860793340776,247271810662.4,Raphicerus_campestris
14,14,10000.0,15.963528587704612,132.4733654203869,402.48521205357144,25.27532958984375,274902312550.4,Raphicerus_campestris
15,15,10000.0,17.375903901599703,123.6201171875,392.6263950892857,24.196262904575892,296928595148.8,Raphicerus_campestris
16,16,10000.0,17.56932341746795,133.85329026442307,343.51021634615387,25.762776692708332,-inf,Raphicerus_campestris
17,17,9043.28188476737,17.68788709138569,179.23862818667763,288.4306383634868,29.661216334292764,376059082979.55554,Raphicerus_campestris
18,18,3089.412834169734,-8.499999880360911e+37,-8.499999880360911e+37,-8.499999880360911e+37,-8.499999880360911e+37,146181537792.0,Raphicerus_campestris
19,19,159.25346354800578,17.79922664866728,25.591129078584558,387.53532858455884,64.64220473345588,190529812707.55554,Raphicerus_campestris
20,20,7349.738574992828,17.286109561011905,30.739295596168155,481.271484375,53.05898902529762,139320793497.6,Raphicerus_campestris
21,21,10000.0,15.142101469494047,45.40186709449405,514.6322544642857,29.946527390252974,88588373196.8,Raphicerus_campestris
22,22,10000.0,15.611509958902994,60.647705078125,510.0150960286458,37.946006774902344,62370032298.666664,Raphicerus_campestris
23,23,10000.0,16.247243245442707,80.97033110119048,481.5387369791667,42.153709774925595,71088059187.2,Raphicerus_campestris
24,24,10000.0,16.234225318545388,100.30032784598214,482.36635044642856,42.61251976376488,118531476684.8,Raphicerus_campestris
25,25,10000.0,16.487476167224703,123.80698939732143,450.99688430059524,43.134759812127974,162009736806.4,Raphicerus_campestris
26,26,10000.0,15.709065755208334,167.35863095238096,414.6155598958333,45.92869349888393,248372396032.0,Raphicerus_campestris
27,27,10000.0,15.427244822184244,213.2588094075521,368.1518147786458,48.34637451171875,340491851093.3333,Raphicerus_campestris
28,28,4306.065008415355,17.69814682006836,13.032004356384277,304.51727294921875,66.51900482177734,89200771072.0,Raphicerus_campestris
29,29,328.8194233400458,18.364391326904297,17.22782325744629,384.2032775878906,64.91085052490234,113558535479.65218,Raphicerus_campestris
30,30,8541.92414135781,17.10393589564732,30.19348842075893,474.620703125,45.63860909598214,107989549711.36,Raphicerus_campestris
31,31,10000.0,15.723611886160715,46.92524762834822,538.0973214285714,30.625181361607144,69489682022.4,Raphicerus_campestris
32,32,10000.0,15.49366455078125,68.09331665039062,557.4267578125,49.3681640625,66695685734.4,Raphicerus_campestris
33,33,10000.0,14.65230189732143,91.31800362723214,544.2333147321428,54.07338518415179,83387681341.44,Raphicerus_campestris
34,34,10000.0,14.45473894391741,111.302685546875,559.4917410714286,52.8826171875,106749986078.72,Raphicerus_campestris
35,35,10000.0,13.959540666852678,145.87599051339285,536.7085379464286,54.21496233258929,147501896171.52,Raphicerus_campestris
36,36,10000.0,14.92655552455357,180.16547154017857,495.6195870535714,53.913950892857144,167193545277.44,Raphicerus_campestris
37,37,10000.0,13.781141198199728,221.92459239130434,472.9784731657609,54.88462763247283,251123142415.05884,Raphicerus_campestris
38,38,4734.509164882849,17.59995361328125,14.57830078125,311.6962109375,60.411787109375,-2.6153845785725877e+37,Raphicerus_campestris
