,grid_index,area,annual_mean_temp,prec_warmest_quarter,temp_seasonality,prec_seasonality,npp,binomial
2,2,4665.8616712808225,15.1550634765625,65.117939453125,405.73203125,54.915830078125,312422775571.6923,Sorex_granarius
3,3,153.32434378539503,14.084558557581019,82.99350766782408,495.59617332175924,56.57921911168982,364990541608.4211,Sorex_granarius
4,4,3969.270745036669,13.490828664679276,63.22694156044408,563.8850740131579,55.44253058182566,304643724629.3333,Sorex_granarius
5,5,4648.6169458966,12.233903967815897,63.90321416440217,607.1875,48.23094641644022,340771366502.4,Sorex_granarius
6,6,2485.381338278826,11.486310875934103,66.54695991847827,641.5909901494565,37.30602496603261,289042938643.6923,Sorex_granarius
7,7,4381.812735952046,11.724839952256945,68.20901150173611,666.5187717013889,36.06330362955729,284249074346.6667,Sorex_granarius
8,8,4358.436499781344,14.090689086914063,114.1017333984375,391.3969970703125,53.81468505859375,341109932032.0,Sorex_granarius
9,9,921.7631126856618,12.70060560438368,110.48188612196181,476.4729817708333,53.74671088324653,372321798682.9474,Sorex_granarius
10,10,2598.5566695146317,12.339055841619318,104.12919477982955,540.8241299715909,51.38729580965909,291509341752.8889,Sorex_granarius
11,11,8080.911169188031,11.62902577718099,70.85764567057292,614.7464192708334,47.48150126139323,299970243242.6667,Sorex_granarius
12,12,1042.2953908753316,10.4449462890625,77.86701965332031,656.708740234375,32.47230911254883,264553857024.0,Sorex_granarius
13,13,61.73472993763286,10.54420869246773,74.78894573709239,662.7690641983696,34.09067966627038,276037260629.3333,Sorex_granarius
14,14,135.57210271984576,13.536707339079484,162.38573157269022,398.90850033967394,48.62977666440217,391430484787.2,Sorex_granarius
15,15,3759.454366103827,11.933927536010742,159.8753204345703,491.438720703125,48.174415588378906,442761897574.4,Sorex_granarius
16,16,3953.4392356287854,10.389777735659951,121.6578433388158,571.5880962171053,46.26620965254934,361637587626.6667,Sorex_granarius
