,grid_index,area,annual_mean_temp,prec_warmest_quarter,temp_seasonality,prec_seasonality,npp,binomial
1,1,522.7237074530517,16.925695419311523,370.6463623046875,388.13604736328125,71.16779327392578,479049064879.1579,Steatomys_pratensis
2,2,7049.95273339773,17.51113552517361,369.13872612847223,322.93353949652777,66.41463216145833,495890290005.3333,Steatomys_pratensis
3,3,8262.856031334364,19.763777883429277,365.7487150493421,253.65098170230263,54.941843133223685,-3.777777724604849e+37,Steatomys_pratensis
4,4,2417.0244939459026,16.054418563842773,46.495208740234375,398.95440673828125,76.86749267578125,42250924032.0,Steatomys_pratensis
5,5,10.857089871304217,18.843257359095983,40.09690638950893,435.54551478794644,84.06165422712054,37910550937.6,Steatomys_pratensis
6,6,1280.541561035695,17.153181711832683,277.84930419921875,514.16748046875,73.17110697428386,236117360640.0,Steatomys_pratensis
7,7,191.65742053014094,17.151373821756113,262.8526664402174,491.2165421195652,70.21604853091033,253080495373.4737,Steatomys_pratensis
8,8,9471.354899043155,16.189398447672527,286.54799397786456,479.65478515625,71.30045572916667,272670279972.57144,Steatomys_pratensis
9,9,4235.998322271422,15.070601179793075,361.16773120777026,391.2207295185811,74.39856286951013,457617689114.9474,Steatomys_pratensis
10,10,8093.024657095827,17.078318277994793,392.83031063988096,314.44354538690476,71.00641159784226,537686284697.6,Steatomys_pratensis
11,11,10000.0,20.896883646647137,322.4529215494792,281.8609212239583,60.444091796875,-inf,Steatomys_pratensis
12,12,9996.718673204738,22.211541748046876,336.22291666666666,273.53333333333336,51.848490397135414,-inf,Steatomys_pratensis
13,13,2623.9440600341522,15.745075988769532,57.56748046875,408.87353515625,88.17020263671876,50323558400.0,Steatomys_pratensis
14,14,2073.6810912026594,18.600935872395834,55.400309244791664,448.0517578125,95.843603515625,48440864768.0,Steatomys_pratensis
15,15,7089.656388589685,17.052471584743923,299.65809461805554,472.25444878472223,78.86421034071181,256674084571.42856,Steatomys_pratensis
16,16,1793.3291537859204,16.792312622070312,301.7331298828125,462.416845703125,76.595263671875,288262140723.2,Steatomys_pratensis
17,17,10000.0,16.066109793526785,311.17474888392854,455.8308872767857,75.41236746651786,304147726336.0,Steatomys_pratensis
18,18,9825.443856683602,15.339562200730846,319.4147240423387,404.9279548891129,76.36653383316532,358829575372.8,Steatomys_pratensis
19,19,7709.470140685568,14.65456019810268,342.22823660714283,382.03208705357144,76.92710658482143,418558351769.6,Steatomys_pratensis
20,20,9997.616871779499,16.997415597098215,446.89810267857143,303.6493861607143,73.04603794642857,531305123020.8,Steatomys_pratensis
21,21,10000.0,21.478189086914064,366.22978515625,282.764599609375,70.64373779296875,519120040755.2,Steatomys_pratensis
22,22,10000.0,21.994892793543197,351.5406135110294,250.34133731617646,58.89090504365809,-inf,Steatomys_pratensis
23,23,4423.656089474874,15.669708251953125,79.49028015136719,418.9388427734375,104.59259796142578,72120799817.14285,Steatomys_pratensis
24,24,3417.8966831634884,18.4391720793968,91.15762400072674,470.7501816860465,108.25213481104652,69887932326.95653,Steatomys_pratensis
25,25,9233.165892661067,17.764225006103516,290.3815511067708,462.4012044270833,80.70584106445312,258974941184.0,Steatomys_pratensis
26,26,2108.620082011099,17.722545623779297,318.8036295572917,446.5978190104167,79.65355936686198,281055739248.64,Steatomys_pratensis
27,27,10000.0,17.829749697730655,325.1136067708333,424.4999534970238,79.03193591889881,297795332341.76,Steatomys_pratensis
28,28,10000.0,17.214710053943453,322.2161458333333,370.2651134672619,80.31499953497024,342575161890.13336,Steatomys_pratensis
29,29,10000.0,15.708362397693453,359.26332310267856,344.6890345982143,78.96380324590774,418892396625.92,Steatomys_pratensis
30,30,10000.0,17.660624186197918,436.81375558035717,312.8062220982143,75.37186686197917,566139478343.68,Steatomys_pratensis
31,31,10000.0,21.891337076822918,361.0753173828125,290.34865315755206,74.64420572916667,467131967733.76,Steatomys_pratensis
32,32,10000.0,22.77738037109375,379.869609375,254.49923828125,62.8973388671875,-inf,Steatomys_pratensis
33,33,3684.0454588007256,15.980108087713068,87.08275257457386,398.8798828125,113.98033558238636,64039092224.0,Steatomys_pratensis
34,34,5030.694564761933,18.931822458902996,109.0494893391927,471.9301350911458,115.2377217610677,77853327360.0,Steatomys_pratensis
35,35,9997.014392347273,20.287680886008523,130.9862060546875,494.88858309659093,111.03892933238636,76342640640.0,Steatomys_pratensis
36,36,1224.642849298455,20.220516204833984,258.23915608723956,473.5393473307292,83.10284423828125,224953761792.0,Steatomys_pratensis
37,37,1652.6462404631575,20.222872416178387,297.42392985026044,481.209716796875,81.93726603190105,251718480691.2,Steatomys_pratensis
38,38,10000.0,19.097249348958332,316.12193080357144,456.3304966517857,82.5588611421131,295288229068.8,Steatomys_pratensis
39,39,10000.0,19.250233968098957,293.68340773809524,409.25995163690476,84.00923665364583,304577008981.3333,Steatomys_pratensis
40,40,10000.0,18.409162248883927,346.2421642485119,374.5406901041667,80.58250790550595,339882672128.0,Steatomys_pratensis
41,41,10000.0,19.040235246930802,411.19656808035717,320.9016927083333,78.31178501674107,473498491289.6,Steatomys_pratensis
42,42,10000.0,22.12299092610677,327.83994547526044,315.2170003255208,74.14546712239583,363372530892.8,Steatomys_pratensis
43,43,10000.0,23.268512544177828,381.57105654761904,285.66871279761904,63.792928059895836,-inf,Steatomys_pratensis
