,grid_index,area,annual_mean_temp,prec_warmest_quarter,temp_seasonality,prec_seasonality,npp,binomial
1,1,388.4715377703139,26.876296997070312,348.04619140625,88.73988037109375,116.18992919921875,-inf,Taphozous_achates
2,2,2029.0249995602192,26.115393502371653,450.00913783482144,101.95298549107143,112.76138741629464,-inf,Taphozous_achates
3,3,726.8633824491832,26.25264892578125,369.6410400390625,78.09609985351562,110.82060546875,-inf,Taphozous_achates
4,4,576.7665011220408,24.770787289268092,489.4712171052632,106.41251413445724,95.71253726356908,-inf,Taphozous_achates
5,5,8978.058793884915,25.3141357421875,558.601708984375,123.4135986328125,70.69134521484375,-inf,Taphozous_achates
6,6,1287.0074608720024,25.912307739257812,523.5016479492188,59.99673843383789,57.20001983642578,-inf,Taphozous_achates
8,8,202.83180125693457,24.213974896599264,622.6570542279412,107.873779296875,71.23701746323529,-inf,Taphozous_achates
9,9,1364.957631477789,24.99383762904576,518.1964983258929,115.9619140625,66.61400495256696,-inf,Taphozous_achates
10,10,7465.5305366207995,25.28412628173828,416.820556640625,118.6722412109375,65.32342020670573,-inf,Taphozous_achates
11,11,5010.013213414048,25.41591796875,467.97763671875,87.7363037109375,70.5935546875,-6.799999904288728e+37,Taphozous_achates
12,12,430.1427100878559,25.333297729492188,388.0415283203125,96.21597290039062,65.55761108398437,-inf,Taphozous_achates
13,13,73.82987932704727,25.72493896484375,390.4176513671875,106.83026123046875,66.1001708984375,-inf,Taphozous_achates
14,14,2513.2329144186306,26.05130386352539,730.1862182617188,93.41970825195312,73.63175964355469,-inf,Taphozous_achates
15,15,1071.3955435343903,27.1683349609375,554.929296875,87.05098266601563,64.57317504882812,-inf,Taphozous_achates
16,16,626.8773838791907,24.924100603376115,346.1015625,92.67231968470982,62.436497279575896,-inf,Taphozous_achates
17,17,745.2740897234888,27.11577084189967,519.7575041118421,80.87210886101974,67.72606136924342,-inf,Taphozous_achates
18,18,1228.847409180437,26.75031026204427,648.3336588541666,63.4303944905599,52.59886678059896,-inf,Taphozous_achates
