,grid_index,area,annual_mean_temp,prec_warmest_quarter,temp_seasonality,prec_seasonality,npp,binomial
0,0,65.27751380849907,22.566116333007812,396.54095458984375,381.46405029296875,64.68366241455078,374620553216.0,Taphozous_australis
1,1,1990.2614349213848,22.48331069946289,457.4521179199219,368.970458984375,62.15547180175781,470451534382.5455,Taphozous_australis
2,2,1402.9773034783782,22.56312997000558,504.8672572544643,365.25254603794644,70.11525617327008,-4.857142788777664e+37,Taphozous_australis
3,3,2022.3852846508057,23.05958455403646,486.55589192708334,337.7249348958333,66.41185709635417,-inf,Taphozous_australis
4,4,1986.977329346954,22.75154529918324,756.9309303977273,341.90458540482956,80.1721024946733,-inf,Taphozous_australis
5,5,45.0918157047588,-2.833333293453637e+37,-2.833333293453637e+37,-2.833333293453637e+37,-2.833333293453637e+37,-inf,Taphozous_australis
6,6,1472.4235021490088,23.319970703125,702.5539713541667,334.42210286458334,87.61280924479166,-3.399999952144364e+37,Taphozous_australis
7,7,1439.9290513043102,-1.6190475962592211e+37,-1.6190475962592211e+37,-1.6190475962592211e+37,-1.6190475962592211e+37,-inf,Taphozous_australis
8,8,0.15099084235734492,23.7275447845459,854.9194946289062,284.29034423828125,67.86368560791016,-3.3999999521443642e+38,Taphozous_australis
9,9,46.76479838948442,22.608604431152344,772.1094970703125,324.640869140625,93.15019226074219,568886558720.0,Taphozous_australis
10,10,2591.3160380193403,23.65144107216283,632.3464226973684,322.16578433388156,93.74335038034539,-inf,Taphozous_australis
11,11,1110.4146871435694,23.812428792317707,572.1622395833333,325.51158854166664,91.251806640625,-inf,Taphozous_australis
12,12,2231.683987913916,23.03000047471788,918.1334635416666,307.9375,89.43613009982639,-inf,Taphozous_australis
13,13,179.42635193337577,23.65426254272461,841.279052734375,300.52764892578125,96.5435791015625,-inf,Taphozous_australis
14,14,1634.095864596556,23.480443318684895,1097.9121907552083,281.66017659505206,81.84652201334636,-inf,Taphozous_australis
15,15,22.023307762841227,22.506303787231445,924.7808837890625,259.54833984375,91.2702865600586,682291931818.6666,Taphozous_australis
16,16,2100.913817468918,23.155332677504596,1104.3432904411766,258.4846622242647,84.12642176011029,-inf,Taphozous_australis
17,17,1342.6244981504615,23.12754266912287,1000.2041015625,240.47025923295453,85.33098255504261,-inf,Taphozous_australis
18,18,156.69821912926722,23.27984619140625,972.97080078125,243.6454833984375,85.94124755859374,-inf,Taphozous_australis
19,19,1175.4485411275587,24.974205864800346,904.4125434027778,212.90638563368054,97.17683919270833,-inf,Taphozous_australis
20,20,1515.0707510665302,26.23490251813616,569.027099609375,203.69234793526786,114.04359654017857,410293333430.8571,Taphozous_australis
21,21,2093.4999144977683,25.809814453125,773.2535807291666,198.92839898003473,103.33289930555556,-inf,Taphozous_australis
22,22,1399.3547582178421,25.869783528645833,653.8731770833333,197.25608723958334,109.77109375,-2.833333293453637e+37,Taphozous_australis
23,23,117.37125575084923,25.82455825805664,775.6664428710938,191.09866333007812,108.77119445800781,-8.499999880360911e+37,Taphozous_australis
24,24,982.9794633535637,25.469334528996395,679.3647836538462,177.00471379206732,97.84427584134616,715842999637.3334,Taphozous_australis
25,25,921.0185341043771,25.715267181396484,679.9906005859375,179.27430725097656,98.33528900146484,-inf,Taphozous_australis
26,26,2360.7863133827623,25.93433952331543,674.7722778320312,158.7406005859375,103.00444030761719,-inf,Taphozous_australis
27,27,15.95943291255151,25.758270263671875,674.9284057617188,164.50535583496094,96.18378448486328,172059295744.0,Taphozous_australis
28,28,838.8046349591184,26.523007202148438,679.866748046875,125.2347900390625,116.39158935546875,-inf,Taphozous_australis
29,29,1725.7040947225025,26.213422502790177,688.0009765625,131.58619907924108,107.37705775669643,-inf,Taphozous_australis
30,30,676.363658050982,26.780197143554688,671.673583984375,113.34505462646484,111.69464111328125,-inf,Taphozous_australis
31,31,1007.4059523052697,26.678369140625,701.205810546875,119.15843505859375,107.2230224609375,-inf,Taphozous_australis
32,32,170.74791639369252,26.985254923502605,669.7523193359375,106.47733561197917,101.24326578776042,-inf,Taphozous_australis
33,33,4.861776897402522,26.71460723876953,511.5601806640625,71.5313491821289,54.44306182861328,-3.3999999521443642e+38,Taphozous_australis
34,34,11.27601928885377,26.71460723876953,511.5601806640625,71.5313491821289,54.44306182861328,-3.3999999521443642e+38,Taphozous_australis
