,grid_index,area,annual_mean_temp,prec_warmest_quarter,temp_seasonality,prec_seasonality,npp,binomial
2,2,579.3423978931991,19.846492991727942,251.27923943014707,543.3226677389706,50.30401252297794,268557638935.27274,Taphozous_troughtoni
3,3,4257.445577169691,19.069844563802082,278.6683407738095,523.5103236607143,51.321533203125,318468700241.92,Taphozous_troughtoni
4,4,8168.801431389758,20.250583814538043,281.5798233695652,499.1340013586956,48.48501188858695,366715925954.56,Taphozous_troughtoni
5,5,9999.15470814117,20.664548931699812,270.4354285037879,472.3812440814394,48.21764026988637,331291112243.2,Taphozous_troughtoni
6,6,9876.533399423399,19.879959769870926,320.7530570652174,432.71883491847825,49.56260614809783,524734631695.05884,Taphozous_troughtoni
7,7,7994.737129738624,23.792891068892047,201.4056063565341,578.71875,77.30288418856534,64888299520.0,Taphozous_troughtoni
8,8,4869.3435757112975,23.5539155847886,197.5682875689338,566.3671875,65.58732335707721,73283850962.82353,Taphozous_troughtoni
9,9,1341.1621749354204,23.04764910442073,210.31747808689025,550.8912919207318,57.90894150152439,89608126464.0,Taphozous_troughtoni
10,10,6312.017666728901,21.80330839611235,226.2402576264881,534.1982886904761,53.324550083705354,168091320320.0,Taphozous_troughtoni
11,11,9687.780511045381,21.03412591843378,260.41224888392856,516.240001860119,54.229364304315474,234565088051.2,Taphozous_troughtoni
12,12,10000.0,21.63028535388765,289.12232607886904,490.5820777529762,55.076543898809526,251958080307.2,Taphozous_troughtoni
13,13,10000.0,21.6980717976888,285.1426188151042,467.1659749348958,52.88567097981771,341711178956.8,Taphozous_troughtoni
14,14,10000.0,21.634181431361608,302.15883091517856,437.2281901041667,52.732991536458336,347006487756.8,Taphozous_troughtoni
15,15,10000.0,21.044146563555742,381.68493982263516,388.4047983530405,53.880443676097975,458892771328.0,Taphozous_troughtoni
16,16,10000.0,24.652244931175595,182.0415271577381,564.7259114583334,82.634033203125,55456867048.72727,Taphozous_troughtoni
17,17,8398.272276579206,24.012728063071645,198.9934022484756,559.5501143292682,79.13981516768293,68076922470.4,Taphozous_troughtoni
18,18,3187.3740167156066,23.814860026041668,206.2498779296875,548.0226643880209,70.84702555338542,87411923353.6,Taphozous_troughtoni
19,19,9567.838372554326,23.488513764880953,212.9936988467262,526.5948660714286,64.07620093936012,103808591462.4,Taphozous_troughtoni
20,20,10000.0,22.483128138950892,243.30510602678572,512.0827287946429,60.488897414434526,177715434837.33334,Taphozous_troughtoni
21,21,10000.0,22.025333949497767,272.49232700892856,492.5653831845238,59.236979166666664,252881797120.0,Taphozous_troughtoni
22,22,10000.0,22.458609444754465,292.10328311011904,466.9360119047619,58.027134486607146,278370661171.2,Taphozous_troughtoni
23,23,10000.0,22.642781575520832,300.8751627604167,428.4768473307292,57.5343983968099,313661639884.8,Taphozous_troughtoni
24,24,10000.0,22.305568150111608,393.1812686011905,393.3306361607143,59.956903366815474,430866432000.0,Taphozous_troughtoni
25,25,10000.0,22.264180501302082,450.5540364583333,361.90859375,58.375447591145836,-inf,Taphozous_troughtoni
26,26,9983.735682619488,24.58710359272204,193.64706260279604,556.3311060855264,88.02231959292763,68886534553.6,Taphozous_troughtoni
27,27,1742.1508190658221,24.703923688616072,209.546875,547.352734375,88.580615234375,64733583769.6,Taphozous_troughtoni
28,28,3397.6124991504175,24.575711495535714,229.47156808035714,535.3722098214286,86.25004185267858,78592868352.0,Taphozous_troughtoni
29,29,9874.289462307694,24.023347473144533,228.7830078125,526.352783203125,78.25802612304688,101256757248.0,Taphozous_troughtoni
30,30,10000.0,23.82650146484375,237.05984933035714,507.86099330357143,72.11798967633929,101858128691.2,Taphozous_troughtoni
31,31,10000.0,23.02349155970982,267.2519810267857,491.90496651785713,68.14748186383929,173455769600.0,Taphozous_troughtoni
32,32,10000.0,22.826686314174108,287.17374441964284,471.833203125,65.43048270089285,253803338137.6,Taphozous_troughtoni
