,grid_index,area,annual_mean_temp,prec_warmest_quarter,temp_seasonality,prec_seasonality,npp,binomial
1,1,750.9723993890292,26.119821947674417,675.1308139534884,62.07327625363372,46.06642328306686,-inf,Tatera_indica
2,2,8752.528782243553,-2.1249999700902277e+37,-2.1249999700902277e+37,-2.1249999700902277e+37,-2.1249999700902277e+37,-inf,Tatera_indica
3,3,3049.6477005881634,27.328290666852677,724.2405831473214,73.52078683035714,54.19066946847098,617665331200.0,Tatera_indica
4,4,2499.714031228957,24.903951009114582,567.7687581380209,87.05482991536458,51.53314208984375,663830187212.8,Tatera_indica
5,5,10000.0,27.062935384114585,130.506982421875,120.78308919270833,78.15186360677083,-inf,Tatera_indica
6,6,6830.583257527031,28.039407348632814,228.07587890625,108.7934326171875,70.82633666992187,-inf,Tatera_indica
7,7,1206.09873960697,27.566457112630207,366.28623046875,110.77852376302083,73.3619873046875,-2.6153845785725877e+37,Tatera_indica
8,8,3102.845028660437,27.15345153808594,281.046875,127.4011474609375,70.56443481445312,-1.3599999808577457e+37,Tatera_indica
9,9,10000.0,27.85853666417739,136.2876407398897,147.97170840992646,82.30284926470588,-inf,Tatera_indica
10,10,4358.796556262937,27.156199735753678,414.45344094669116,92.94582232306985,67.05148494944854,285280334279.1111,Tatera_indica
11,11,2427.4135779330522,-8.095237981296106e+36,-8.095237981296106e+36,-8.095237981296106e+36,-8.095237981296106e+36,-inf,Tatera_indica
12,12,9896.272733320302,29.300213623046876,92.65458984375,174.38641357421875,120.625341796875,-inf,Tatera_indica
13,13,1176.1113019509392,27.685638427734375,200.295654296875,139.58861365685095,91.61206993689903,-4.2499999401804553e+37,Tatera_indica
14,14,1779.0341791239725,27.576920572916666,167.88148871527778,158.34407552083334,83.71729600694445,-inf,Tatera_indica
15,15,9519.816298334728,28.146030970982142,129.94803292410714,161.68748256138392,86.92243303571429,-inf,Tatera_indica
16,16,757.9044242035412,26.429559881036933,462.6345880681818,102.83042584043561,78.95475260416667,432527396548.9231,Tatera_indica
17,17,6279.7769437243405,26.603884742373513,212.87465122767858,159.13646298363096,71.34862699962798,360799229269.3333,Tatera_indica
18,18,10000.0,29.17214891387195,121.82194407393293,204.5108136432927,86.0763624237805,-inf,Tatera_indica
19,19,8447.888319722178,28.3768793741862,122.06483968098958,173.76171875,103.13636271158855,-inf,Tatera_indica
20,20,562.0503633404085,27.86802927652995,127.88672892252605,167.41596476236978,104.258056640625,-inf,Tatera_indica
21,21,4395.358797439749,25.65153772690717,374.7714269301471,124.936767578125,91.7325080422794,437785506996.7059,Tatera_indica
22,22,8395.730242483947,25.146806989397323,184.83833705357142,168.32435825892858,72.642333984375,363022035626.6667,Tatera_indica
23,23,10000.0,28.372262137276785,147.92672991071427,219.9958705357143,72.31565987723214,-inf,Tatera_indica
24,24,10000.0,28.58841219815341,127.92311789772727,223.3993252840909,87.36141135475852,-inf,Tatera_indica
25,25,4450.106439614104,27.136459350585938,358.6741455078125,134.64881591796876,112.14342041015625,323671923097.6,Tatera_indica
26,26,1288.9054207988443,25.128506978352863,278.02003987630206,143.259521484375,95.63330078125,444671406899.2,Tatera_indica
27,27,9999.945822927015,27.474004836309526,139.09298270089286,182.33349609375,81.77802385602679,276438319104.0,Tatera_indica
28,28,10000.0,28.278512137276785,141.7370140438988,225.36535063244048,77.31656901041667,273561629491.2,Tatera_indica
29,29,10000.0,28.497331407335068,135.05303276909723,242.52457682291666,89.48883056640625,-inf,Tatera_indica
30,30,7513.635060298625,25.556122956452548,335.6207682291667,137.2755985966435,126.42721896701389,-inf,Tatera_indica
31,31,5801.80791405536,23.215652465820312,230.859619140625,161.43419392903647,98.075927734375,404308172472.32,Tatera_indica
32,32,10000.0,25.68229747953869,172.64587983630952,197.98111979166666,82.83397856212798,337121308398.93335,Tatera_indica
33,33,10000.0,27.10968017578125,164.48937406994048,237.49376860119048,77.12666829427083,318091967856.64,Tatera_indica
34,34,10000.0,28.424825032552082,125.75033908420139,255.30650499131946,87.77412923177083,-inf,Tatera_indica
35,35,7446.798720541115,27.12890625,252.03004455566406,129.2449493408203,124.82998657226562,359332446208.0,Tatera_indica
36,36,496.2069179618106,24.959727567784928,277.36038028492646,143.54770795036765,131.11509076286765,-1.699999976072182e+37,Tatera_indica
37,37,9661.280437082958,23.763671875,178.4680419921875,186.222705078125,94.91932373046875,291289091276.8,Tatera_indica
38,38,10000.0,24.626780482700894,150.94525669642857,214.17513950892857,86.99227818080357,267782542677.33334,Tatera_indica
39,39,10000.0,26.03489292689732,157.22004743303572,253.89372209821428,79.81785714285714,302448325427.2,Tatera_indica
40,40,10000.0,28.150980050223215,135.80125558035715,274.5171875,83.75601981026786,-inf,Tatera_indica
41,41,9929.876438242176,28.52804904513889,108.28521050347223,266.21172417534723,96.17829047309027,-inf,Tatera_indica
42,42,920.8520079925052,26.750767299107142,215.45656040736608,134.05634416852678,138.18732561383928,334692679680.0,Tatera_indica
43,43,2323.991853111195,24.02958751860119,201.9535900297619,164.4944080171131,131.02422805059524,412280029184.0,Tatera_indica
44,44,10000.0,24.307533264160156,121.0272725423177,207.96341959635416,93.49381510416667,205320421376.0,Tatera_indica
45,45,10000.0,24.611714680989582,107.97486514136905,237.29464285714286,90.1707763671875,187584653994.66666,Tatera_indica
46,46,10000.0,25.569283621651785,125.79218982514881,271.00306919642856,84.14050874255952,243418503577.6,Tatera_indica
47,47,10000.0,27.796732584635418,138.30081612723214,292.6988002232143,82.75889369419643,-inf,Tatera_indica
48,48,10000.0,28.646982828776043,116.71416015625,280.2876302083333,99.20625,-inf,Tatera_indica
49,49,1735.8897013340322,25.35687001546224,157.55255126953125,136.88900756835938,147.82422892252603,-2.833333293453637e+37,Tatera_indica
50,50,4865.790604889958,24.50961158389137,139.5932152157738,192.16212100074404,116.10194614955357,324818829312.0,Tatera_indica
51,51,10000.0,25.546946207682293,103.93642171223958,227.35697428385416,89.9620361328125,174541255475.2,Tatera_indica
52,52,10000.0,26.795567103794642,85.68315197172619,263.6001674107143,91.46165829613095,141906640896.0,Tatera_indica
53,53,10000.0,27.69395519438244,115.76447405133929,299.0576171875,85.70393880208333,219083649843.2,Tatera_indica
54,54,10000.0,28.382106236049108,119.62211681547619,305.43475632440476,90.49720400855655,-inf,Tatera_indica
55,55,10000.0,28.790623982747395,106.28392537434895,285.8354085286458,105.2785135904948,-inf,Tatera_indica
56,56,534.059517829044,27.184295654296875,94.51326751708984,124.20257568359375,145.66152954101562,246277494101.33334,Tatera_indica
57,57,105.3531689549351,25.076191711425782,133.80904541015624,149.6284423828125,142.4222900390625,-1.4782608487584193e+37,Tatera_indica
58,58,8963.39807487653,25.048639206659224,139.70528738839286,205.05285063244048,93.68459937686012,205776832430.08,Tatera_indica
59,59,10000.0,26.119578043619793,98.1898905436198,230.39436848958334,89.10743204752605,169047165501.44,Tatera_indica
60,60,10000.0,27.562116350446427,77.6415783110119,245.9394066220238,93.84736560639881,159286418909.86667,Tatera_indica
61,61,10000.0,28.204432896205358,142.9465099516369,304.7079148065476,89.22410946800595,244973882572.8,Tatera_indica
62,62,10000.0,28.631213960193453,128.67536272321428,309.33372860863096,88.56719098772321,-inf,Tatera_indica
