,grid_index,area,annual_mean_temp,prec_warmest_quarter,temp_seasonality,prec_seasonality,npp,binomial
1,1,6451.514435387274,17.869229944740855,322.9375952743902,484.8571360518293,33.49829697027439,628623574716.6316,Thylamys_citellus
2,2,8905.376836190224,17.9588728279903,321.93453663793105,488.5818965517241,27.730207772090516,578248000580.2667,Thylamys_citellus
3,3,5755.944363511757,18.438849087419182,347.64820177801727,479.2768386314655,46.87885152882543,521151499468.8,Thylamys_citellus
5,5,6572.073447706742,18.559475806451612,367.0404800907258,479.2767767137097,30.443973664314516,600072417101.9131,Thylamys_citellus
6,6,10000.0,19.147695541381836,347.5491943359375,469.2249450683594,45.10995101928711,499762266112.0,Thylamys_citellus
7,7,8112.42565251733,19.29903314052484,352.5145232371795,466.8780048076923,39.52230443709936,564570736412.4445,Thylamys_citellus
8,8,115.60760625139234,19.355176653180802,387.6239769345238,469.93922061011904,32.22312709263393,632409345228.8,Thylamys_citellus
9,9,8187.414172571233,19.623338487413193,421.25501844618054,467.6756184895833,29.432390001085068,610857198738.2858,Thylamys_citellus
10,10,9946.723848045718,19.8848876953125,336.5945739746094,456.97283935546875,39.9675178527832,546017151112.5333,Thylamys_citellus
11,11,759.1065154714446,20.069104875837052,364.0718005952381,459.73465401785717,33.01842971075149,629340110848.0,Thylamys_citellus
12,12,6749.060298289838,20.118990071614583,407.2869140625,457.5151692708333,27.403584798177082,569718013952.0,Thylamys_citellus
13,13,10000.0,20.316477457682293,330.44215901692706,444.5294189453125,38.1505126953125,531137373330.2857,Thylamys_citellus
14,14,5920.351179284957,20.45106237074908,335.07341452205884,446.6266659007353,32.577780330882355,572782909849.6,Thylamys_citellus
15,15,1560.688715446724,20.340352376302082,372.1541015625,450.346875,27.28310343424479,553579504526.2222,Thylamys_citellus
