Intercept,BM,I_BM_2,I_BM_3,DietHerbivore,DietOmnivore,NPP,I_NPP_2,Pwq,I_Pwq_2,Pcv,I_Pcv_2
2.46164367,-0.340015572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.481475305,-0.329651018,NA,NA,-0.100330189,-0.055298106,NA,NA,NA,NA,NA,NA
2.690187758,-0.330339791,NA,NA,-0.100571576,-0.055253893,-0.018030861,NA,NA,NA,NA,NA
-52.04584718,-0.324481382,NA,NA,-0.102128777,-0.051662972,9.797661253,-0.439246434,NA,NA,NA,NA
-57.96367474,-0.317378058,NA,NA,-0.095625263,-0.042663936,10.96816224,-0.494521647,NA,NA,-0.004343047,NA
-57.27003592,-0.316850551,NA,NA,-0.096720632,-0.043179717,10.84869076,-0.488997569,NA,NA,-0.006178873,1.24331410755721E-05
-54.67757047,-0.324983056,NA,NA,-0.100188521,-0.036327364,10.31624775,-0.465311271,0.000373439,NA,NA,NA
-55.11512022,-0.324833009,NA,NA,-0.0970258,-0.035146393,10.4192976,-0.471638921,0.000851905,-4.27436370563321E-07,NA,NA
-59.37570883,-0.318930949,NA,NA,-0.092351672,-0.031378421,11.25468983,-0.509873296,0.000494784,-2.08907794774919E-07,-0.003886767,NA
-58.74105119,-0.318457646,NA,NA,-0.093368922,-0.031861719,11.14503879,-0.504776726,0.000486705,-2.02263404960498E-07,-0.005563563,1.13185278352162E-05
-59.33259744,-0.318714387,NA,NA,-0.093784456,-0.031875441,11.23811057,-0.508356567,0.000256282,NA,-0.004036161,NA
-58.65191747,-0.318177566,NA,NA,-0.094885351,-0.032426046,11.12079085,-0.502929083,0.000255744,NA,-0.005830084,1.21440081327498E-05
3.541367526,-0.325214846,NA,NA,-0.094473762,-0.047659743,-0.074836013,NA,NA,NA,-0.003779915,NA
3.55395357,-0.324096259,NA,NA,-0.096485355,-0.048443144,-0.067508957,NA,NA,NA,-0.007255834,2.34658126366213E-05
3.199899395,-0.331067495,NA,NA,-0.09887465,-0.042897838,-0.070791033,NA,0.000306888,NA,NA,NA
3.507094201,-0.330999068,NA,NA,-0.096165671,-0.042014346,-0.104336892,NA,0.000724912,-3.74333307008291E-07,NA,NA
3.941685517,-0.326537816,NA,NA,-0.091981596,-0.03921741,-0.120173667,NA,0.000403591,-1.79088382357714E-07,-0.003398673,NA
3.94523654,-0.325480526,NA,NA,-0.093951145,-0.039943251,-0.111997687,NA,0.000389093,-1.66301011380892E-07,-0.006789941,2.28303218586699E-05
3.81680676,-0.326345379,NA,NA,-0.093172819,-0.039590274,-0.105346289,NA,0.000199442,NA,-0.003528118,NA
3.829573229,-0.325261639,NA,NA,-0.095128094,-0.04032374,-0.098025579,NA,0.000199512,NA,-0.007005453,2.34742448229291E-05
2.666279477,-0.322497205,NA,NA,-0.094023759,-0.048417379,NA,NA,NA,NA,-0.003619877,NA
2.77197684,-0.321590518,NA,NA,-0.096227831,-0.049172943,NA,NA,NA,NA,-0.007374941,2.52372624570143E-05
2.393057156,-0.328505531,NA,NA,-0.098226554,-0.044644772,NA,NA,0.000268209,NA,NA,NA
2.336985895,-0.327539501,NA,NA,-0.095984078,-0.044610629,NA,NA,0.000566096,-2.78928413733369E-07,NA,NA
2.587322398,-0.322339321,NA,NA,-0.092456342,-0.042770585,NA,NA,0.000228582,-7.4109657305759E-08,-0.003323871,NA
2.695145166,-0.321468864,NA,NA,-0.094656208,-0.043329276,NA,NA,0.000225668,-6.77666843416585E-08,-0.007151259,2.57297925601651E-05
2.606203888,-0.32249028,NA,NA,-0.092956756,-0.042733864,NA,NA,0.000147129,NA,-0.00338575,NA
2.712906414,-0.321597798,NA,NA,-0.095130671,-0.043303022,NA,NA,0.000151203,NA,-0.007225822,2.58507624704405E-05
2.594953714,-0.432782375,0.013367243,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.607497532,-0.417780513,0.012648333,NA,-0.097887699,-0.054813476,NA,NA,NA,NA,NA,NA
2.805538838,-0.417549982,0.012521071,NA,-0.098151876,-0.054784373,-0.017218679,NA,NA,NA,NA,NA
-51.95597979,-0.412689516,0.012683875,NA,-0.099942947,-0.051429639,9.803278453,-0.439461651,NA,NA,NA,NA
-57.87380843,-0.413763217,0.013849627,NA,-0.093191867,-0.04235797,10.97601141,-0.494838839,NA,NA,-0.004349289,NA
-57.1727696,-0.414227529,0.013994913,NA,-0.094286145,-0.042884603,10.85550324,-0.489266337,NA,NA,-0.006201722,1.25455333502738E-05
-54.58923744,-0.422470196,0.014012829,NA,-0.097614217,-0.035855666,10.32464443,-0.465660522,0.000375089,NA,NA,NA
-55.02523194,-0.426982789,0.014681814,NA,-0.094273986,-0.034609289,10.42872394,-0.472043105,0.000856359,-4.29897338338215E-07,NA,NA
-59.28661573,-0.423450607,0.015013982,NA,-0.089558154,-0.030850753,11.26494805,-0.510315246,0.000498944,-2.1115856481625E-07,-0.003889997,NA
-58.64489421,-0.423815274,0.015135417,NA,-0.090564557,-0.031335527,11.15428059,-0.505171187,0.000490816,-2.04466764883172E-07,-0.005582868,1.1427123246647E-05
-59.24498014,-0.421061852,0.014704265,NA,-0.091103556,-0.031401048,11.2479913,-0.508773684,0.00025785,NA,-0.004040911,NA
-58.55668447,-0.421512794,0.014843542,NA,-0.092151003,-0.03192022,11.12960307,-0.50329654,0.000257319,NA,-0.005851909,1.22595469642109E-05
3.667016225,-0.418913665,0.013443009,NA,-0.09182389,-0.047108846,-0.074074297,NA,NA,NA,-0.003785548,NA
3.68219894,-0.419688772,0.013717055,NA,-0.093808084,-0.047900002,-0.066694413,NA,NA,NA,-0.007279303,2.35859604002847E-05
3.328100384,-0.425899093,0.013609719,NA,-0.096111545,-0.042206824,-0.070195268,NA,0.000308467,NA,NA,NA
3.642596575,-0.429781182,0.014176047,NA,-0.093246119,-0.041265005,-0.103928221,NA,0.000729114,-3.76649046063686E-07,NA,NA
4.079721473,-0.42674723,0.014372641,NA,-0.089023521,-0.038466707,-0.119778697,NA,0.000407537,-1.81218728735067E-07,-0.003401233,NA
4.085650635,-0.427415211,0.014622153,NA,-0.090965989,-0.03919696,-0.111552364,NA,0.000393022,-1.68397723893135E-07,-0.006810088,2.29488710267278E-05
3.950859963,-0.424728141,0.014111029,NA,-0.090294653,-0.038869376,-0.104784218,NA,0.000200943,NA,-0.003532149,NA
3.966263449,-0.425538487,0.014384736,NA,-0.092217101,-0.039605226,-0.097413177,NA,0.000201037,NA,-0.007027978,2.35990415049941E-05
2.806086425,-0.419887225,0.013967241,NA,-0.091230788,-0.047799252,NA,NA,NA,NA,-0.00362738,NA
2.914547923,-0.420615662,0.014203831,NA,-0.093417035,-0.048566464,NA,NA,NA,NA,-0.007397718,2.53396114452152E-05
2.53161121,-0.425858881,0.013967763,NA,-0.095370159,-0.043899881,NA,NA,0.000270145,NA,NA,NA
2.480505936,-0.428749277,0.014521673,NA,-0.092965275,-0.043811119,NA,NA,0.00057098,-2.8164335866473E-07,NA,NA
2.733796572,-0.425354332,0.014771996,NA,-0.089383485,-0.041965063,NA,NA,0.000233167,-7.66115836782782E-08,-0.003326764,NA
2.844510983,-0.426199403,0.015020086,NA,-0.091560305,-0.042530621,NA,NA,0.000230312,-7.02824481600888E-08,-0.007170548,2.58402151711077E-05
2.75182187,-0.424465027,0.014622214,NA,-0.089939281,-0.041942357,NA,NA,0.000148952,NA,-0.00339069,NA
2.861553934,-0.425371835,0.014882291,NA,-0.092087569,-0.042517518,NA,NA,0.00015307,NA,-0.007247716,2.59648410821792E-05
1.261159184,1.159637293,-0.517493334,0.050973723,NA,NA,NA,NA,NA,NA,NA,NA
1.283763025,1.148757415,-0.511856231,0.050406673,-0.050096293,-0.027899177,NA,NA,NA,NA,NA,NA
1.512041626,1.150769557,-0.512557952,0.050458013,-0.050352414,-0.027841467,-0.019984219,NA,NA,NA,NA,NA
-53.60835049,1.183189003,-0.521402855,0.051316968,-0.051601781,-0.024035184,9.860584446,-0.442151914,NA,NA,NA,NA
-59.52166207,1.177877607,-0.518956594,0.051185132,-0.043667054,-0.014184371,11.03292404,-0.497499489,NA,NA,-0.004336806,NA
-58.79723116,1.180341988,-0.519788515,0.051279979,-0.044735567,-0.014717421,10.90796307,-0.491720775,NA,NA,-0.006259734,1.30254795761307E-05
-56.20283352,1.16711919,-0.517884545,0.051106076,-0.049214052,-0.008652948,10.37533591,-0.468025343,0.000371246,NA,NA,NA
-56.6104729,1.146719872,-0.511926234,0.050596755,-0.046176113,-0.007495014,10.47591148,-0.474192528,0.000836056,-4.15066178801066E-07,NA,NA
-60.90270539,1.157510363,-0.514092637,0.05082669,-0.040259603,-0.002954329,11.31677329,-0.512673347,0.000478646,-1.96009842520091E-07,-0.003893739,NA
-60.23375716,1.160131025,-0.514964109,0.050922714,-0.041251359,-0.003456211,11.20096347,-0.507289867,0.000470089,-1.88969302417122E-07,-0.005666553,1.19689332176703E-05
-60.87039162,1.167353752,-0.5169139,0.051068854,-0.041549891,-0.003402525,11.30099862,-0.511240343,0.000254792,NA,-0.004033749,NA
-60.15823353,1.16979701,-0.517738985,0.051162443,-0.042578239,-0.003934416,11.17807631,-0.505553112,0.000254236,NA,-0.005915624,1.2741819192057E-05
2.376167273,1.142456904,-0.509458885,0.050242838,-0.04311605,-0.019623691,-0.076547876,NA,NA,NA,-0.00376963,NA
2.386291225,1.147871457,-0.511243783,0.050441745,-0.04498509,-0.020379249,-0.069001067,NA,NA,NA,-0.00734027,2.41096004844887E-05
2.033024345,1.13609093,-0.509291721,0.050248565,-0.048280669,-0.015459532,-0.072300147,NA,0.000304595,NA,NA,NA
2.347391658,1.118014344,-0.504001666,0.049794048,-0.045714622,-0.014612088,-0.104698961,NA,0.000708494,-3.61542799061116E-07,NA,NA
2.782081638,1.125092778,-0.505247527,0.049925338,-0.040553465,-0.011247424,-0.120568933,NA,0.000387195,-1.66002925248367E-07,-0.003401469,NA
2.782336339,1.131020335,-0.507186106,0.050136453,-0.042388188,-0.011950171,-0.112124172,NA,0.000372232,-1.52795897331376E-07,-0.006895905,2.35292832793449E-05
2.658351549,1.133510196,-0.507666131,0.05013372,-0.041592304,-0.011557717,-0.106823635,NA,0.000197907,NA,-0.003521308,NA
2.668631588,1.13893737,-0.509464015,0.050333736,-0.04340323,-0.012264638,-0.09928509,NA,0.000197996,NA,-0.007093827,2.41213313009754E-05
1.492807709,1.134399541,-0.506655666,0.050032508,-0.042817103,-0.02049957,NA,NA,NA,NA,-0.003606295,NA
1.597305682,1.141127114,-0.50889029,0.050270221,-0.044850476,-0.021211369,NA,NA,NA,NA,-0.007463344,2.59273413778638E-05
1.217442457,1.13091793,-0.507274884,0.050096054,-0.047718534,-0.0172939,NA,NA,0.000265126,NA,NA,NA
1.179958285,1.115778427,-0.502671283,0.049707053,-0.045664091,-0.017292501,NA,NA,0.000548981,-2.656689400472E-07,NA,NA
1.431860061,1.121857081,-0.503434426,0.04979886,-0.04127781,-0.014945972,NA,NA,0.000211411,-6.05104036856664E-08,-0.003326503,NA
1.538348503,1.128833611,-0.505774421,0.050047634,-0.043295214,-0.015453897,NA,NA,0.000208431,-5.39859821630955E-08,-0.007259166,2.64424251015051E-05
