,binomial,Range,AdultBodyMass_g,Red List status,TrophicLevel,Order
0,Abditomys latidens,788.2272681653461,268.09,DD,Herbivore,RODENTIA
1,Abeomelomys sevia,9683.63706408965,54.88,LC,Omnivore,RODENTIA
2,Abrawayaomys ruschii,50734.679053465705,62.99,LC,Omnivore,RODENTIA
3,Abrocoma bennettii,124896.017428642,250.5,LC,Herbivore,RODENTIA
4,Abrocoma boliviensis,64.7392120057018,158.0,CR,Herbivore,RODENTIA
5,Abrocoma budini,405.507488549637,116.305,DD,Herbivore,RODENTIA
6,Abrocoma cinerea,529152.754277995,193.64,LC,Herbivore,RODENTIA
7,Abrocoma famatina,3306.51957824229,89.495,DD,Herbivore,RODENTIA
8,Abrocoma shistacea,5496.616435471779,109.39,LC,Herbivore,RODENTIA
9,Abrocoma uspallata,14.3178131219349,164.2793,DD,Herbivore,RODENTIA
10,Abrocoma vaccarum,37.1757022090819,232.625,DD,Herbivore,RODENTIA
11,Abrothrix andinus,612688.887487066,24.91,LC,Omnivore,RODENTIA
12,Abrothrix jelskii,498022.438234006,34.5,LC,Omnivore,RODENTIA
13,Abrothrix lanosus,40587.893976483596,27.83,LC,Omnivore,RODENTIA
14,Abrothrix longipilis,717949.8986482159,38.86,LC,Omnivore,RODENTIA
15,Abrothrix olivaceus,1083345.05578333,24.52,LC,Omnivore,RODENTIA
16,Abrothrix sanborni,4530.17208996264,24.7,NT,Omnivore,RODENTIA
17,Acerodon celebensis,177574.28071762898,384.84,VU,Herbivore,CHIROPTERA
18,Acerodon humilis,929.1571817806309,646.6033332999999,EN,Herbivore,CHIROPTERA
20,Acerodon leucotis,12751.1806583774,646.6033332999999,VU,Herbivore,CHIROPTERA
21,Acerodon mackloti,74622.81066141231,467.93,VU,Herbivore,CHIROPTERA
23,Acomys airensis,1825638.34243621,38.657,LC,Insectivore,RODENTIA
24,Acomys cahirinus,4017285.72683786,41.16,LC,Omnivore,RODENTIA
25,Acomys cilicicus,17.625137015363,48.0,DD,Omnivore,RODENTIA
26,Acomys cineraceus,1049545.70368392,19.24,LC,Insectivore,RODENTIA
27,Acomys dimidiatus,1558726.49808071,50.0,LC,Omnivore,RODENTIA
28,Acomys ignitus,105257.33631525199,24.0,LC,Insectivore,RODENTIA
29,Acomys johannis,426085.26522580703,63.85388804,LC,Insectivore,RODENTIA
30,Acomys kempi,569643.251882304,21.99,LC,Insectivore,RODENTIA
31,Acomys louisae,688440.046244099,20.19,LC,Insectivore,RODENTIA
32,Acomys minous,8344.71860138499,62.5,DD,Herbivore,RODENTIA
33,Acomys mullah,160420.649751978,63.85388804,LC,Insectivore,RODENTIA
34,Acomys percivali,222958.227225518,21.99,LC,Insectivore,RODENTIA
35,Acomys russatus,702023.859226838,42.35,LC,Insectivore,RODENTIA
36,Acomys seurati,298887.042163151,38.657,LC,Insectivore,RODENTIA
37,Acomys spinosissimus,1715735.10321923,26.5,LC,Insectivore,RODENTIA
38,Acomys subspinosus,94357.4614965139,21.92,LC,Omnivore,RODENTIA
39,Acomys wilsoni,1372812.72982059,18.5,LC,Insectivore,RODENTIA
40,Aconaemys fuscus,31935.754233844,129.95,LC,Herbivore,RODENTIA
41,Aconaemys porteri,22675.333164299704,113.22,DD,Herbivore,RODENTIA
42,Aconaemys sagei,40513.5574383435,96.49,DD,Herbivore,RODENTIA
43,Acrobates pygmaeus,1200801.29315193,13.84,LC,Omnivore,DIPROTODONTIA
45,Aegialomys galapagoensis,23.1805510992547,64.5,VU,Omnivore,RODENTIA
46,Aegialomys xanthaeolus,258878.32109344102,79.79,LC,Omnivore,RODENTIA
47,Aepeomys lugens,9497.26518171979,37.0,LC,Omnivore,RODENTIA
48,Aepeomys reigi,13016.4990417747,37.0,VU,Omnivore,RODENTIA
50,Aepyprymnus rufescens,566664.642591369,2810.31,LC,Herbivore,DIPROTODONTIA
51,Aeretes melanopterus,56180.81975504231,246.43442569999996,NT,Herbivore,RODENTIA
52,Aeromys tephromelas,362180.499277985,1187.0,DD,Omnivore,RODENTIA
53,Aeromys thomasi,446207.386884844,1430.19,LC,Herbivore,RODENTIA
54,Aethalops aequalis,93008.85221810211,15.0,LC,Herbivore,CHIROPTERA
55,Aethalops alecto,158099.135529788,15.0,LC,Herbivore,CHIROPTERA
56,Aethomys bocagei,253323.286727661,63.85388804,LC,Herbivore,RODENTIA
57,Aethomys chrysophilus,4154330.27917341,80.85,LC,Herbivore,RODENTIA
58,Aethomys hindei,2482352.20800869,140.65,LC,Omnivore,RODENTIA
59,Aethomys ineptus,592259.543604944,133.16,LC,Herbivore,RODENTIA
60,Aethomys kaiseri,1693329.17536174,89.99,LC,Herbivore,RODENTIA
61,Aethomys nyikae,897965.4059156241,77.015,LC,Herbivore,RODENTIA
62,Aethomys silindensis,19129.1179447362,83.48586401,DD,Herbivore,RODENTIA
63,Aethomys stannarius,170085.39127142,83.48586401,DD,Herbivore,RODENTIA
64,Aethomys thomasi,270711.031656793,63.85388804,LC,Herbivore,RODENTIA
66,Ailurops melanotis,274.513647625347,8500.0,CR,Herbivore,DIPROTODONTIA
67,Ailurops ursinus,179858.765036463,10000.0,VU,Herbivore,DIPROTODONTIA
68,Ailurus fulgens,338831.02202534303,5170.08,EN,Herbivore,CARNIVORA
69,Akodon aerosus,114165.459188906,59.99,LC,Omnivore,RODENTIA
70,Akodon affinis,42197.0440092043,24.89,LC,Omnivore,RODENTIA
71,Akodon albiventer,402049.085753842,25.95,LC,Insectivore,RODENTIA
72,Akodon azarae,1227616.00374134,25.27,LC,Omnivore,RODENTIA
73,Akodon boliviensis,217532.52412288397,27.5,LC,Omnivore,RODENTIA
74,Akodon budini,19876.490779188898,26.9,LC,Omnivore,RODENTIA
75,Akodon cursor,824145.08743386,39.84,LC,Omnivore,RODENTIA
76,Akodon dayi,289331.634415262,32.49,LC,Omnivore,RODENTIA
77,Akodon dolores,809586.618166668,50.49,LC,Omnivore,RODENTIA
78,Akodon fumeus,151082.142480622,22.69,LC,Omnivore,RODENTIA
79,Akodon iniscatus,573428.042370265,28.7,LC,Omnivore,RODENTIA
80,Akodon juninensis,115454.096357999,38.99,LC,Omnivore,RODENTIA
81,Akodon kofordi,13610.9940920856,29.49,LC,Omnivore,RODENTIA
82,Akodon lindberghi,6823.733578590711,26.4,DD,Omnivore,RODENTIA
83,Akodon lutescens,118603.69013515301,20.69,LC,Omnivore,RODENTIA
84,Akodon mimus,57439.277643950096,23.99,LC,Omnivore,RODENTIA
