,Binomial,Species,Genus,Family,Order,mass
1,Arctocephalus australis,australis,Arctocephalus,OTARIIDAE,CARNIVORA,0.016179104
2,Arctocephalus forsteri,forsteri,Arctocephalus,OTARIIDAE,CARNIVORA,0.02025
3,Arctocephalus galapagoensis,galapagoensis,Arctocephalus,OTARIIDAE,CARNIVORA,0.000591721
4,Arctocephalus gazella,gazella,Arctocephalus,OTARIIDAE,CARNIVORA,0.1616427
5,Arctocephalus philippii,philippii,Arctocephalus,OTARIIDAE,CARNIVORA,0.00306641
6,Arctocephalus pusillus,pusillus,Arctocephalus,OTARIIDAE,CARNIVORA,0.37842
7,Arctocephalus townsendi,townsendi,Arctocephalus,OTARIIDAE,CARNIVORA,0.002029763
8,Arctocephalus tropicalis,tropicalis,Arctocephalus,OTARIIDAE,CARNIVORA,0.03688902
9,Balaena mysticetus,mysticetus,Balaena,BALAENIDAE,CETARTIODACTYLA,1.992279475
10,Balaenoptera acutorostrata,acutorostrata,Balaenoptera,BALAENOPTERIDAE,CETARTIODACTYLA,1.676128077
11,Balaenoptera bonaerensis,bonaerensis,Balaenoptera,BALAENOPTERIDAE,CETARTIODACTYLA,3.37371508
12,Balaenoptera borealis,borealis,Balaenoptera,BALAENOPTERIDAE,CETARTIODACTYLA,1.657968896
13,Balaenoptera edeni,edeni,Balaenoptera,BALAENOPTERIDAE,CETARTIODACTYLA,1.599999998
14,Balaenoptera musculus,musculus,Balaenoptera,BALAENOPTERIDAE,CETARTIODACTYLA,2.440034069
15,Balaenoptera physalus,physalus,Balaenoptera,BALAENOPTERIDAE,CETARTIODACTYLA,7.125901235
16,Berardius bairdii,bairdii,Berardius,ZIPHIIDAE,CETARTIODACTYLA,0.0996888
17,Callorhinus ursinus,ursinus,Callorhinus,OTARIIDAE,CARNIVORA,0.05546482
19,Cephalorhynchus commersonii,commersonii,Cephalorhynchus,DELPHINIDAE,CETARTIODACTYLA,0.0030408
20,Cephalorhynchus eutropia,eutropia,Cephalorhynchus,DELPHINIDAE,CETARTIODACTYLA,0.000369713
21,Cephalorhynchus heavisidii,heavisidii,Cephalorhynchus,DELPHINIDAE,CETARTIODACTYLA,3.58E-05
22,Cephalorhynchus hectori,hectori,Cephalorhynchus,DELPHINIDAE,CETARTIODACTYLA,0.000370895
23,Cystophora cristata,cristata,Cystophora,PHOCIDAE,CARNIVORA,0.18825534
24,Delphinapterus leucas,leucas,Delphinapterus,MONODONTIDAE,CETARTIODACTYLA,0.276328146
25,Delphinus capensis,capensis,Delphinus,DELPHINIDAE,CETARTIODACTYLA,0.019381928
26,Delphinus delphis,delphis,Delphinus,DELPHINIDAE,CETARTIODACTYLA,0.31708676
27,Erignathus barbatus,barbatus,Erignathus,PHOCIDAE,CARNIVORA,0.07
28,Eschrichtius robustus,robustus,Eschrichtius,ESCHRICHTIIDAE,CETARTIODACTYLA,0.496365549
29,Eubalaena japonica,japonica,Eubalaena,BALAENIDAE,CETARTIODACTYLA,0.06017861
30,Eumetopias jubatus,jubatus,Eumetopias,OTARIIDAE,CARNIVORA,0.061526271
31,Feresa attenuata,attenuata,Feresa,DELPHINIDAE,CETARTIODACTYLA,0.0102
32,Globicephala macrorhynchus,macrorhynchus,Globicephala,DELPHINIDAE,CETARTIODACTYLA,0.76229999
