"","Binomial","Species","Genus","Family","Order","total_mass"
"1","Abditomys latidens","latidens","Abditomys","MURIDAE","RODENTIA",1.17230357773302e-06
"2","Abeomelomys sevia","sevia","Abeomelomys","MURIDAE","RODENTIA",6.6779728419173e-06
"3","Abrawayaomys ruschii","ruschii","Abrawayaomys","CRICETIDAE","RODENTIA",2.44493049347061e-05
"4","Abrocoma bennettii","bennettii","Abrocoma","ABROCOMIDAE","RODENTIA",0.000250055759294787
"5","Abrocoma boliviensis","boliviensis","Abrocoma","ABROCOMIDAE","RODENTIA",5.30340851189575e-08
"6","Abrocoma budini","budini","Abrocoma","ABROCOMIDAE","RODENTIA",2.90707308198061e-07
"7","Abrocoma cinerea","cinerea","Abrocoma","ABROCOMIDAE","RODENTIA",0.000465633286047763
"8","Abrocoma famatina","famatina","Abrocoma","ABROCOMIDAE","RODENTIA",1.97521304400348e-06
"9","Abrocoma shistacea","shistacea","Abrocoma","ABROCOMIDAE","RODENTIA",4.98900909977801e-06
"10","Abrocoma uspallata","uspallata","Abrocoma","ABROCOMIDAE","RODENTIA",1.99205607259079e-08
"11","Abrocoma vaccarum","vaccarum","Abrocoma","ABROCOMIDAE","RODENTIA",4.48802330603368e-08
"12","Abrothrix andinus","andinus","Abrothrix","CRICETIDAE","RODENTIA",0.000138591473456556
"13","Abrothrix jelskii","jelskii","Abrothrix","CRICETIDAE","RODENTIA",0.000152024328403582
"14","Abrothrix lanosus","lanosus","Abrothrix","CRICETIDAE","RODENTIA",2.98573449799199e-05
"15","Abrothrix longipilis","longipilis","Abrothrix","CRICETIDAE","RODENTIA",0.000391127281412396
"16","Abrothrix olivaceus","olivaceus","Abrothrix","CRICETIDAE","RODENTIA",0.000547295406925595
"17","Abrothrix sanborni","sanborni","Abrothrix","CRICETIDAE","RODENTIA",6.29702902109351e-06
"18","Acerodon celebensis","celebensis","Acerodon","PTEROPODIDAE","CHIROPTERA",0.00138229066520185
"19","Acerodon humilis","humilis","Acerodon","PTEROPODIDAE","CHIROPTERA",1.70791033188805e-05
"20","Acerodon jubatus","jubatus","Acerodon","PTEROPODIDAE","CHIROPTERA",1.08704e-05
"21","Acerodon leucotis","leucotis","Acerodon","PTEROPODIDAE","CHIROPTERA",0.000124760310518406
"22","Acerodon mackloti","mackloti","Acerodon","PTEROPODIDAE","CHIROPTERA",0.000319218232000688
"23","Acinonyx jubatus","jubatus","Acinonyx","FELIDAE","CARNIVORA",0.00050633555712
"24","Acomys airensis","airensis","Acomys","MURIDAE","RODENTIA",0.000460877056766742
"25","Acomys cahirinus","cahirinus","Acomys","MURIDAE","RODENTIA",0.00169379320543638
"26","Acomys cilicicus","cilicicus","Acomys","MURIDAE","RODENTIA",2.4334583186636e-08
"27","Acomys cineraceus","cineraceus","Acomys","MURIDAE","RODENTIA",0.000184923879549485
